eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed
21.0,28.608905792236328,1024,,,,,,,,,,,,,,,
21.0,28.535728454589844,2048,,,,,,,,,,,,,,,
21.0,25.262187957763672,3072,0.47685546875,0.2,0.0003,0.08075619,-0.07059242930845358,67.88318203687668,28.306171417236328,10,-5.267097283899784,-0.0031262636184692383,,,,,
21.0,27.354816436767578,4096,,,,,,,,,,,,,,,
21.0,30.533727645874023,5120,0.37861328125,0.2,0.0003,0.046164405,-0.055164353869622575,70.96469490528106,25.593198776245117,20,-5.2418932795524595,-1.1920928955078125e-07,,,,,
21.0,26.940109252929688,6144,,,,,,,,,,,,,,,
21.0,24.931644439697266,7168,0.412353515625,0.2,0.0003,0.050022386,-0.05681223269784823,72.0813636302948,32.58464813232422,30,-5.233206160366535,0.0,,,,,
21.0,26.572704315185547,8192,,,,,,,,,,,,,,,
21.0,29.768848419189453,9216,0.378466796875,0.2,0.0003,0.046108183,-0.05481057341094129,65.70046184659004,18.44805335998535,40,-5.204442323744297,0.0,,,,,
21.0,30.580589294433594,10240,,,,,,,,,,,,,,,
21.0,28.693477630615234,11264,0.399658203125,0.2,0.0003,0.049601473,-0.05941934606526047,60.00185436010361,24.368154525756836,50,-5.184801432490349,5.960464477539063e-08,,,,,
21.0,26.195537567138672,12288,,,,,,,,,,,,,,,
21.0,25.36307144165039,13312,0.38486328125,0.2,0.0003,0.044645548,-0.056419244699645786,50.715554082393645,18.66595458984375,60,-5.179199752211571,0.0,,,,,
21.0,23.505409240722656,14336,,,,,,,,,,,,,,,
21.0,21.632732391357422,15360,0.4037109375,0.2,0.0003,0.0475718,-0.05451513086445629,56.56392176151276,25.179445266723633,70,-5.169006986916065,-1.1920928955078125e-07,,,,,
21.0,29.759632110595703,16384,,,,,,,,,,,,,,,
21.0,29.313335418701172,17408,0.39765625,0.2,0.0003,0.049958423,-0.05652164777857251,44.58406105041504,24.099706649780273,80,-5.139148777723312,1.1920928955078125e-07,,,,,
21.0,27.993602752685547,18432,,,,,,,,,,,,,,,
21.0,27.310543060302734,19456,0.382470703125,0.2,0.0003,0.045456454,-0.05702738423133269,46.03949211239815,22.288057327270508,90,-5.124344767630101,0.0,,,,,
21.0,30.07833480834961,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,26.335259069999996,700,21.0,10,29
21.0,30.486042022705078,21504,0.409375,0.2,0.0003,0.048424676,-0.05366275747655891,42.10021727085113,20.406023025512695,100,-5.097305554151535,0.0,,,,,
21.0,24.063701629638672,22528,,,,,,,,,,,,,,,
21.0,31.977130889892578,23552,0.366259765625,0.2,0.0003,0.04380589,-0.05356941003119573,44.992216509580615,21.245698928833008,110,-5.089575739204884,1.1920928955078125e-07,,,,,
21.0,29.49028968811035,24576,,,,,,,,,,,,,,,
21.0,25.662967681884766,25600,0.4251953125,0.2,0.0003,0.046626013,-0.05681136532803066,42.53221943974495,22.87159538269043,120,-5.076753464341164,-1.1920928955078125e-07,,,,,
21.0,29.149551391601562,26624,,,,,,,,,,,,,,,
21.0,29.44488525390625,27648,0.406884765625,0.2,0.0003,0.04909698,-0.04993809625448194,43.152540504932404,18.6824893951416,130,-5.043068194389344,0.0,,,,,
21.0,30.862533569335938,28672,,,,,,,,,,,,,,,
21.0,29.315038681030273,29696,0.431005859375,0.2,0.0003,0.049556132,-0.05287347508710809,43.29433826208115,21.4915714263916,140,-5.01616470515728,-1.1920928955078125e-07,,,,,
21.0,25.71827507019043,30720,,,,,,,,,,,,,,,
21.0,26.317806243896484,31744,0.43974609375,0.2,0.0003,0.052542895,-0.052510110568255185,42.5644453048706,16.489749908447266,150,-4.982114799320698,0.0,,,,,
21.0,20.760526657104492,32768,,,,,,,,,,,,,,,
21.0,28.62449836730957,33792,0.4205078125,0.2,0.0003,0.04790919,-0.05099232880165801,39.027118128538135,19.106388092041016,160,-4.951651185750961,1.1920928955078125e-07,,,,,
21.0,26.223648071289062,34816,,,,,,,,,,,,,,,
21.0,29.14908790588379,35840,0.403271484375,0.2,0.0003,0.04419598,-0.052859947964316235,40.03525967001915,23.07684898376465,170,-4.953211341798306,0.0,,,,,
21.0,26.568384170532227,36864,,,,,,,,,,,,,,,
21.0,28.64023780822754,37888,0.412255859375,0.2,0.0003,0.043656405,-0.05275662337080576,40.008226370811464,17.42682647705078,180,-4.931077308952808,0.0,,,,,
21.0,29.923805236816406,38912,,,,,,,,,,,,,,,
