time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean
34500,50.0,5.007201671600342,,,,,,,,,,,,,,,
35000,50.0,4.121723175048828,170,0.01496252,0.0003,0.2,-5.0626474738121034,11283.932492065429,-0.030820089878397995,4426.36376953125,0.176708984375,5.960464477539063e-08,,,,,
35500,50.0,5.2120771408081055,,,,,,,,,,,,,,,
36000,50.0,4.428153038024902,,,,,,,,,,,,,,,
36500,50.0,5.28729248046875,,,,,,,,,,,,,,,
37000,50.0,5.352759838104248,180,0.013640608,0.0003,0.2,-5.040245567262173,9747.899201965332,-0.024914333506603725,5472.90380859375,0.1525390625,-1.1920928955078125e-07,,,,,
37500,50.0,5.43074893951416,,,,,,,,,,,,,,,
38000,50.0,6.891348361968994,,,,,,,,,,,,,,,
38500,50.0,4.8951897621154785,,,,,,,,,,,,,,,
39000,50.0,5.137286186218262,190,0.0146434605,0.0003,0.2,-5.032989430427551,9261.165148925782,-0.028592818102333696,4665.18603515625,0.1767578125,-1.1920928955078125e-07,,,,,
39500,50.0,4.337620258331299,,,,,,,,,,,,,,,
40000,50.0,4.160698413848877,,,,,,,,,,,,,,,
40500,50.0,5.885416030883789,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,20,453.50707195999996,985,41,50.0
41000,50.0,7.031723976135254,200,0.013691712,0.0003,0.2,-5.03744783103466,10981.379081726074,-0.027559913796721958,3982.43994140625,0.158056640625,-1.1920928955078125e-07,,,,,
41500,50.0,4.816004753112793,,,,,,,,,,,,,,,
42000,50.0,5.305864334106445,,,,,,,,,,,,,,,
42500,50.0,4.319823265075684,,,,,,,,,,,,,,,
43000,50.0,7.403836250305176,,,,,,,,,,,,,,,
43500,50.0,4.329906463623047,210,0.013916647,0.0003,0.2,-5.018374818563461,9440.898304748534,-0.025465664328658023,4293.703125,0.145703125,0.0,,,,,
44000,50.0,4.300106525421143,,,,,,,,,,,,,,,
44500,50.0,4.920231342315674,,,,,,,,,,,,,,,
45000,50.0,4.580144882202148,,,,,,,,,,,,,,,
