time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
1024,23.727319717407227,21.0,,,,,,,,,,,,,,,
2048,25.393951416015625,21.0,,,,,,,,,,,,,,,
3072,29.137521743774414,21.0,0.0003,62.700928795337674,0.2,-5.2733546361327175,0.07455534,-0.07162644035415724,10,0.441259765625,30.982772827148438,-0.0030881166458129883,,,,,
4096,23.393085479736328,21.0,,,,,,,,,,,,,,,
5120,25.751758575439453,21.0,0.0003,65.32387878894806,0.2,-5.254261404275894,0.037637845,-0.0560243280371651,20,0.367236328125,19.832857131958008,-0.00039577484130859375,,,,,
6144,24.297813415527344,21.0,,,,,,,,,,,,,,,
7168,26.88315200805664,21.0,0.0003,66.16275367736816,0.2,-5.239958533644677,0.040762868,-0.052854611532529815,30,0.348095703125,35.26639938354492,-6.198883056640625e-06,,,,,
8192,26.214998245239258,21.0,,,,,,,,,,,,,,,
9216,27.383575439453125,21.0,0.0003,60.07251315116882,0.2,-5.22925366461277,0.045600258,-0.058924220933113246,40,0.374072265625,27.787506103515625,-1.4066696166992188e-05,,,,,
10240,24.07026481628418,21.0,,,,,,,,,,,,,,,
11264,26.57010269165039,21.0,0.0003,53.70819788575172,0.2,-5.226514533162117,0.039427638,-0.05520154822152108,50,0.352685546875,19.9600887298584,-2.3484230041503906e-05,,,,,
12288,24.30088996887207,21.0,,,,,,,,,,,,,,,
13312,29.875038146972656,21.0,0.0003,51.05197141170502,0.2,-5.200769494473934,0.04030507,-0.058253111003432424,60,0.340283203125,23.794353485107422,-2.9802322387695312e-06,,,,,
14336,29.9305419921875,21.0,,,,,,,,,,,,,,,
15360,25.409231185913086,21.0,0.0003,47.4248771905899,0.2,-5.184748937189579,0.039116524,-0.05559588697506115,70,0.37265625,24.7371883392334,-1.3113021850585938e-06,,,,,
16384,27.818359375,21.0,,,,,,,,,,,,,,,
17408,27.929149627685547,21.0,0.0003,44.23381761312485,0.2,-5.174754157662392,0.040628403,-0.05125523561437149,80,0.360546875,26.349687576293945,-8.463859558105469e-06,,,,,
18432,32.26123046875,21.0,,,,,,,,,,,,,,,
19456,27.91252326965332,21.0,0.0003,51.770179867744446,0.2,-5.15533010661602,0.044270508,-0.052381485133082606,90,0.362548828125,29.143461227416992,-3.5762786865234375e-07,,,,,
20480,26.02680206298828,21.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,28.18871398,21.0,10,28,727
21504,26.62155532836914,21.0,0.0003,44.01984806656837,0.2,-5.127235589921474,0.0402652,-0.049413489730795845,100,0.35048828125,19.622089385986328,-1.3113021850585938e-06,,,,,
22528,23.709331512451172,21.0,,,,,,,,,,,,,,,
23552,29.559236526489258,21.0,0.0003,45.844118756055835,0.2,-5.102841146290302,0.044715326,-0.05682748586987145,110,0.40283203125,28.69515609741211,-1.430511474609375e-06,,,,,
24576,24.17589569091797,21.0,,,,,,,,,,,,,,,
25600,26.429779052734375,21.0,0.0003,42.1935227394104,0.2,-5.0788075655698774,0.042658407,-0.05745882687624544,120,0.388232421875,18.808944702148438,-1.5497207641601562e-06,,,,,
26624,30.10502052307129,21.0,,,,,,,,,,,,,,,
27648,29.32098960876465,21.0,0.0003,42.47472441196442,0.2,-5.042883524298668,0.045482956,-0.056386654078960416,130,0.42109375,20.32144546508789,-9.5367431640625e-07,,,,,
28672,30.445262908935547,21.0,,,,,,,,,,,,,,,
29696,34.1070556640625,21.0,0.0003,38.6476113319397,0.2,-5.002814795076847,0.0460025,-0.05512792082154192,140,0.392626953125,18.88196563720703,-3.5762786865234375e-07,,,,,
30720,31.80392074584961,21.0,,,,,,,,,,,,,,,
31744,31.949771881103516,21.0,0.0003,33.32873808145523,0.2,-4.965206299722195,0.048475817,-0.04888063678517938,150,0.429736328125,17.686859130859375,-2.384185791015625e-07,,,,,
32768,25.085739135742188,21.0,,,,,,,,,,,,,,,
33792,28.022422790527344,21.0,0.0003,38.5585092484951,0.2,-4.923266026377678,0.04123629,-0.0492538473859895,160,0.364794921875,18.930700302124023,0.0,,,,,
34816,30.585712432861328,21.0,,,,,,,,,,,,,,,
35840,33.57505416870117,21.0,0.0003,37.276190638542175,0.2,-4.8632623791694645,0.05039344,-0.05227819734136574,170,0.43994140625,15.845856666564941,-7.152557373046875e-07,,,,,
36864,26.068994522094727,21.0,,,,,,,,,,,,,,,
37888,28.213397979736328,21.0,0.0003,37.30227954387665,0.2,-4.8431127041578295,0.042837195,-0.052023278031265364,180,0.417236328125,18.626384735107422,0.0,,,,,
38912,28.250324249267578,21.0,,,,,,,,,,,,,,,
39936,25.303524017333984,21.0,0.0003,34.18034816980362,0.2,-4.812191145122052,0.041585222,-0.047337285065441395,190,0.3958984375,16.032577514648438,-4.76837158203125e-07,,,,,
40960,28.539932250976562,21.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,27.906635689999998,21.0,20,56,722
