eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations
80.0,34.974639892578125,54272,0.0,260,0.2,30.57196518778801,3e-05,-0.018657462832925374,0.019580078125,18.8094539642334,-5.6915119282901285,0.0058517717,,,,,
80.0,29.16411590576172,55296,,,,,,,,,,,,,,,
80.0,27.973730087280273,56320,0.0,270,0.2,32.580117143690586,3e-05,-0.018536338404010165,0.0140625,18.893333435058594,-5.687292034178972,0.005739796,,,,,
80.0,33.15122985839844,57344,,,,,,,,,,,,,,,
80.0,33.49867248535156,58368,0.0,280,0.2,31.67540490925312,3e-05,-0.023463010902924,0.0388671875,21.678802490234375,-5.679980304092169,0.007150626,,,,,
80.0,32.7910041809082,59392,,,,,,,,,,,,,,,
80.0,29.755373001098633,60416,0.0,290,0.2,33.885121496021746,3e-05,-0.01949147860505036,0.019287109375,21.86121368408203,-5.6732870325446125,0.005836704,,,,,
80.0,31.13934326171875,61440,,,,,,,,,,,,,,,
,,61440,,,,,,,,,,,80.0,151,404,30.66210031,30
80.0,30.14857292175293,62464,1.1920928955078125e-07,300,0.2,38.81737261563539,3e-05,-0.01955891977486317,0.021044921875,21.88273811340332,-5.6637248083949085,0.0061726477,,,,,
80.0,30.914722442626953,63488,,,,,,,,,,,,,,,
80.0,30.723281860351562,64512,0.0,310,0.2,35.97892421334982,3e-05,-0.018184280085552017,0.014404296875,10.987357139587402,-5.6559040799736975,0.005706169,,,,,
80.0,32.690406799316406,65536,,,,,,,,,,,,,,,
80.0,30.467933654785156,66560,0.0,320,0.2,33.59607437252998,3e-05,-0.020250465577919385,0.02158203125,13.875329971313477,-5.644577030837536,0.0063903816,,,,,
80.0,33.66790008544922,67584,,,,,,,,,,,,,,,
80.0,29.39276885986328,68608,-1.1920928955078125e-07,330,0.2,34.88253066688776,3e-05,-0.015989229817932937,0.011865234375,17.807891845703125,-5.6308683373034,0.0050274325,,,,,
80.0,29.21149444580078,69632,,,,,,,,,,,,,,,
80.0,34.09977722167969,70656,0.0,340,0.2,32.281368610262874,3e-05,-0.01914905841695145,0.01943359375,13.98169231414795,-5.623925227671862,0.00594504,,,,,
80.0,26.771221160888672,71680,,,,,,,,,,,,,,,
80.0,33.62017822265625,72704,0.0,350,0.2,37.96640347242355,3e-05,-0.018956270079797832,0.019970703125,32.0758171081543,-5.614226890355349,0.0063413694,,,,,
80.0,30.185325622558594,73728,,,,,,,,,,,,,,,
80.0,32.664615631103516,74752,0.0,360,0.2,32.66981119662523,3e-05,-0.019698727305512875,0.01865234375,25.003313064575195,-5.601964340358973,0.006256518,,,,,
80.0,31.67580795288086,75776,,,,,,,,,,,,,,,
80.0,32.79977798461914,76800,0.0,370,0.2,38.3845711350441,3e-05,-0.020012764923012582,0.014453125,42.85554885864258,-5.589207758009434,0.0058871997,,,,,
80.0,32.36281967163086,77824,,,,,,,,,,,,,,,
80.0,34.57980728149414,78848,-1.1920928955078125e-07,380,0.2,31.112178552150727,3e-05,-0.016837704454519552,0.020654296875,17.382593154907227,-5.5761907830834385,0.0061080423,,,,,
80.0,32.436195373535156,79872,,,,,,,,,,,,,,,
80.0,36.42526626586914,80896,0.0,390,0.2,35.15590678751469,3e-05,-0.01641053956846008,0.011865234375,24.057565689086914,-5.555831987410784,0.0056009786,,,,,
80.0,33.195499420166016,81920,,,,,,,,,,,,,,,
,,81920,,,,,,,,,,,80.0,203,402,31.43531352,40
80.0,32.228214263916016,82944,0.0,400,0.2,35.01161412298679,3e-05,-0.01593628799819271,0.008740234375,28.983304977416992,-5.535047396272421,0.005339182,,,,,
80.0,32.25701141357422,83968,,,,,,,,,,,,,,,
80.0,39.03621292114258,84992,0.0,410,0.2,34.23214475810528,3e-05,-0.01685784230921854,0.01181640625,22.53494644165039,-5.514507046341896,0.0054035857,,,,,
80.0,35.25786590576172,86016,,,,,,,,,,,,,,,
80.0,35.046241760253906,87040,1.1920928955078125e-07,420,0.2,36.52957075983286,3e-05,-0.01629250520218193,0.025537109375,22.74698257446289,-5.508643694221973,0.0057001417,,,,,
80.0,33.37285614013672,88064,,,,,,,,,,,,,,,
80.0,34.32926559448242,89088,-2.384185791015625e-07,430,0.2,34.576690123975276,3e-05,-0.017621429276186974,0.015625,19.37053108215332,-5.506313095241785,0.0055568093,,,,,
80.0,33.522605895996094,90112,,,,,,,,,,,,,,,
80.0,30.765674591064453,91136,1.1920928955078125e-07,440,0.2,33.79882765561342,3e-05,-0.018276760286244097,0.02080078125,29.742273330688477,-5.476616454124451,0.006435396,,,,,
80.0,35.35089111328125,92160,,,,,,,,,,,,,,,
80.0,33.051292419433594,93184,-1.1920928955078125e-07,450,0.2,34.03085093796253,3e-05,-0.017106385030638195,0.01572265625,28.22930145263672,-5.443385597318411,0.0060962467,,,,,
80.0,34.02117919921875,94208,,,,,,,,,,,,,,,
80.0,37.35154724121094,95232,0.0,460,0.2,32.85256118774414,3e-05,-0.017621894238254755,0.0197265625,17.878522872924805,-5.414144756644964,0.0055926573,,,,,
80.0,32.46388626098633,96256,,,,,,,,,,,,,,,
80.0,32.23365783691406,97280,0.0,470,0.2,34.12077972888947,3e-05,-0.017157446387136586,0.014111328125,25.535663604736328,-5.3848819240927694,0.005816835,,,,,
80.0,32.828941345214844,98304,,,,,,,,,,,,,,,
80.0,35.112327575683594,99328,1.1920928955078125e-07,480,0.2,35.392427678406236,3e-05,-0.01893374429491814,0.019677734375,21.78509521484375,-5.361282382160425,0.005255092,,,,,
80.0,37.1131591796875,100352,,,,,,,,,,,,,,,
80.0,35.29852294921875,101376,0.0,490,0.2,32.78786246180535,3e-05,-0.015845323535177157,0.012548828125,15.442176818847656,-5.3480226173996925,0.004892268,,,,,
80.0,34.826942443847656,102400,,,,,,,,,,,,,,,
,,102400,,,,,,,,,,,80.0,255,401,34.23030695,50
80.0,33.043678283691406,103424,0.0,500,0.2,36.52725635170937,3e-05,-0.021280170812678988,0.02890625,21.47027015686035,-5.3456998527050015,0.0064849854,,,,,
80.0,33.756839752197266,104448,,,,,,,,,,,,,,,
80.0,34.37861633300781,105472,1.1920928955078125e-07,510,0.2,33.5144176080823,3e-05,-0.017724679714865486,0.015673828125,16.42983055114746,-5.343243188410997,0.006578266,,,,,
80.0,33.0341796875,106496,,,,,,,,,,,,,,,
80.0,36.69507598876953,107520,0.0,520,0.2,33.7244277715683,3e-05,-0.01737080239072384,0.018310546875,26.995155334472656,-5.320819460600615,0.0060573807,,,,,
80.0,37.100582122802734,108544,,,,,,,,,,,,,,,
80.0,40.836830139160156,109568,1.1920928955078125e-07,530,0.2,32.729906623065474,3e-05,-0.017185453362981207,0.014208984375,18.498249053955078,-5.287871898710728,0.0059046047,,,,,
80.0,39.24672317504883,110592,,,,,,,,,,,,,,,
80.0,35.96613693237305,111616,0.0,540,0.2,31.43819027245045,3e-05,-0.018073557751631598,0.0181640625,20.08036994934082,-5.256989023834467,0.007108791,,,,,
80.0,39.364845275878906,112640,,,,,,,,,,,,,,,
80.0,35.37135314941406,113664,1.1920928955078125e-07,550,0.2,35.0073441490531,3e-05,-0.017855658572807444,0.017724609375,22.496143341064453,-5.227798084169626,0.006825513,,,,,
80.0,39.41272735595703,114688,,,,,,,,,,,,,,,
80.0,37.677101135253906,115712,0.0,560,0.2,36.19693408608437,3e-05,-0.01859004142897902,0.020703125,18.086408615112305,-5.207599168270827,0.0064967065,,,,,
80.0,37.510780334472656,116736,,,,,,,,,,,,,,,
80.0,40.41704559326172,117760,0.0,570,0.2,31.61693271398544,3e-05,-0.01817335946543608,0.027880859375,14.012133598327637,-5.195747345685959,0.0061554946,,,,,
80.0,35.89778518676758,118784,,,,,,,,,,,,,,,
80.0,38.22816467285156,119808,0.0,580,0.2,37.255534291267395,3e-05,-0.017569806068058823,0.01279296875,35.94676208496094,-5.190860512852669,0.005530456,,,,,
80.0,34.60345458984375,120832,,,,,,,,,,,,,,,
80.0,38.901790618896484,121856,0.0,590,0.2,32.19711468368769,3e-05,-0.019873835995531407,0.023974609375,21.694459915161133,-5.16511717364192,0.0066716354,,,,,
80.0,41.4195556640625,122880,,,,,,,,,,,,,,,
,,122880,,,,,,,,,,,80.0,306,400,37.975173420000004,60
80.0,40.40925598144531,123904,0.0,600,0.2,33.64575288593769,3e-05,-0.016910989167445222,0.0134765625,11.468660354614258,-5.117427059262991,0.0065052044,,,,,
80.0,38.40379333496094,124928,,,,,,,,,,,,,,,
80.0,42.06536102294922,125952,0.0,610,0.2,31.03941690772772,3e-05,-0.01535889502702048,0.018896484375,24.152563095092773,-5.078512085229159,0.005001013,,,,,
80.0,38.64107894897461,126976,,,,,,,,,,,,,,,
80.0,44.748016357421875,128000,5.960464477539063e-08,620,0.2,30.936652188003062,3e-05,-0.016327631466265303,0.024072265625,20.293691635131836,-5.017797870188952,0.0067479974,,,,,
80.0,33.840946197509766,129024,,,,,,,,,,,,,,,
80.0,40.34417724609375,130048,0.0,630,0.2,32.08978271484375,3e-05,-0.01354207348813361,0.010498046875,25.25218391418457,-4.974616968631745,0.0046053277,,,,,
80.0,42.009742736816406,131072,,,,,,,,,,,,,,,
80.0,42.575225830078125,132096,-2.384185791015625e-07,640,0.2,31.724487040936946,3e-05,-0.015446757301833713,0.011767578125,20.062578201293945,-4.948020958155394,0.0050283414,,,,,
80.0,39.727622985839844,133120,,,,,,,,,,,,,,,
80.0,44.55586242675781,134144,0.0,650,0.2,35.286155360937116,3e-05,-0.015472048088122392,0.01044921875,37.37051010131836,-4.932217760384082,0.004410419,,,,,
80.0,41.676490783691406,135168,,,,,,,,,,,,,,,
80.0,44.77738952636719,136192,0.0,660,0.2,34.554168450832364,3e-05,-0.014102418407128425,0.01357421875,25.215679168701172,-4.927554189413786,0.005377164,,,,,
80.0,43.192543029785156,137216,,,,,,,,,,,,,,,
