time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
1024,15.289064407348633,180.0,,,,,,,,,,,,,,,
2048,13.006814002990723,180.0,,,,,,,,,,,,,,,
3072,13.364950180053711,180.0,46.453804486989974,0.0003,-5.866708491742611,-0.042751214117743075,0.0019235610961914062,16.261320114135742,10,0.2,0.439111328125,0.024351075,,,,,
4096,13.645380020141602,180.0,,,,,,,,,,,,,,,
5120,13.947206497192383,180.0,29.264591820538044,0.0003,-5.839514991641044,-0.036806839398559534,-0.0001780986785888672,11.441454887390137,20,0.2,0.371630859375,0.026194174,,,,,
6144,13.327242851257324,180.0,,,,,,,,,,,,,,,
7168,14.037701606750488,180.0,43.36015470027924,0.0003,-5.800915105640888,-0.036125810526573335,0.0002650618553161621,11.988561630249023,30,0.2,0.405322265625,0.026584245,,,,,
8192,13.457098007202148,180.0,,,,,,,,,,,,,,,
9216,14.558573722839355,180.0,37.51454692482948,0.0003,-5.784497605264187,-0.038419228189741264,0.0,15.982845306396484,40,0.2,0.410986328125,0.0255941,,,,,
10240,15.4783935546875,180.0,,,,,,,,,,,,,,,
11264,14.389586448669434,180.0,40.826811438798906,0.0003,-5.765919198095799,-0.03736343659402337,-1.1920928955078125e-07,16.241756439208984,50,0.2,0.3560546875,0.02363352,,,,,
12288,13.409073829650879,180.0,,,,,,,,,,,,,,,
13312,13.975255966186523,180.0,45.03134111762047,0.0003,-5.71512735337019,-0.03636307984997984,0.0,28.855247497558594,60,0.2,0.3748046875,0.022687629,,,,,
14336,14.282696723937988,180.0,,,,,,,,,,,,,,,
15360,15.200057983398438,180.0,42.19451858401298,0.0003,-5.7016003906726835,-0.03323609606013633,0.0,28.43075942993164,70,0.2,0.308349609375,0.023145165,,,,,
16384,13.677810668945312,180.0,,,,,,,,,,,,,,,
17408,14.249428749084473,180.0,42.892128345370296,0.0003,-5.673390050232411,-0.03748252603545552,8.940696716308594e-07,27.091636657714844,80,0.2,0.36220703125,0.024832666,,,,,
18432,13.434075355529785,180.0,,,,,,,,,,,,,,,
19456,14.874106407165527,180.0,45.12394276857376,0.0003,-5.662527957558632,-0.04011929668922676,1.5676021575927734e-05,19.41802406311035,90,0.2,0.36962890625,0.022855677,,,,,
20480,16.45572280883789,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,316,10,64,180.0,14.661990520000002
21504,17.307003021240234,180.0,41.93008981645107,0.0003,-5.647005614638329,-0.03326698845194187,-1.1920928955078125e-07,17.595529556274414,100,0.2,0.344970703125,0.02350526,,,,,
22528,14.768633842468262,180.0,,,,,,,,,,,,,,,
23552,15.685216903686523,180.0,45.65814223885536,0.0003,-5.597176994383335,-0.03501011149346596,8.07046890258789e-05,22.461524963378906,110,0.2,0.352880859375,0.022052048,,,,,
24576,15.53881549835205,180.0,,,,,,,,,,,,,,,
25600,15.28915023803711,180.0,37.81896372437477,0.0003,-5.598074300587177,-0.033378880044620016,0.0007107853889465332,22.265945434570312,120,0.2,0.329345703125,0.022082813,,,,,
26624,15.495067596435547,180.0,,,,,,,,,,,,,,,
27648,13.201044082641602,180.0,43.39878551959991,0.0003,-5.588360905647278,-0.028769466103403828,3.5762786865234375e-07,23.43037223815918,130,0.2,0.333642578125,0.021915093,,,,,
28672,15.745784759521484,180.0,,,,,,,,,,,,,,,
29696,15.7286376953125,180.0,49.42444099187851,0.0003,-5.574854551255703,-0.03445195027961745,0.0,21.64176368713379,140,0.2,0.321142578125,0.021849532,,,,,
30720,16.679269790649414,180.0,,,,,,,,,,,,,,,
31744,15.961365699768066,180.0,44.17714722156525,0.0003,-5.542555710673332,-0.03719776406651363,0.0,25.24947166442871,150,0.2,0.345361328125,0.022260763,,,,,
32768,15.96306037902832,180.0,,,,,,,,,,,,,,,
33792,15.56474781036377,180.0,40.400840926170346,0.0003,-5.531834770739079,-0.03680215990316356,-1.1920928955078125e-07,17.528011322021484,160,0.2,0.356787109375,0.022565033,,,,,
34816,15.109766006469727,180.0,,,,,,,,,,,,,,,
35840,14.809751510620117,180.0,38.269412857294085,0.0003,-5.52374292910099,-0.03635241978408885,0.0,27.750946044921875,170,0.2,0.351513671875,0.021870142,,,,,
36864,14.708069801330566,180.0,,,,,,,,,,,,,,,
37888,14.670024871826172,180.0,36.91621006131172,0.0003,-5.492532493174076,-0.03914825384272262,0.0,22.790538787841797,180,0.2,0.363623046875,0.023305494,,,,,
38912,14.755914688110352,180.0,,,,,,,,,,,,,,,
39936,14.45953369140625,180.0,43.51272842884064,0.0003,-5.473540769517422,-0.03214851753218682,-1.1920928955078125e-07,19.928152084350586,190,0.2,0.3138671875,0.022719998,,,,,
40960,16.90676498413086,180.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,317,20,128,180.0,15.448601610000003
41984,16.430992126464844,180.0,35.77033754885197,0.0003,-5.466117192804814,-0.02944737148354761,1.1920928955078125e-07,17.075977325439453,200,0.2,0.3029296875,0.019856777,,,,,
43008,16.23448944091797,180.0,,,,,,,,,,,,,,,
44032,15.726730346679688,180.0,44.462259215116504,0.0003,-5.441869136691094,-0.0350977814377984,5.960464477539063e-08,12.87292194366455,210,0.2,0.336083984375,0.020979133,,,,,
45056,16.88214874267578,180.0,,,,,,,,,,,,,,,
46080,16.69357681274414,180.0,39.12815652191639,0.0003,-5.417847226560116,-0.03010066900314996,0.0,34.281673431396484,220,0.2,0.329541015625,0.021320265,,,,,
47104,15.547533988952637,180.0,,,,,,,,,,,,,,,
48128,16.175485610961914,180.0,34.23278063833713,0.0003,-5.419359542429447,-0.03215805657528108,0.0,14.665594100952148,230,0.2,0.311767578125,0.021734662,,,,,
49152,15.606311798095703,180.0,,,,,,,,,,,,,,,
50176,18.932348251342773,180.0,41.22215946316719,0.0003,-5.429217326641083,-0.029126966070907655,0.0,32.41384506225586,240,0.2,0.258251953125,0.020218445,,,,,
51200,15.25316047668457,180.0,,,,,,,,,,,,,,,
52224,16.851253509521484,180.0,38.8099079400301,0.0003,-5.383742019534111,-0.03575389729812741,-1.1920928955078125e-07,26.892847061157227,250,0.2,0.33515625,0.0209762,,,,,
53248,17.787212371826172,180.0,,,,,,,,,,,,,,,
54272,16.866436004638672,180.0,44.537207713723184,0.0003,-5.3676851153373715,-0.034155835447018036,0.00016230344772338867,24.04061508178711,260,0.2,0.3162109375,0.02255988,,,,,
55296,16.951519012451172,180.0,,,,,,,,,,,,,,,
56320,18.24892807006836,180.0,43.87178482413292,0.0003,-5.3310350105166435,-0.031967996270395815,0.0,14.067764282226562,270,0.2,0.3033203125,0.020123411,,,,,
57344,18.142112731933594,180.0,,,,,,,,,,,,,,,
58368,19.213829040527344,180.0,34.9600606918335,0.0003,-5.288413578271866,-0.032805191303486934,0.0,9.149903297424316,280,0.2,0.340966796875,0.020301819,,,,,
