time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed
105472,75.97613525390625,40.0,-0.04588887025311124,0.0003,0.6037109375,40.089215862751004,510,0.2,-3.6516674637794493,21.136962890625,-1.1920928955078125e-07,0.10941176,,,,,
106496,58.14453125,40.0,,,,,,,,,,,,,,,
107520,51.00312805175781,40.0,-0.04666265403211582,0.0003,0.570361328125,29.758396434783936,520,0.2,-3.6377365440130234,16.182296752929688,5.960464477539063e-08,0.10060951,,,,,
108544,59.991737365722656,40.0,,,,,,,,,,,,,,,
109568,61.53523635864258,40.0,-0.028453268470184413,0.0003,0.615625,33.98232668042183,530,0.2,-3.626577025651932,17.665342330932617,0.0,0.109523624,,,,,
110592,55.62409210205078,40.0,,,,,,,,,,,,,,,
111616,49.81068420410156,40.0,-0.0491045847593341,0.0003,0.618896484375,37.03297778964043,540,0.2,-3.585827448219061,18.10662269592285,0.0,0.1386615,,,,,
112640,50.49040222167969,40.0,,,,,,,,,,,,,,,
113664,54.119407653808594,40.0,-0.04058357492031064,0.0003,0.641162109375,30.52314387857914,550,0.2,-3.542430019378662,10.462716102600098,5.960464477539063e-08,0.12323131,,,,,
114688,60.32171630859375,40.0,,,,,,,,,,,,,,,
115712,62.55011749267578,40.0,-0.038451442209770904,0.0003,0.6001953125,29.604819959402086,560,0.2,-3.5458587408065796,14.972207069396973,-1.1920928955078125e-07,0.12843433,,,,,
116736,56.57612609863281,40.0,,,,,,,,,,,,,,,
117760,51.46894073486328,40.0,-0.05100120497518219,0.0003,0.62685546875,38.47685778141022,570,0.2,-3.5461847804486752,22.183908462524414,0.0,0.12492248,,,,,
118784,52.07760238647461,40.0,,,,,,,,,,,,,,,
119808,55.41645812988281,40.0,-0.039185722975526006,0.0003,0.617724609375,30.812545931339265,580,0.2,-3.5197003200650214,16.1401309967041,0.0,0.1224586,,,,,
120832,55.341888427734375,40.0,,,,,,,,,,,,,,,
121856,65.18375396728516,40.0,-0.043038937877281566,0.0003,0.674609375,33.30265678763389,590,0.2,-3.473656927794218,18.75005340576172,1.1920928955078125e-07,0.1588385,,,,,
122880,31.88391876220703,40.0,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,394,40.0,59.324671130000006,60,311
123904,57.23187255859375,40.0,-0.017313510450185275,0.0003,0.727392578125,27.08459467291832,600,0.2,-3.4557569243013857,13.772442817687988,0.0,0.14996313,,,,,
124928,63.752159118652344,40.0,,,,,,,,,,,,,,,
125952,62.61408615112305,40.0,-0.02806602301861858,0.0003,0.724365234375,27.869755041599273,610,0.2,-3.5024464577436447,13.351672172546387,5.960464477539063e-08,0.09994703,,,,,
126976,65.1946029663086,40.0,,,,,,,,,,,,,,,
128000,63.965423583984375,40.0,-0.04726598537818063,0.0003,0.6296875,30.251333916187285,620,0.2,-3.5124027647078035,15.497123718261719,0.0,0.101095214,,,,,
129024,63.46687316894531,40.0,,,,,,,,,,,,,,,
130048,62.22526550292969,40.0,-0.04826750270440243,0.0003,0.667822265625,37.29695510268211,630,0.2,-3.489083185046911,15.658066749572754,0.0,0.11515762,,,,,
131072,49.46115493774414,40.0,,,,,,,,,,,,,,,
132096,69.44546508789062,40.0,-0.04777688845933881,0.0003,0.644189453125,32.64530166089535,640,0.2,-3.4704362668097017,11.807112693786621,1.1920928955078125e-07,0.10373168,,,,,
133120,60.354278564453125,40.0,,,,,,,,,,,,,,,
134144,56.257877349853516,40.0,-0.040766539379546884,0.0003,0.59169921875,33.26818905472756,650,0.2,-3.494535905122757,16.30010223388672,0.0,0.07842547,,,,,
135168,57.175697326660156,40.0,,,,,,,,,,,,,,,
136192,57.04265213012695,40.0,-0.04567829234001693,0.0003,0.601220703125,37.993293535709384,660,0.2,-3.4633655317127703,21.345840454101562,-1.1920928955078125e-07,0.10172828,,,,,
137216,62.59920883178711,40.0,,,,,,,,,,,,,,,
138240,56.34524917602539,40.0,-0.04964161205862183,0.0003,0.6306640625,32.07223428487778,670,0.2,-3.4784263603389265,15.126399040222168,0.0,0.09220355,,,,,
139264,58.68727493286133,40.0,,,,,,,,,,,,,,,
140288,62.73031997680664,40.0,-0.04459459409699775,0.0003,0.600439453125,35.37200765013695,680,0.2,-3.4731216758489607,20.14153289794922,-1.1920928955078125e-07,0.09203753,,,,,
141312,66.51608276367188,40.0,,,,,,,,,,,,,,,
142336,68.23042297363281,40.0,-0.05207990803173743,0.0003,0.674462890625,37.98161879181862,690,0.2,-3.4558083012700083,18.873075485229492,0.0,0.122352146,,,,,
143360,60.77519989013672,40.0,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,392,40.0,65.21283571,70,365
144384,65.98133850097656,40.0,-0.043175355985295025,0.0003,0.6373046875,36.79157380461693,700,0.2,-3.458069755136967,27.089975357055664,0.0,0.112720266,,,,,
145408,59.05960464477539,40.0,,,,,,,,,,,,,,,
146432,54.84404754638672,40.0,-0.053881935449317096,0.0003,0.636865234375,29.448197263479233,710,0.2,-3.437854950129986,12.196854591369629,0.0,0.13494822,,,,,
147456,57.70830154418945,40.0,,,,,,,,,,,,,,,
148480,56.15453338623047,40.0,-0.06261101497220807,0.0003,0.6087890625,32.97156632244587,720,0.2,-3.446446292847395,14.44970703125,-1.1920928955078125e-07,0.098180175,,,,,
149504,57.927833557128906,40.0,,,,,,,,,,,,,,,
150528,68.62112426757812,40.0,-0.038083609731984325,0.0003,0.613134765625,33.11272736191749,730,0.2,-3.4266636610031127,18.689266204833984,0.0,0.09661397,,,,,
151552,62.364501953125,40.0,,,,,,,,,,,,,,,
152576,59.18034362792969,40.0,-0.03791244435124099,0.0003,0.608056640625,24.852303394675253,740,0.2,-3.4450969733297825,12.807951927185059,5.960464477539063e-08,0.109779194,,,,,
153600,64.08818817138672,40.0,,,,,,,,,,,,,,,
154624,58.71352767944336,40.0,-0.049979855387937276,0.0003,0.595263671875,34.625675320625305,750,0.2,-3.4565451979637145,14.212903022766113,0.0,0.10259108,,,,,
155648,72.08641052246094,40.0,,,,,,,,,,,,,,,
156672,60.6966667175293,40.0,-0.031823985793744215,0.0003,0.599267578125,30.476525810360908,760,0.2,-3.4334415212273597,19.79608154296875,0.0,0.110034354,,,,,
157696,68.23468017578125,40.0,,,,,,,,,,,,,,,
158720,68.45869445800781,40.0,-0.04701741020253394,0.0003,0.6224609375,31.580496907234192,770,0.2,-3.444507527351379,9.723861694335938,5.960464477539063e-08,0.09869189,,,,,
159744,67.71934509277344,40.0,,,,,,,,,,,,,,,
160768,67.34445190429688,40.0,-0.05833446800825186,0.0003,0.62666015625,32.2909992814064,780,0.2,-3.435693347454071,15.28724479675293,0.0,0.09765783,,,,,
161792,52.85115051269531,40.0,,,,,,,,,,,,,,,
162816,57.26953125,40.0,-0.011042181649827398,0.0003,0.61650390625,24.49465727508068,790,0.2,-3.436040558665991,12.89755916595459,0.0,0.09638391,,,,,
163840,72.09036254882812,40.0,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,392,40.0,53.440953570000005,80,416
164864,49.33555603027344,40.0,-0.03256503574812086,0.0003,0.572216796875,25.87309373319149,800,0.2,-3.447525952756405,11.243717193603516,0.0,0.065646924,,,,,
165888,69.57017517089844,40.0,,,,,,,,,,,,,,,
166912,74.88551330566406,40.0,-0.03979240510670934,0.0003,0.548876953125,34.988705557584765,810,0.2,-3.460838347673416,17.764528274536133,0.0,0.07368559,,,,,
167936,48.694339752197266,40.0,,,,,,,,,,,,,,,
168960,54.18754577636719,40.0,-0.03201527375495061,0.0003,0.57353515625,24.870569929480553,820,0.2,-3.474964337795973,15.475716590881348,0.0,0.077827685,,,,,
169984,63.48670196533203,40.0,,,,,,,,,,,,,,,
171008,56.40108871459961,40.0,-0.03448772524861852,0.0003,0.522998046875,27.641592425107955,830,0.2,-3.4874820441007612,15.570321083068848,0.0,0.070700094,,,,,
172032,46.17808532714844,40.0,,,,,,,,,,,,,,,
173056,63.32606506347656,40.0,-0.05325824314786587,0.0003,0.481103515625,35.471895056962964,840,0.2,-3.4863755732774733,17.564796447753906,1.1920928955078125e-07,0.054790594,,,,,
174080,49.763893127441406,40.0,,,,,,,,,,,,,,,
175104,52.2968635559082,40.0,-0.0343530149635626,0.0003,0.46572265625,32.11876160502434,850,0.2,-3.48682856336236,18.072589874267578,1.1920928955078125e-07,0.05279933,,,,,
176128,62.140506744384766,40.0,,,,,,,,,,,,,,,
177152,71.46711730957031,40.0,-0.05265780331392307,0.0003,0.473876953125,31.330186480283736,860,0.2,-3.4804841063916685,17.7254581451416,0.0,0.055528652,,,,,
178176,69.22735595703125,40.0,,,,,,,,,,,,,,,
179200,56.545440673828125,40.0,-0.058732109423726794,0.0003,0.55595703125,36.3989075422287,870,0.2,-3.478060835599899,19.1705265045166,0.0,0.084794156,,,,,
180224,54.048580169677734,40.0,,,,,,,,,,,,,,,
181248,61.482635498046875,40.0,-0.0549028461711714,0.0003,0.5822265625,33.92218809723854,880,0.2,-3.470543418824673,15.801280975341797,-1.1920928955078125e-07,0.0873142,,,,,
182272,57.443565368652344,40.0,,,,,,,,,,,,,,,
183296,65.2108154296875,40.0,-0.05393974017351866,0.0003,0.524267578125,38.897152823209765,890,0.2,-3.46349658370018,18.512521743774414,0.0,0.07814863,,,,,
184320,38.19916534423828,40.0,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,391,40.0,63.24224172000001,90,470
185344,64.9189682006836,40.0,-0.03720598170766607,0.0003,0.537451171875,29.24241384267807,900,0.2,-3.4474592596292495,23.88654136657715,0.0,0.07194954,,,,,
186368,57.227447509765625,40.0,,,,,,,,,,,,,,,
187392,44.79411315917969,40.0,-0.046759606621344575,0.0003,0.555126953125,32.42500518560409,910,0.2,-3.44335715174675,11.543755531311035,-1.1920928955078125e-07,0.08308826,,,,,
188416,45.267845153808594,40.0,,,,,,,,,,,,,,,
189440,56.65449905395508,40.0,-0.05290172029635869,0.0003,0.5880859375,32.457493382692334,920,0.2,-3.4452196039259433,18.391441345214844,1.1920928955078125e-07,0.101459295,,,,,
190464,62.78031539916992,40.0,,,,,,,,,,,,,,,
191488,62.88883972167969,40.0,-0.0597034307429567,0.0003,0.630908203125,28.083473032712938,930,0.2,-3.430683808028698,10.404311180114746,0.0,0.11957279,,,,,
192512,61.22490310668945,40.0,,,,,,,,,,,,,,,
193536,50.9454345703125,40.0,-0.04462797084124759,0.0003,0.602783203125,33.20830659866333,940,0.2,-3.425615853071213,14.839802742004395,-1.1920928955078125e-07,0.09236829,,,,,
194560,62.02256774902344,40.0,,,,,,,,,,,,,,,
