eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/clip_range,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
40.0,51.26933670043945,16384,,,,,,,,,,,,,,,
40.0,47.86600875854492,17408,1.1920928955078125e-07,0.0003,186166.21127929687,0.07896441,0.42138671875,-0.033079380975686946,87882.4765625,80,-6.393804976344109,0.2,,,,,
40.0,48.2362174987793,18432,,,,,,,,,,,,,,,
40.0,50.37919998168945,19456,1.7881393432617188e-07,0.0003,173984.2943847656,0.07859521,0.42568359375,-0.03545361737487838,78449.7734375,90,-6.393385311961174,0.2,,,,,
40.0,48.732215881347656,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,223,1282.00602952,40.0,91,10
40.0,49.44075012207031,21504,0.0,0.0003,167096.62451171875,0.07784609,0.43115234375,-0.03300608982681297,85466.953125,100,-6.392898991703987,0.2,,,,,
40.0,45.63536071777344,22528,,,,,,,,,,,,,,,
40.0,50.24797821044922,23552,0.0,0.0003,162943.9038574219,0.0805271,0.42021484375,-0.030583045881940052,85520.21875,110,-6.392333357036113,0.2,,,,,
40.0,50.50325393676758,24576,,,,,,,,,,,,,,,
40.0,51.183433532714844,25600,0.0,0.0003,186993.23178710937,0.07569845,0.427294921875,-0.03123256619728636,99288.03125,120,-6.391876977682114,0.2,,,,,
40.0,49.98667907714844,26624,,,,,,,,,,,,,,,
40.0,49.31431579589844,27648,1.7881393432617188e-07,0.0003,189438.55297851562,0.075769834,0.4259765625,-0.03510065542650409,98070.265625,130,-6.391506379842758,0.2,,,,,
40.0,44.401947021484375,28672,,,,,,,,,,,,,,,
40.0,49.53752136230469,29696,1.7881393432617188e-07,0.0003,169959.8042480469,0.07235034,0.410546875,-0.030770925214164892,85077.1015625,140,-6.3911641269922255,0.2,,,,,
40.0,46.68539810180664,30720,,,,,,,,,,,,,,,
40.0,43.45569610595703,31744,0.0,0.0003,167229.61875,0.06961365,0.4041015625,-0.028769546691910362,77677.5625,150,-6.390725590288639,0.2,,,,,
40.0,47.8802490234375,32768,,,,,,,,,,,,,,,
40.0,55.201316833496094,33792,1.1920928955078125e-07,0.0003,165705.71704101562,0.07461008,0.434130859375,-0.026346176196238958,81776.25,160,-6.39027622193098,0.2,,,,,
40.0,51.14366149902344,34816,,,,,,,,,,,,,,,
