eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
180.0,21504,14.645854949951172,0.32001953125,-5.640273304283619,0.023034625,28.650150299072266,0.0003,100,42.06808582544327,-0.030810864239174406,0.2,0.0,,,,,
180.0,22528,17.057682037353516,,,,,,,,,,,,,,,
180.0,23552,15.971185684204102,0.333740234375,-5.618462231755257,0.022467483,23.511323928833008,0.0003,110,45.437716683745386,-0.029538878684979862,0.2,0.0,,,,,
180.0,24576,15.687827110290527,,,,,,,,,,,,,,,
180.0,25600,17.382381439208984,0.3541015625,-5.593995171785354,0.021903701,24.9303035736084,0.0003,120,40.37428524196148,-0.03199255919462303,0.2,0.0,,,,,
180.0,26624,14.866952896118164,,,,,,,,,,,,,,,
180.0,27648,15.752769470214844,0.3392578125,-5.571955050528049,0.020728547,21.150632858276367,0.0003,130,45.45045508146286,-0.03543457436171593,0.2,0.0,,,,,
180.0,28672,14.998506546020508,,,,,,,,,,,,,,,
180.0,29696,14.304117202758789,0.318798828125,-5.560277307033539,0.02050297,20.19878578186035,0.0003,140,44.84186025857925,-0.033123068227723707,0.2,5.960464477539063e-08,,,,,
180.0,30720,16.38152503967285,,,,,,,,,,,,,,,
180.0,31744,16.01856231689453,0.36298828125,-5.554800048470497,0.023749787,22.107933044433594,0.0003,150,42.67968289256096,-0.037332482445344796,0.2,0.0,,,,,
180.0,32768,17.259666442871094,,,,,,,,,,,,,,,
180.0,33792,16.84489631652832,0.36123046875,-5.538817416131496,0.023435008,24.66042137145996,0.0003,160,35.74119462072849,-0.03820374202987296,0.2,0.0,,,,,
180.0,34816,15.803746223449707,,,,,,,,,,,,,,,
180.0,35840,15.893239974975586,0.38173828125,-5.511567153036594,0.021740964,17.89815902709961,0.0003,170,43.00630506873131,-0.04027958135775407,0.2,0.0,,,,,
180.0,36864,17.886070251464844,,,,,,,,,,,,,,,
180.0,37888,16.204078674316406,0.351220703125,-5.48012692630291,0.019849826,14.345256805419922,0.0003,180,36.620942839980124,-0.03222429314046167,0.2,-1.1920928955078125e-07,,,,,
