eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates,train/clip_fraction,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps
14.866968154907227,1024,180.0,,,,,,,,,,,,,,,
13.994658470153809,2048,180.0,,,,,,,,,,,,,,,
13.685426712036133,3072,180.0,0.026752703,-0.043155138736619844,41.817629837989806,0.0003,-5.864485827088356,0.2,0.0,24.51313591003418,10,0.42724609375,,,,,
13.004568099975586,4096,180.0,,,,,,,,,,,,,,,
14.463608741760254,5120,180.0,0.025906209,-0.03681913733744295,46.38284990787506,0.0003,-5.816520524024964,0.2,0.0,19.390926361083984,20,0.4072265625,,,,,
13.831022262573242,6144,180.0,,,,,,,,,,,,,,,
14.173316955566406,7168,180.0,0.027360514,-0.038156155512842814,39.3019354313612,0.0003,-5.785899569094181,0.2,0.0,17.886699676513672,30,0.420166015625,,,,,
15.441314697265625,8192,180.0,,,,,,,,,,,,,,,
13.555861473083496,9216,180.0,0.024616446,-0.039112713956274095,33.69775861799717,0.0003,-5.775538565218449,0.2,0.0,22.432899475097656,40,0.403955078125,,,,,
12.71133041381836,10240,180.0,,,,,,,,,,,,,,,
13.938899993896484,11264,180.0,0.025152555,-0.037013442519673846,44.15243572294712,0.0003,-5.744959281384945,0.2,0.0,17.970102310180664,50,0.38427734375,,,,,
14.242782592773438,12288,180.0,,,,,,,,,,,,,,,
13.345258712768555,13312,180.0,0.023573633,-0.03671311581711052,44.40174971818924,0.0003,-5.731480331718922,0.2,1.7881393432617188e-07,24.856229782104492,60,0.356640625,,,,,
14.391115188598633,14336,180.0,,,,,,,,,,,,,,,
14.330102920532227,15360,180.0,0.02376836,-0.03892598363672732,41.25387778878212,0.0003,-5.703258606791496,0.2,0.0,16.085927963256836,70,0.37333984375,,,,,
15.060928344726562,16384,180.0,,,,,,,,,,,,,,,
16.58086585998535,17408,180.0,0.023741761,-0.04039993580227019,42.93977129459381,0.0003,-5.67607918381691,0.2,0.0,30.281465530395508,80,0.377001953125,,,,,
15.548151969909668,18432,180.0,,,,,,,,,,,,,,,
16.660140991210938,19456,180.0,0.022734955,-0.03455569449288305,49.684472531080246,0.0003,-5.631566847860813,0.2,0.0,30.231958389282227,90,0.3626953125,,,,,
16.135602951049805,20480,180.0,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,71,10,180.0,14.27102016,285
15.085626602172852,21504,180.0,0.023353558,-0.03148381035862258,35.542175489664075,0.0003,-5.618305517733097,0.2,-1.1920928955078125e-07,19.933944702148438,100,0.338818359375,,,,,
14.170242309570312,22528,180.0,,,,,,,,,,,,,,,
16.851911544799805,23552,180.0,0.021609776,-0.03576211750478251,41.42503638863563,0.0003,-5.585019761323929,0.2,0.0,10.668902397155762,110,0.36611328125,,,,,
16.178678512573242,24576,180.0,,,,,,,,,,,,,,,
15.046391487121582,25600,180.0,0.025717657,-0.03842801693099318,38.67318625152111,0.0003,-5.548894882202148,0.2,0.0,15.935714721679688,120,0.382763671875,,,,,
15.522327423095703,26624,180.0,,,,,,,,,,,,,,,
15.349509239196777,27648,180.0,0.022925671,-0.03537284330668626,40.122796311974525,0.0003,-5.508896316587925,0.2,0.0,23.28596305847168,130,0.347509765625,,,,,
16.368812561035156,28672,180.0,,,,,,,,,,,,,,,
15.92584228515625,29696,180.0,0.020878159,-0.032585893209034114,42.955334681272504,0.0003,-5.494075374305249,0.2,0.0,16.94324493408203,140,0.32939453125,,,,,
15.176958084106445,30720,180.0,,,,,,,,,,,,,,,
17.354686737060547,31744,180.0,0.023016496,-0.03465880545118125,34.88190131187439,0.0003,-5.4754727855324745,0.2,0.0,22.439542770385742,150,0.36259765625,,,,,
16.125598907470703,32768,180.0,,,,,,,,,,,,,,,
15.75039291381836,33792,180.0,0.022961685,-0.03421336236933712,42.161533516645434,0.0003,-5.455017410218716,0.2,1.1920928955078125e-07,19.093311309814453,160,0.34345703125,,,,,
15.835649490356445,34816,180.0,,,,,,,,,,,,,,,
14.367536544799805,35840,180.0,0.021690862,-0.034127963620994704,47.62729697227478,0.0003,-5.431373313069344,0.2,5.960464477539063e-08,22.35704231262207,170,0.34150390625,,,,,
16.659528732299805,36864,180.0,,,,,,,,,,,,,,,
17.7957763671875,37888,180.0,0.019756183,-0.030954814836150035,43.33586190938949,0.0003,-5.385560411214828,0.2,-1.1920928955078125e-07,19.391843795776367,180,0.324462890625,,,,,
16.9427547454834,38912,180.0,,,,,,,,,,,,,,,
17.421527862548828,39936,180.0,0.022858076,-0.037164252423099245,41.40339474976063,0.0003,-5.3532603368163105,0.2,1.1920928955078125e-07,15.932290077209473,190,0.37109375,,,,,
16.039743423461914,40960,180.0,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,148,20,180.0,15.57407253,275
18.373519897460938,41984,180.0,0.01988168,-0.02997208362139645,42.51201902627945,0.0003,-5.34346521049738,0.2,0.0,17.687406539916992,200,0.28935546875,,,,,
19.30518341064453,43008,180.0,,,,,,,,,,,,,,,
18.222362518310547,44032,180.0,0.02233408,-0.03444938434113283,45.324752676486966,0.0003,-5.272346456348896,0.2,0.0,12.934464454650879,210,0.352587890625,,,,,
19.663902282714844,45056,180.0,,,,,,,,,,,,,,,
18.06861114501953,46080,180.0,0.022055339,-0.033816958621901,43.93753229379654,0.0003,-5.225140978395939,0.2,0.0,25.122081756591797,220,0.3728515625,,,,,
16.141691207885742,47104,180.0,,,,,,,,,,,,,,,
21.586872100830078,48128,180.0,0.019745536,-0.027482608614081982,43.97560026347637,0.0003,-5.143445640802383,0.2,-1.1920928955078125e-07,17.28458595275879,230,0.313623046875,,,,,
17.295455932617188,49152,180.0,,,,,,,,,,,,,,,
19.736549377441406,50176,180.0,0.023513995,-0.03304038304340793,42.36442841887474,0.0003,-5.157754449546337,0.2,0.0,36.06615447998047,240,0.3302734375,,,,,
18.87018585205078,51200,180.0,,,,,,,,,,,,,,,
17.651599884033203,52224,180.0,0.021765728,-0.033842941868351774,38.791782405972484,0.0003,-5.139548107981682,0.2,0.0,11.49326229095459,250,0.328662109375,,,,,
20.685941696166992,53248,180.0,,,,,,,,,,,,,,,
21.155467987060547,54272,180.0,0.021512125,-0.031184957197547193,38.3345105946064,0.0003,-5.0579970076680185,0.2,0.0,15.395378112792969,260,0.339794921875,,,,,
19.341806411743164,55296,180.0,,,,,,,,,,,,,,,
20.058988571166992,56320,180.0,0.01974789,-0.02997993155004224,36.192685732245444,0.0003,-5.006949479877949,0.2,0.0,19.043048858642578,270,0.305517578125,,,,,
20.270803451538086,57344,180.0,,,,,,,,,,,,,,,
20.579357147216797,58368,180.0,0.021475941,-0.029673847724916415,45.08020965456963,0.0003,-4.961232624948025,0.2,0.0,21.28652572631836,280,0.325830078125,,,,,
20.035924911499023,59392,180.0,,,,,,,,,,,,,,,
23.289705276489258,60416,180.0,0.01893773,-0.026240814458287787,40.36164727807045,0.0003,-4.961370809376239,0.2,0.0,19.78468132019043,290,0.266455078125,,,,,
20.682077407836914,61440,180.0,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,225,30,180.0,19.98547133,272
20.930374145507812,62464,180.0,0.020445745,-0.029253115053870717,44.58300999403,0.0003,-4.910935978591442,0.2,0.0,24.82237434387207,300,0.3009765625,,,,,
22.37834930419922,63488,180.0,,,,,,,,,,,,,,,
22.78618621826172,64512,180.0,0.021539917,-0.03134646036342019,48.094739043712615,0.0003,-4.888121607899666,0.2,-1.1920928955078125e-07,26.562213897705078,310,0.303759765625,,,,,
21.01004981994629,65536,180.0,,,,,,,,,,,,,,,
21.263246536254883,66560,180.0,0.019678533,-0.03268991290278791,42.879837441444394,0.0003,-4.8484173059463505,0.2,-1.1920928955078125e-07,16.789886474609375,320,0.33203125,,,,,
23.27272605895996,67584,180.0,,,,,,,,,,,,,,,
27.680532455444336,68608,180.0,0.020502198,-0.02655599902063841,37.429391250014305,0.0003,-4.744310799241066,0.2,0.0,30.382307052612305,330,0.309814453125,,,,,
24.18526840209961,69632,180.0,,,,,,,,,,,,,,,
26.14508628845215,70656,180.0,0.01848553,-0.026904631298384628,45.196072190999985,0.0003,-4.705103772878647,0.2,0.0,29.401092529296875,340,0.28984375,,,,,
23.041336059570312,71680,180.0,,,,,,,,,,,,,,,
27.143064498901367,72704,180.0,0.020962277,-0.02366667202586541,50.39756816923618,0.0003,-4.651757311820984,0.2,-1.1920928955078125e-07,34.788326263427734,350,0.26826171875,,,,,
27.684017181396484,73728,180.0,,,,,,,,,,,,,,,
28.324556350708008,74752,180.0,0.02067114,-0.02989648012444377,40.399497154355046,0.0003,-4.604818816483021,0.2,1.1920928955078125e-07,25.45716667175293,360,0.313427734375,,,,,
23.5664119720459,75776,180.0,,,,,,,,,,,,,,,
