time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
1024,13.272159576416016,180.0,,,,,,,,,,,,,,,
2048,14.653926849365234,180.0,,,,,,,,,,,,,,,
3072,12.632396697998047,180.0,38.45541035830975,0.0003,-5.864919863641262,-0.044136370462365446,0.0024551749229431152,17.216352462768555,10,0.2,0.415966796875,0.025624584,,,,,
4096,14.800600051879883,180.0,,,,,,,,,,,,,,,
5120,13.57574462890625,180.0,36.727964812517165,0.0003,-5.83867534995079,-0.037200247670989485,0.007220804691314697,18.228954315185547,20,0.2,0.374755859375,0.023858713,,,,,
6144,15.154123306274414,180.0,,,,,,,,,,,,,,,
7168,13.527778625488281,180.0,42.73032292723656,0.0003,-5.806951415538788,-0.039481625252665256,0.010499894618988037,20.169212341308594,30,0.2,0.361669921875,0.023455458,,,,,
8192,12.253625869750977,180.0,,,,,,,,,,,,,,,
9216,14.351554870605469,180.0,37.192840895056726,0.0003,-5.793010137975216,-0.03724105373257771,0.008213579654693604,15.833035469055176,40,0.2,0.33740234375,0.02189719,,,,,
10240,13.069021224975586,180.0,,,,,,,,,,,,,,,
11264,14.341774940490723,180.0,41.90079905390739,0.0003,-5.76114182472229,-0.03624320570670534,0.009011387825012207,21.434219360351562,50,0.2,0.343603515625,0.022787023,,,,,
12288,15.657628059387207,180.0,,,,,,,,,,,,,,,
13312,14.8782320022583,180.0,42.7181116938591,0.0003,-5.733718088269233,-0.03564870972768404,0.008344292640686035,20.61029624938965,60,0.2,0.345166015625,0.022124168,,,,,
14336,14.541718482971191,180.0,,,,,,,,,,,,,,,
15360,15.095356941223145,180.0,40.98875443339348,0.0003,-5.704674102365971,-0.030036363407270984,0.003169715404510498,18.65656280517578,70,0.2,0.327392578125,0.023028975,,,,,
16384,14.181150436401367,180.0,,,,,,,,,,,,,,,
17408,14.250423431396484,180.0,38.46715542376042,0.0003,-5.68758635520935,-0.03884880132973194,0.0009906888008117676,20.17911148071289,80,0.2,0.3830078125,0.026680304,,,,,
18432,14.854310989379883,180.0,,,,,,,,,,,,,,,
19456,15.400933265686035,180.0,45.79701412320137,0.0003,-5.677471606433391,-0.03222199235751759,3.5762786865234375e-07,23.145034790039062,90,0.2,0.322509765625,0.023012869,,,,,
20480,13.7158842086792,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,317,10,64,180.0,14.22305863
21504,15.301521301269531,180.0,42.43734999001026,0.0003,-5.633666546642781,-0.031517235160572456,0.00018703937530517578,32.96913528442383,100,0.2,0.320703125,0.019382928,,,,,
22528,15.370067596435547,180.0,,,,,,,,,,,,,,,
23552,13.540205001831055,180.0,40.17870554029942,0.0003,-5.637052369117737,-0.03228089745825855,0.0008456110954284668,17.472623825073242,110,0.2,0.32265625,0.020654801,,,,,
24576,15.225741386413574,180.0,,,,,,,,,,,,,,,
25600,14.513151168823242,180.0,41.33759327828884,0.0003,-5.613554237782955,-0.03988834824122023,0.0010682344436645508,19.882675170898438,120,0.2,0.37939453125,0.024547465,,,,,
26624,14.620722770690918,180.0,,,,,,,,,,,,,,,
27648,15.447274208068848,180.0,40.495345395803454,0.0003,-5.588089601695538,-0.03268537182084401,0.0017566680908203125,11.427556991577148,130,0.2,0.3283203125,0.022583019,,,,,
28672,14.749723434448242,180.0,,,,,,,,,,,,,,,
