eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/policy_gradient_loss,train/clip_range,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps
21.091718673706055,512,50.0,,,,,,,,,,,,,,,
18.417945861816406,1024,50.0,,,,,,,,,,,,,,,
26.356189727783203,1536,50.0,,,,,,,,,,,,,,,
27.46536636352539,2048,50.0,,,,,,,,,,,,,,,
20.576345443725586,2560,50.0,0.07546510586398654,0.2,94620.34714355468,0.309716796875,-5.297347044944763,10,0.0003,44073.61328125,0.117730066,-0.00026798248291015625,,,,,
23.352256774902344,3072,50.0,,,,,,,,,,,,,,,
20.224050521850586,3584,50.0,,,,,,,,,,,,,,,
20.429800033569336,4096,50.0,,,,,,,,,,,,,,,
18.464168548583984,4608,50.0,0.07752043508226052,0.2,95094.20856933594,0.315283203125,-5.294207495450974,20,0.0003,48748.3671875,0.12274039,-9.5367431640625e-07,,,,,
19.185222625732422,5120,50.0,,,,,,,,,,,,,,,
23.021446228027344,5632,50.0,,,,,,,,,,,,,,,
18.639549255371094,6144,50.0,,,,,,,,,,,,,,,
19.095996856689453,6656,50.0,0.061754067879519425,0.2,89605.76806640625,0.33525390625,-5.290472790598869,30,0.0003,47008.375,0.12168479,-1.1920928955078125e-07,,,,,
20.819652557373047,7168,50.0,,,,,,,,,,,,,,,
18.438297271728516,7680,50.0,,,,,,,,,,,,,,,
17.829893112182617,8192,50.0,,,,,,,,,,,,,,,
19.371042251586914,8704,50.0,0.06800746651715599,0.2,89109.19423828126,0.368115234375,-5.286586080491543,40,0.0003,54137.16796875,0.12410156,-1.1920928955078125e-07,,,,,
25.18915557861328,9216,50.0,,,,,,,,,,,,,,,
20.608619689941406,9728,50.0,,,,,,,,,,,,,,,
19.507076263427734,10240,50.0,,,,,,,,,,,,,,,
17.734853744506836,10752,50.0,0.07890245909220539,0.2,97109.21726074218,0.3765625,-5.285091935098171,50,0.0003,45483.60546875,0.12878208,-1.1920928955078125e-07,,,,,
23.05624771118164,11264,50.0,,,,,,,,,,,,,,,
