time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations
2048,26.741397857666016,80.0,,,,,,,,,,,,,,,
4096,28.858051300048828,80.0,,,,,,,,,,,,,,,
6144,26.470352172851562,80.0,3e-05,-0.012662195035045443,36.0853377468884,0.17294921875,19.714902877807617,0.1,0.0003306269645690918,0.0034978234,10,-5.884061874076724,,,,,
8192,31.598785400390625,80.0,,,,,,,,,,,,,,,
10240,29.80621337890625,80.0,3e-05,-0.012124590928578982,31.472240506112577,0.162109375,17.862882614135742,0.1,5.662441253662109e-06,0.003466532,20,-5.880192974209786,,,,,
12288,28.352203369140625,80.0,,,,,,,,,,,,,,,
14336,30.84693717956543,80.0,3e-05,-0.011331709458045226,34.131819505989554,0.1357177734375,19.25162124633789,0.1,-1.1920928955078125e-07,0.0032628998,30,-5.87711075283587,,,,,
16384,29.502464294433594,80.0,,,,,,,,,,,,,,,
18432,29.16037368774414,80.0,3e-05,-0.011111141096625943,32.79278989210725,0.1472900390625,17.591564178466797,0.1,0.0,0.0032166701,40,-5.872973105311393,,,,,
20480,28.74485206604004,80.0,,,,,,,,,,,,,,,
22528,27.912256240844727,80.0,3e-05,-0.01227175134299614,33.275182873755696,0.1630126953125,23.84754180908203,0.1,0.0,0.003433948,50,-5.8695671267807485,,,,,
24576,34.92746353149414,80.0,,,,,,,,,,,,,,,
26624,30.73670196533203,80.0,3e-05,-0.012917035729151394,34.114971256256105,0.1715576171875,22.594629287719727,0.1,0.0,0.00338405,60,-5.86614463403821,,,,,
28672,28.212169647216797,80.0,,,,,,,,,,,,,,,
30720,30.541702270507812,80.0,3e-05,-0.012207244472665479,35.32318786233664,0.17080078125,36.20987319946289,0.1,-1.1920928955078125e-07,0.003335616,70,-5.862344182655216,,,,,
32768,30.973051071166992,80.0,,,,,,,,,,,,,,,
34816,30.2275390625,80.0,3e-05,-0.013071800812576839,31.20430159419775,0.172509765625,28.142410278320312,0.1,0.0,0.003501549,80,-5.858645818755031,,,,,
36864,30.76964569091797,80.0,,,,,,,,,,,,,,,
38912,29.9901065826416,80.0,3e-05,-0.011624805791143444,34.43020002916455,0.1602294921875,23.92863655090332,0.1,0.0,0.00329634,90,-5.85602696724236,,,,,
40960,30.787166595458984,80.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,29.82887996,80.0,293,139,10
43008,28.680673599243164,80.0,3e-05,-0.011744533628734644,33.20993328243494,0.1632568359375,28.60433578491211,0.1,0.0,0.0034689792,100,-5.8530193906277415,,,,,
45056,28.715930938720703,80.0,,,,,,,,,,,,,,,
47104,32.74293899536133,80.0,3e-05,-0.012709015922337131,32.795797631144524,0.178857421875,19.712087631225586,0.1,0.0,0.0036286092,110,-5.847636690735817,,,,,
49152,32.642906188964844,80.0,,,,,,,,,,,,,,,
51200,31.178253173828125,80.0,3e-05,-0.01198254728988104,30.51135677471757,0.1638671875,19.358779907226562,0.1,-1.1920928955078125e-07,0.003493334,120,-5.84356186017394,,,,,
53248,31.731122970581055,80.0,,,,,,,,,,,,,,,
55296,26.490869522094727,80.0,3e-05,-0.014046505948499544,34.716051536798474,0.202001953125,28.634323120117188,0.1,0.0,0.0036189454,130,-5.8401508565992115,,,,,
57344,29.53000259399414,80.0,,,,,,,,,,,,,,,
