eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/n_updates,train/loss,train/value_loss,train/clip_range,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed
40.418663024902344,1024,27.0,,,,,,,,,,,,,,,
39.455322265625,2048,27.0,,,,,,,,,,,,,,,
42.154571533203125,3072,27.0,-5.839469742774964,0.549853515625,0.0010067224502563477,-0.08887324816314504,0.12054478,0.0003,10,39.459190368652344,90.62064821720124,0.2,,,,,
39.05396270751953,4096,27.0,,,,,,,,,,,,,,,
37.29998779296875,5120,27.0,-5.7946352630853655,0.44375,0.0,-0.05935107346158475,0.053324863,0.0003,20,51.36850357055664,118.93446255922318,0.2,,,,,
45.18181610107422,6144,27.0,,,,,,,,,,,,,,,
37.85005187988281,7168,27.0,-5.768124639987946,0.449755859375,0.0,-0.0665943611296825,0.063568726,0.0003,30,38.93447494506836,102.05912909507751,0.2,,,,,
41.57359313964844,8192,27.0,,,,,,,,,,,,,,,
40.072208404541016,9216,27.0,-5.730392906069755,0.445751953125,0.0,-0.06793601934332401,0.0612788,0.0003,40,29.112064361572266,92.36856516599656,0.2,,,,,
39.15068435668945,10240,27.0,,,,,,,,,,,,,,,
40.682430267333984,11264,27.0,-5.688007053732872,0.44970703125,0.0,-0.06942636065650731,0.06969174,0.0003,50,36.159000396728516,84.08700423240661,0.2,,,,,
42.83097457885742,12288,27.0,,,,,,,,,,,,,,,
44.70170593261719,13312,27.0,-5.6432052418589596,0.487646484375,0.0,-0.06951615412253886,0.07179751,0.0003,60,23.929903030395508,71.81109119057655,0.2,,,,,
37.56501770019531,14336,27.0,,,,,,,,,,,,,,,
37.897254943847656,15360,27.0,-5.599780823290348,0.447509765625,0.0,-0.06609454238787293,0.07201588,0.0003,70,35.170387268066406,77.14319822788238,0.2,,,,,
34.123172760009766,16384,27.0,,,,,,,,,,,,,,,
37.98937225341797,17408,27.0,-5.5561233282089235,0.464208984375,-1.1920928955078125e-07,-0.06864633410004899,0.06966893,0.0003,80,26.01972007751465,59.7132826924324,0.2,,,,,
33.243614196777344,18432,27.0,,,,,,,,,,,,,,,
38.163795471191406,19456,27.0,-5.516641688346863,0.463623046875,0.0,-0.06406578493770212,0.068531334,0.0003,90,27.183320999145508,58.369689512252805,0.2,,,,,
38.13324737548828,20480,27.0,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,10,27.0,250,38.42694763,81
