eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_range,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean
27.0,1024,36.869873046875,,,,,,,,,,,,,,,
27.0,2048,40.2750244140625,,,,,,,,,,,,,,,
27.0,3072,39.465354919433594,10,-0.0881761533441022,-0.0013484954833984375,0.10681449,0.2,0.0003,0.514794921875,33.71748733520508,94.61967496871948,-5.847087228298188,,,,,
27.0,4096,40.70174789428711,,,,,,,,,,,,,,,
27.0,5120,32.23899841308594,20,-0.06326253582956269,0.0,0.057646304,0.2,0.0003,0.44609375,25.769872665405273,99.40746928453446,-5.799744009971619,,,,,
27.0,6144,39.606781005859375,,,,,,,,,,,,,,,
27.0,7168,35.84709930419922,30,-0.06817964253714308,0.0,0.06409867,0.2,0.0003,0.459716796875,41.435794830322266,95.05471155643463,-5.753296862542629,,,,,
27.0,8192,41.740257263183594,,,,,,,,,,,,,,,
27.0,9216,41.48613739013672,40,-0.07199676664313301,0.0,0.06330795,0.2,0.0003,0.461376953125,39.30192565917969,88.62215065956116,-5.723089300096035,,,,,
27.0,10240,39.258358001708984,,,,,,,,,,,,,,,
27.0,11264,34.83649444580078,50,-0.07394990813918412,0.0,0.06609388,0.2,0.0003,0.4580078125,33.01948547363281,77.31962368488311,-5.681643450260163,,,,,
27.0,12288,41.063514709472656,,,,,,,,,,,,,,,
27.0,13312,41.11591720581055,60,-0.06630698901135475,0.0,0.075247854,0.2,0.0003,0.480322265625,33.427833557128906,75.1958416223526,-5.621692797541618,,,,,
27.0,14336,41.02606964111328,,,,,,,,,,,,,,,
27.0,15360,38.96178436279297,70,-0.06890004914603196,-1.1920928955078125e-07,0.06361008,0.2,0.0003,0.454638671875,33.144229888916016,72.21742662191392,-5.57547751814127,,,,,
27.0,16384,39.615692138671875,,,,,,,,,,,,,,,
27.0,17408,35.63547897338867,80,-0.06425703185377643,0.0,0.06902086,0.2,0.0003,0.437939453125,23.357044219970703,63.44739555120468,-5.528177352249623,,,,,
27.0,18432,42.36560821533203,,,,,,,,,,,,,,,
27.0,19456,38.479209899902344,90,-0.05845730697619729,-1.1920928955078125e-07,0.06553562,0.2,0.0003,0.4822265625,29.032026290893555,61.68144208192825,-5.473661552369594,,,,,
27.0,20480,42.18157958984375,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,40,27.0,511,10,38.831585239999995
27.0,21504,35.60335159301758,100,-0.05889235017239116,0.0,0.06525009,0.2,0.0003,0.454541015625,32.26152420043945,59.91818189620972,-5.415811195969582,,,,,
27.0,22528,39.20471954345703,,,,,,,,,,,,,,,
