eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean
40.0,52.44321823120117,30720,,,,,,,,,,,,,,,
40.0,60.43144607543945,31744,-1.1920928955078125e-07,100111.8828125,-6.3920188546180725,0.411572265625,0.2,-0.03798809561994858,0.0003,206549.3677734375,150,0.07329826,,,,,
40.0,55.11843490600586,32768,,,,,,,,,,,,,,,
40.0,52.955047607421875,33792,0.0,110022.140625,-6.391636781394482,0.410107421875,0.2,-0.038444811635417867,0.0003,215175.57026367186,160,0.067578316,,,,,
40.0,54.94367218017578,34816,,,,,,,,,,,,,,,
40.0,46.447021484375,35840,1.7881393432617188e-07,109616.3671875,-6.39134805649519,0.4373046875,0.2,-0.0315367365576094,0.0003,195989.4174316406,170,0.07562943,,,,,
40.0,47.741424560546875,36864,,,,,,,,,,,,,,,
40.0,50.618553161621094,37888,-1.1920928955078125e-07,110050.734375,-6.391028052568435,0.43916015625,0.2,-0.035141057617147455,0.0003,211835.31435546876,180,0.07520654,,,,,
40.0,52.78144073486328,38912,,,,,,,,,,,,,,,
40.0,50.625648498535156,39936,-1.1920928955078125e-07,105857.3828125,-6.390607677400112,0.42783203125,0.2,-0.034550219317316076,0.0003,208851.337890625,190,0.07501624,,,,,
40.0,55.970863342285156,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,1453.41832282,522,20,78,40.0
40.0,55.153724670410156,41984,0.0,91845.9296875,-6.3902655899524685,0.42666015625,0.2,-0.03652049717493355,0.0003,211682.601171875,200,0.077082425,,,,,
40.0,55.64908981323242,43008,,,,,,,,,,,,,,,
40.0,52.690391540527344,44032,-1.1920928955078125e-07,82836.921875,-6.3898879662156105,0.40322265625,0.2,-0.033428756945068014,0.0003,204264.5669921875,210,0.07141714,,,,,
40.0,49.108612060546875,45056,,,,,,,,,,,,,,,
40.0,56.25718688964844,46080,-1.1920928955078125e-07,95508.0390625,-6.389365766942501,0.417138671875,0.2,-0.03493957259051968,0.0003,220016.7963378906,220,0.0740674,,,,,
40.0,55.842308044433594,47104,,,,,,,,,,,,,,,
40.0,53.50276565551758,48128,0.0,97303.1484375,-6.389001028239727,0.432275390625,0.2,-0.03386072286375565,0.0003,200856.8005859375,230,0.07429477,,,,,
40.0,52.175697326660156,49152,,,,,,,,,,,,,,,
40.0,46.709938049316406,50176,-1.1920928955078125e-07,100671.8828125,-6.3887840285897255,0.42216796875,0.2,-0.03063496551476419,0.0003,206384.4819824219,240,0.07305771,,,,,
40.0,47.03312683105469,51200,,,,,,,,,,,,,,,
40.0,55.899688720703125,52224,1.7881393432617188e-07,95571.4765625,-6.388523191213608,0.407568359375,0.2,-0.04201090110000223,0.0003,205369.6400390625,250,0.07570794,,,,,
40.0,50.04447937011719,53248,,,,,,,,,,,,,,,
40.0,53.913455963134766,54272,-2.384185791015625e-07,93794.78125,-6.3882468655705456,0.404248046875,0.2,-0.03708042103680782,0.0003,201382.85922851562,260,0.07247899,,,,,
40.0,50.364356994628906,55296,,,,,,,,,,,,,,,
40.0,47.2111701965332,56320,1.7881393432617188e-07,101004.0078125,-6.387843166291714,0.417138671875,0.2,-0.03638314447016455,0.0003,196520.04321289062,270,0.07355887,,,,,
40.0,42.364051818847656,57344,,,,,,,,,,,,,,,
40.0,52.35649490356445,58368,-1.1920928955078125e-07,93915.109375,-6.387467201054096,0.391015625,0.2,-0.04131229824270122,0.0003,191837.0083496094,280,0.06920533,,,,,
40.0,50.00791931152344,59392,,,,,,,,,,,,,,,
40.0,54.319793701171875,60416,0.0,89182.6640625,-6.387145127356052,0.41708984375,0.2,-0.03355382127338089,0.0003,202193.614453125,290,0.07476287,,,,,
40.0,54.885135650634766,61440,,,,,,,,,,,,,,,
,,61440,,,,,,,,,,,1419.2655912500004,520,30,118,40.0
40.0,50.09238052368164,62464,0.0,90719.625,-6.3867199823260306,0.4029296875,0.2,-0.039849150303052736,0.0003,184397.44287109375,300,0.06989686,,,,,
40.0,49.122276306152344,63488,,,,,,,,,,,,,,,
40.0,44.99537658691406,64512,-1.1920928955078125e-07,112966.65625,-6.386353500187397,0.399462890625,0.2,-0.03431095301930327,0.0003,216567.06884765625,310,0.07872471,,,,,
40.0,53.420921325683594,65536,,,,,,,,,,,,,,,
40.0,45.7769775390625,66560,0.0,89999.0390625,-6.38598905056715,0.426171875,0.2,-0.03791373433778063,0.0003,193892.972265625,320,0.07418099,,,,,
40.0,52.29302215576172,67584,,,,,,,,,,,,,,,
