time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean
27648,27.0,37.72074890136719,-0.05751747882459313,67288.18013916016,-5.8573098421096805,0.0003,31818.4140625,0.2,0.0,0.294580078125,0.029904442,130,,,,,
28672,27.0,38.79999542236328,,,,,,,,,,,,,,,
29696,27.0,37.75978088378906,-0.0631136698066257,68377.2423461914,-5.855401980876922,0.0003,33064.546875,0.2,0.0,0.300830078125,0.031200012,140,,,,,
30720,27.0,39.070037841796875,,,,,,,,,,,,,,,
31744,27.0,34.75688552856445,-0.05702406978234649,59689.11043701172,-5.853153602778912,0.0003,28976.509765625,0.2,0.0,0.301953125,0.028761059,150,,,,,
32768,27.0,41.217430114746094,,,,,,,,,,,,,,,
33792,27.0,35.789424896240234,-0.06183031260734424,63506.23383789063,-5.850501398742199,0.0003,34381.3984375,0.2,0.0,0.297119140625,0.030211788,160,,,,,
34816,27.0,40.51438522338867,,,,,,,,,,,,,,,
35840,27.0,36.78888702392578,-0.05514762691454962,65317.40999755859,-5.849588757753372,0.0003,37429.21484375,0.2,0.0,0.286376953125,0.02732494,170,,,,,
36864,27.0,37.63238525390625,,,,,,,,,,,,,,,
37888,27.0,35.68952560424805,-0.05869455736828968,64851.76088867187,-5.84738180488348,0.0003,29808.91796875,0.2,0.0,0.299169921875,0.030231347,180,,,,,
38912,27.0,39.65162658691406,,,,,,,,,,,,,,,
39936,27.0,34.90526580810547,-0.05667377569479868,69603.49313964843,-5.844289314746857,0.0003,37000.29296875,0.2,0.0,0.327001953125,0.033407643,190,,,,,
40960,27.0,39.142845153808594,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,347,633.80588858,20,117,27.0
41984,27.0,37.237937927246094,-0.05997178899124265,59537.63758544922,-5.842724123597145,0.0003,32486.6640625,0.2,0.0,0.306396484375,0.031723596,200,,,,,
43008,27.0,32.96107482910156,,,,,,,,,,,,,,,
44032,27.0,38.950584411621094,-0.05995840105460957,57307.899914550784,-5.839612889289856,0.0003,24809.46875,0.2,0.0,0.301025390625,0.031072523,210,,,,,
45056,27.0,40.7331657409668,,,,,,,,,,,,,,,
46080,27.0,37.020111083984375,-0.055237610498443244,62529.41085205078,-5.835830007493496,0.0003,26793.666015625,0.2,0.0,0.299365234375,0.029593645,220,,,,,
47104,27.0,39.962158203125,,,,,,,,,,,,,,,
48128,27.0,40.17284393310547,-0.05707004133146256,58951.206225585935,-5.832660618424415,0.0003,27544.564453125,0.2,1.1920928955078125e-07,0.292822265625,0.02840798,230,,,,,
49152,27.0,39.43967819213867,,,,,,,,,,,,,,,
50176,27.0,40.5338020324707,-0.05230603081872687,59012.45242919922,-5.829679550230503,0.0003,31196.697265625,0.2,0.0,0.315380859375,0.033467103,240,,,,,
51200,27.0,37.30868148803711,,,,,,,,,,,,,,,
52224,27.0,36.85264587402344,-0.05771778062917292,60552.56434326172,-5.8266636580228806,0.0003,29812.29296875,0.2,0.0,0.284130859375,0.028965047,250,,,,,
53248,27.0,40.68144989013672,,,,,,,,,,,,,,,
54272,27.0,34.826263427734375,-0.05904696062207222,59932.73662109375,-5.822197876870632,0.0003,32927.8671875,0.2,0.0,0.283642578125,0.028219212,260,,,,,
55296,27.0,34.09893035888672,,,,,,,,,,,,,,,
56320,27.0,31.28887367248535,-0.054321565566351634,58788.69089355469,-5.817948023974895,0.0003,29893.0234375,0.2,2.384185791015625e-07,0.302685546875,0.030044883,270,,,,,
57344,27.0,36.406864166259766,,,,,,,,,,,,,,,
58368,27.0,37.26202392578125,-0.050270701135741544,54657.508239746094,-5.814983436465264,0.0003,27707.181640625,0.2,1.1920928955078125e-07,0.306640625,0.03203021,280,,,,,
59392,27.0,38.65180206298828,,,,,,,,,,,,,,,
60416,27.0,34.17908477783203,-0.057504286168841644,50548.473950195315,-5.8101931914687155,0.0003,29213.5703125,0.2,1.1920928955078125e-07,0.285400390625,0.028955376,290,,,,,
61440,27.0,30.167030334472656,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,348,588.55065114,30,176,27.0
62464,27.0,38.34559631347656,-0.05365824411856011,52806.7984741211,-5.804436993598938,0.0003,27012.21484375,0.2,-1.1920928955078125e-07,0.324365234375,0.03273592,300,,,,,
63488,27.0,34.21012496948242,,,,,,,,,,,,,,,
64512,27.0,39.1260871887207,-0.05351247891085222,61429.887475585936,-5.799167288839817,0.0003,28921.154296875,0.2,0.0,0.29990234375,0.032488186,310,,,,,
65536,27.0,33.199256896972656,,,,,,,,,,,,,,,
66560,27.0,38.99504852294922,-0.05464368719258346,65056.05434570312,-5.799312391877175,0.0003,29253.90234375,0.2,0.0,0.320654296875,0.03490908,320,,,,,
67584,27.0,37.795066833496094,,,,,,,,,,,,,,,
68608,27.0,36.18456268310547,-0.05737364238593727,63465.66208496094,-5.798224051296711,0.0003,35101.2578125,0.2,2.384185791015625e-07,0.30224609375,0.030819166,330,,,,,
69632,27.0,35.304534912109375,,,,,,,,,,,,,,,
70656,27.0,31.585569381713867,-0.05854724830714986,58880.861059570314,-5.7943186312913895,0.0003,28425.177734375,0.2,-2.384185791015625e-07,0.30322265625,0.031422112,340,,,,,
71680,27.0,41.8043212890625,,,,,,,,,,,,,,,
72704,27.0,39.17182922363281,-0.05849835592089221,62501.17545166016,-5.793365961313247,0.0003,27390.423828125,0.2,0.0,0.324072265625,0.031168684,350,,,,,
73728,27.0,41.30754852294922,,,,,,,,,,,,,,,
74752,27.0,40.243141174316406,-0.05344986927229911,58740.93096923828,-5.793748880922794,0.0003,28589.6171875,0.2,0.0,0.3228515625,0.03194145,360,,,,,
75776,27.0,36.180084228515625,,,,,,,,,,,,,,,
76800,27.0,36.95455551147461,-0.05122720135259442,54287.29906005859,-5.790080596506596,0.0003,26753.953125,0.2,-1.1920928955078125e-07,0.295361328125,0.028429262,370,,,,,
77824,27.0,39.724639892578125,,,,,,,,,,,,,,,
78848,27.0,39.23809814453125,-0.05628760627005249,59454.73083496094,-5.7877763420343395,0.0003,31182.537109375,0.2,1.1920928955078125e-07,0.287060546875,0.030057475,380,,,,,
79872,27.0,40.99101257324219,,,,,,,,,,,,,,,
80896,27.0,38.81943893432617,-0.05842489223578014,54775.177233886716,-5.78326644897461,0.0003,26512.54296875,0.2,-1.1920928955078125e-07,0.308935546875,0.031838223,390,,,,,
81920,27.0,31.796213150024414,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,350,627.23781715,40,233,27.0
82944,27.0,36.874019622802734,-0.05453992240945808,59096.31959228516,-5.776602278649807,0.0003,27049.6171875,0.2,2.384185791015625e-07,0.305859375,0.03026464,400,,,,,
83968,27.0,32.595001220703125,,,,,,,,,,,,,,,
84992,27.0,36.40038299560547,-0.05616221118834801,64706.2347290039,-5.772239981591701,0.0003,30174.07421875,0.2,0.0,0.33447265625,0.035167508,410,,,,,
86016,27.0,39.84700012207031,,,,,,,,,,,,,,,
87040,27.0,37.97990417480469,-0.05831155251362361,57980.74820556641,-5.771815595030785,0.0003,26218.529296875,0.2,0.0,0.309814453125,0.031113017,420,,,,,
88064,27.0,39.692420959472656,,,,,,,,,,,,,,,
89088,27.0,35.06938171386719,-0.0522648646030575,52635.114221191405,-5.776275785267353,0.0003,25960.474609375,0.2,0.0,0.31318359375,0.030894935,430,,,,,
90112,27.0,35.413185119628906,,,,,,,,,,,,,,,
91136,27.0,36.69230270385742,-0.05674978657625616,47489.641125488284,-5.771173307299614,0.0003,24997.935546875,0.2,-1.1920928955078125e-07,0.29599609375,0.030933054,440,,,,,
92160,27.0,35.458045959472656,,,,,,,,,,,,,,,
93184,27.0,31.56273651123047,-0.05542721974197775,57263.24580078125,-5.76538493335247,0.0003,30254.578125,0.2,0.0,0.30634765625,0.031259403,450,,,,,
94208,27.0,38.678871154785156,,,,,,,,,,,,,,,
95232,27.0,38.53691101074219,-0.051222888246411455,60745.73540039062,-5.761540161073208,0.0003,29502.51171875,0.2,0.0,0.31328125,0.03360285,460,,,,,
96256,27.0,40.43494415283203,,,,,,,,,,,,,,,
97280,27.0,38.03046417236328,-0.05214657364413142,48141.25595703125,-5.755896990001202,0.0003,21615.775390625,0.2,0.0,0.288623046875,0.030562796,470,,,,,
98304,27.0,37.17230224609375,,,,,,,,,,,,,,,
99328,27.0,33.24089813232422,-0.05607632417813875,52494.283032226565,-5.743557339906692,0.0003,27226.32421875,0.2,0.0,0.2826171875,0.029509665,480,,,,,
100352,27.0,40.70815658569336,,,,,,,,,,,,,,,
101376,27.0,47.36009979248047,-0.05739757406990975,55723.46182861328,-5.732457986474037,0.0003,25721.75390625,0.2,5.960464477539063e-08,0.303564453125,0.029718705,490,,,,,
102400,27.0,35.65467834472656,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,348,631.89524575,50,293,27.0
103424,27.0,32.950706481933594,-0.048659309814684096,54092.252124023435,-5.735756289958954,0.0003,23460.724609375,0.2,5.960464477539063e-08,0.3130859375,0.03073603,500,,,,,
104448,27.0,36.955345153808594,,,,,,,,,,,,,,,
105472,27.0,32.47613525390625,-0.05494190828176215,49864.735522460935,-5.737492434680462,0.0003,25336.720703125,0.2,0.0,0.326513671875,0.033409026,510,,,,,
106496,27.0,34.05110168457031,,,,,,,,,,,,,,,
107520,27.0,35.400291442871094,-0.05670296583557501,49782.98488769531,-5.733383958041668,0.0003,20969.998046875,0.2,5.960464477539063e-08,0.300732421875,0.033128947,520,,,,,
108544,27.0,37.01610565185547,,,,,,,,,,,,,,,
109568,27.0,37.38350296020508,-0.055313118634512645,53772.470971679686,-5.726718498766422,0.0003,30143.40234375,0.2,0.0,0.287890625,0.028840754,530,,,,,
110592,27.0,40.498756408691406,,,,,,,,,,,,,,,
