time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/clip_fraction,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean
512,12.0,17.879003524780273,,,,,,,,,,,,,,,
1024,12.0,10.416807174682617,,,,,,,,,,,,,,,
1536,12.0,14.650337219238281,,,,,,,,,,,,,,,
2048,12.0,14.819154739379883,,,,,,,,,,,,,,,
2560,12.0,14.273445129394531,0.00014907121658325195,10,-0.057995675090933216,-3.9066504918038847,0.037217103,4271.053855895996,2099.25146484375,0.0003,0.2,0.323583984375,,,,,
3072,12.0,11.722830772399902,,,,,,,,,,,,,,,
3584,12.0,14.323221206665039,,,,,,,,,,,,,,,
4096,12.0,18.207345962524414,,,,,,,,,,,,,,,
4608,12.0,21.311519622802734,0.0,20,-0.05963177167577669,-3.894278509169817,0.033087414,5101.146144104004,2159.04736328125,0.0003,0.2,0.30224609375,,,,,
5120,12.0,17.356380462646484,,,,,,,,,,,,,,,
5632,12.0,16.652324676513672,,,,,,,,,,,,,,,
6144,12.0,16.861337661743164,,,,,,,,,,,,,,,
6656,12.0,13.166361808776855,0.0,30,-0.059856596158351746,-3.8788117222487926,0.034873165,4936.082216644287,2341.30126953125,0.0003,0.2,0.31494140625,,,,,
7168,12.0,13.362421989440918,,,,,,,,,,,,,,,
7680,12.0,11.79633903503418,,,,,,,,,,,,,,,
8192,12.0,17.2694149017334,,,,,,,,,,,,,,,
8704,12.0,14.19776439666748,1.1920928955078125e-07,40,-0.0578742299170699,-3.8722162976861,0.03139012,5275.034107208252,2388.781494140625,0.0003,0.2,0.29609375,,,,,
9216,12.0,17.270034790039062,,,,,,,,,,,,,,,
9728,12.0,14.700782775878906,,,,,,,,,,,,,,,
10240,12.0,16.939437866210938,,,,,,,,,,,,,,,
10752,12.0,16.26400375366211,5.960464477539063e-08,50,-0.06231248469557613,-3.8585271768271925,0.041377507,4946.450537109375,2686.2490234375,0.0003,0.2,0.340625,,,,,
11264,12.0,14.797689437866211,,,,,,,,,,,,,,,
11776,12.0,14.475969314575195,,,,,,,,,,,,,,,
12288,12.0,16.29714584350586,,,,,,,,,,,,,,,
12800,12.0,15.115811347961426,0.0,60,-0.061502456507878375,-3.8374238558113576,0.039287753,5232.692581939697,2980.618408203125,0.0003,0.2,0.30751953125,,,,,
13312,12.0,16.95517921447754,,,,,,,,,,,,,,,
13824,12.0,16.301362991333008,,,,,,,,,,,,,,,
14336,12.0,14.591763496398926,,,,,,,,,,,,,,,
14848,12.0,15.83039379119873,1.1920928955078125e-07,70,-0.05785377140855417,-3.8214565686881543,0.033487864,5099.652814483643,2001.1688232421875,0.0003,0.2,0.31875,,,,,
15360,12.0,16.322616577148438,,,,,,,,,,,,,,,
15872,12.0,12.537454605102539,,,,,,,,,,,,,,,
16384,12.0,14.428027153015137,,,,,,,,,,,,,,,
16896,12.0,13.062002182006836,-1.1920928955078125e-07,80,-0.05475736552034505,-3.8077755212783813,0.037469063,4751.3138206481935,1789.9698486328125,0.0003,0.2,0.316162109375,,,,,
17408,12.0,17.91756820678711,,,,,,,,,,,,,,,
17920,12.0,11.850810050964355,,,,,,,,,,,,,,,
18432,12.0,17.275941848754883,,,,,,,,,,,,,,,
18944,12.0,15.576652526855469,1.1920928955078125e-07,90,-0.058106972806854174,-3.78065073415637,0.037101425,5223.326581573487,2206.5615234375,0.0003,0.2,0.30908203125,,,,,
19456,12.0,12.035581588745117,,,,,,,,,,,,,,,
19968,12.0,14.789850234985352,,,,,,,,,,,,,,,
20480,12.0,17.131214141845703,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,39,12.0,10,517,139.88610201
20992,12.0,15.963910102844238,-1.1920928955078125e-07,100,-0.05473077468923293,-3.7624176748096945,0.045097806,5056.01939163208,2212.21533203125,0.0003,0.2,0.348046875,,,,,
21504,12.0,18.77237319946289,,,,,,,,,,,,,,,
22016,12.0,16.994943618774414,,,,,,,,,,,,,,,
22528,12.0,15.538055419921875,,,,,,,,,,,,,,,
23040,12.0,15.226280212402344,-1.1920928955078125e-07,110,-0.060074855375569315,-3.7358632884919643,0.046482746,5665.817087554931,2712.586669921875,0.0003,0.2,0.344384765625,,,,,
23552,12.0,12.530129432678223,,,,,,,,,,,,,,,
24064,12.0,14.568209648132324,,,,,,,,,,,,,,,
24576,12.0,15.701263427734375,,,,,,,,,,,,,,,
25088,12.0,17.02155303955078,-1.1920928955078125e-07,120,-0.06017740049865097,-3.6855983465909956,0.05450149,5216.524192047119,2659.42578125,0.0003,0.2,0.36181640625,,,,,
25600,12.0,13.193099975585938,,,,,,,,,,,,,,,
26112,12.0,19.572429656982422,,,,,,,,,,,,,,,
26624,12.0,15.386042594909668,,,,,,,,,,,,,,,
27136,12.0,13.166769027709961,0.0,130,-0.052092876209644604,-3.6370656579732894,0.06254819,5381.341573333741,2097.37548828125,0.0003,0.2,0.357861328125,,,,,
27648,12.0,19.44887351989746,,,,,,,,,,,,,,,
28160,12.0,18.978540420532227,,,,,,,,,,,,,,,
28672,12.0,17.35628318786621,,,,,,,,,,,,,,,
29184,12.0,12.568314552307129,0.0,140,-0.05241084108129144,-3.6085109189152718,0.061535407,5507.280917358398,2575.589599609375,0.0003,0.2,0.380712890625,,,,,
29696,12.0,16.874401092529297,,,,,,,,,,,,,,,
30208,12.0,16.116863250732422,,,,,,,,,,,,,,,
30720,12.0,19.430557250976562,,,,,,,,,,,,,,,
31232,12.0,19.903160095214844,,,,,,,,,,,,,,,
31744,12.0,19.119136810302734,,,,,,,,,,,,,,,
32256,12.0,12.320136070251465,,,,,,,,,,,,,,,
32768,12.0,18.2869873046875,,,,,,,,,,,,,,,
33280,12.0,19.45094871520996,0.0,150,-0.055816098145442083,-3.5880611456930636,0.0635058,4996.036530303955,2249.036865234375,0.0003,0.2,0.374169921875,,,,,
33792,12.0,18.027095794677734,,,,,,,,,,,,,,,
34304,12.0,17.623014450073242,,,,,,,,,,,,,,,
34816,12.0,16.914810180664062,,,,,,,,,,,,,,,
35328,12.0,15.037915229797363,0.0,160,-0.0557048665068578,-3.5453793704509735,0.0708065,5529.738887023926,2348.042724609375,0.0003,0.2,0.393408203125,,,,,
35840,12.0,16.72406578063965,,,,,,,,,,,,,,,
36352,12.0,16.598276138305664,,,,,,,,,,,,,,,
36864,12.0,14.647870063781738,,,,,,,,,,,,,,,
37376,12.0,15.499621391296387,0.0,170,-0.06342026156489737,-3.48798453733325,0.07874937,5389.099793243408,2213.290771484375,0.0003,0.2,0.4001953125,,,,,
37888,12.0,18.809968948364258,,,,,,,,,,,,,,,
38400,12.0,20.239171981811523,,,,,,,,,,,,,,,
38912,12.0,20.301929473876953,,,,,,,,,,,,,,,
39424,12.0,18.262441635131836,0.0,180,-0.053905456140637395,-3.413569264113903,0.07376963,5474.4797065734865,2456.849853515625,0.0003,0.2,0.40576171875,,,,,
39936,12.0,20.334976196289062,,,,,,,,,,,,,,,
40448,12.0,15.438226699829102,,,,,,,,,,,,,,,
40960,12.0,17.082284927368164,,,,,,,,,,,,,,,
41472,12.0,17.4815616607666,5.960464477539063e-08,190,-0.05614554160856642,-3.3674295000731944,0.06810205,5401.75509185791,2705.960693359375,0.0003,0.2,0.4076171875,,,,,
41984,12.0,22.574275970458984,,,,,,,,,,,,,,,
42496,12.0,18.800569534301758,,,,,,,,,,,,,,,
43008,12.0,16.607025146484375,,,,,,,,,,,,,,,
43520,12.0,17.373624801635742,5.960464477539063e-08,200,-0.05575779220962431,-3.2740431241691113,0.09203317,5713.926136779785,2667.19189453125,0.0003,0.2,0.43857421875,,,,,
44032,12.0,18.391342163085938,,,,,,,,,,,,,,,
44544,12.0,16.166269302368164,,,,,,,,,,,,,,,
45056,12.0,17.131000518798828,,,,,,,,,,,,,,,
45568,12.0,17.32488250732422,0.0,210,-0.04769227959914133,-3.251750613749027,0.09042979,5883.023526000977,3308.22265625,0.0003,0.2,0.421826171875,,,,,
46080,12.0,13.226556777954102,,,,,,,,,,,,,,,
46592,12.0,21.149967193603516,,,,,,,,,,,,,,,
47104,12.0,17.987186431884766,,,,,,,,,,,,,,,
47616,12.0,17.498981475830078,0.0,220,-0.04785080025612842,-3.2102385625243186,0.10109343,5590.006663513183,2761.250732421875,0.0003,0.2,0.385498046875,,,,,
48128,12.0,19.769596099853516,,,,,,,,,,,,,,,
48640,12.0,18.059894561767578,,,,,,,,,,,,,,,
49152,12.0,18.961145401000977,,,,,,,,,,,,,,,
49664,12.0,19.863773345947266,0.0,230,-0.0515618032659404,-3.1183927454054357,0.11549091,5755.751277160644,2525.197021484375,0.0003,0.2,0.45439453125,,,,,
50176,12.0,19.6893310546875,,,,,,,,,,,,,,,
