time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
1024,13.378820419311523,180.0,,,,,,,,,,,,,,,
2048,14.462145805358887,180.0,,,,,,,,,,,,,,,
3072,14.499839782714844,180.0,38.10727219283581,0.0003,-5.864887182414532,-0.03833976849273313,-0.0007363557815551758,27.439693450927734,10,0.2,0.392431640625,0.025307605,,,,,
4096,13.734298706054688,180.0,,,,,,,,,,,,,,,
5120,13.065664291381836,180.0,43.275502634048465,0.0003,-5.843809819221496,-0.03747728295129491,0.0018436908721923828,9.414389610290527,20,0.2,0.3638671875,0.022023737,,,,,
6144,14.16223430633545,180.0,,,,,,,,,,,,,,,
7168,14.991519927978516,180.0,49.59972980618477,0.0003,-5.821900124847889,-0.03640920994002954,0.0013446807861328125,19.398733139038086,30,0.2,0.336669921875,0.022225674,,,,,
8192,14.503469467163086,180.0,,,,,,,,,,,,,,,
9216,14.106553077697754,180.0,39.98430237770081,0.0003,-5.795456868410111,-0.03633383896813029,0.0002859830856323242,28.631580352783203,40,0.2,0.369189453125,0.024154957,,,,,
10240,15.195236206054688,180.0,,,,,,,,,,,,,,,
11264,14.535650253295898,180.0,32.65122292041779,0.0003,-5.77758980691433,-0.034941310118301774,0.0010436773300170898,19.291826248168945,50,0.2,0.331103515625,0.023347262,,,,,
12288,14.538734436035156,180.0,,,,,,,,,,,,,,,
13312,13.864416122436523,180.0,41.20393094420433,0.0003,-5.747450530529022,-0.03375013579498045,0.0005691647529602051,33.46527099609375,60,0.2,0.324072265625,0.022061136,,,,,
14336,14.088420867919922,180.0,,,,,,,,,,,,,,,
15360,13.923662185668945,180.0,45.06683614850044,0.0003,-5.741676458716393,-0.03683536224125419,0.0007093548774719238,22.992544174194336,70,0.2,0.335546875,0.021661509,,,,,
16384,15.322514533996582,180.0,,,,,,,,,,,,,,,
17408,15.540032386779785,180.0,44.24457868933678,0.0003,-5.704668371379375,-0.03650095332413912,0.0010963678359985352,12.664831161499023,80,0.2,0.388671875,0.022650596,,,,,
18432,14.644315719604492,180.0,,,,,,,,,,,,,,,
19456,15.842506408691406,180.0,38.103290155529976,0.0003,-5.703851306438446,-0.04142751519830199,5.221366882324219e-05,12.256685256958008,90,0.2,0.36884765625,0.022648819,,,,,
20480,15.556841850280762,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,326,10,62,180.0,14.44420383
21504,14.82972240447998,180.0,38.09609009921551,0.0003,-5.692932365834713,-0.03561453773872927,5.0008296966552734e-05,13.353519439697266,100,0.2,0.3283203125,0.022326883,,,,,
22528,14.354944229125977,180.0,,,,,,,,,,,,,,,
23552,14.198688507080078,180.0,38.1022376447916,0.0003,-5.669702833890915,-0.03394380755198654,0.0001621246337890625,24.423559188842773,110,0.2,0.335791015625,0.021672616,,,,,
24576,16.162979125976562,180.0,,,,,,,,,,,,,,,
25600,13.96790885925293,180.0,37.65416428744793,0.0003,-5.633773912489414,-0.03335056199430255,0.00010979175567626953,14.686990737915039,120,0.2,0.3291015625,0.020998975,,,,,
26624,16.265005111694336,180.0,,,,,,,,,,,,,,,
27648,15.333438873291016,180.0,44.58810040056706,0.0003,-5.614044414460659,-0.03333883161903941,0.00011682510375976562,16.674575805664062,130,0.2,0.3224609375,0.020044709,,,,,
28672,16.086061477661133,180.0,,,,,,,,,,,,,,,
