eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
14.594959259033203,1024,180.0,,,,,,,,,,,,,,,
13.160074234008789,2048,180.0,,,,,,,,,,,,,,,
13.37944221496582,3072,180.0,10,16.76182008050382,-0.015100596683623735,0.00791015625,3e-05,-8.344650268554688e-07,-5.885078463703394,0.0040096045,12.619504928588867,0.2,,,,,
13.386332511901855,4096,180.0,,,,,,,,,,,,,,,
13.480867385864258,5120,180.0,20,18.47212579585612,-0.013969825479216524,0.030126953125,3e-05,-0.0005109310150146484,-5.8817794397473335,0.0049106427,14.378829956054688,0.2,,,,,
13.186596870422363,6144,180.0,,,,,,,,,,,,,,,
14.737031936645508,7168,180.0,30,18.19817770831287,-0.021648463117526263,0.067578125,3e-05,0.002852916717529297,-5.875938611477613,0.011392845,26.70703125,0.2,,,,,
12.577051162719727,8192,180.0,,,,,,,,,,,,,,,
13.106260299682617,9216,180.0,40,16.386602858826517,-0.02565790360822575,0.073388671875,3e-05,-0.0027076005935668945,-5.864749464392662,0.009581538,13.468560218811035,0.2,,,,,
13.423381805419922,10240,180.0,,,,,,,,,,,,,,,
13.439972877502441,11264,180.0,50,17.70262400768697,-0.019024959845773994,0.031982421875,3e-05,1.1920928955078125e-07,-5.857945128530264,0.0069658617,10.744338035583496,0.2,,,,,
13.265300750732422,12288,180.0,,,,,,,,,,,,,,,
13.314752578735352,13312,180.0,60,18.977153604850173,-0.022223570881033085,0.059912109375,3e-05,-1.1920928955078125e-07,-5.851945970952511,0.00809166,12.697697639465332,0.2,,,,,
14.383927345275879,14336,180.0,,,,,,,,,,,,,,,
12.531103134155273,15360,180.0,70,16.71826947927475,-0.023810302257697914,0.04052734375,3e-05,0.0,-5.843249440193176,0.008080889,15.357178688049316,0.2,,,,,
15.958853721618652,16384,180.0,,,,,,,,,,,,,,,
13.903759002685547,17408,180.0,80,17.503835537284612,-0.02286008437140481,0.04873046875,3e-05,0.0,-5.834872030466795,0.00875026,9.892525672912598,0.2,,,,,
14.312434196472168,18432,180.0,,,,,,,,,,,,,,,
14.846325874328613,19456,180.0,90,17.122753206640482,-0.021228439354308647,0.0322265625,3e-05,2.384185791015625e-07,-5.8256662175059315,0.007243456,7.5369768142700195,0.2,,,,,
13.715747833251953,20480,180.0,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,257,13.657243169999997,180.0,79,10
14.079629898071289,21504,180.0,100,18.610920652002097,-0.02024560126956203,0.046923828125,3e-05,0.0,-5.816026625782252,0.007964553,15.90573787689209,0.2,,,,,
13.1210355758667,22528,180.0,,,,,,,,,,,,,,,
15.60915756225586,23552,180.0,110,19.911728328466417,-0.020441475238840212,0.04208984375,3e-05,1.1920928955078125e-07,-5.808768432587385,0.007688484,21.981706619262695,0.2,,,,,
14.982078552246094,24576,180.0,,,,,,,,,,,,,,,
13.96812629699707,25600,180.0,120,16.0762339822948,-0.02218038289429387,0.046337890625,3e-05,0.0,-5.801965808868408,0.007747041,7.649627208709717,0.2,,,,,
13.42694091796875,26624,180.0,,,,,,,,,,,,,,,
14.051483154296875,27648,180.0,130,18.00629015490413,-0.020304188966474613,0.03759765625,3e-05,0.0,-5.796892609447241,0.0068158926,14.185340881347656,0.2,,,,,
13.532833099365234,28672,180.0,,,,,,,,,,,,,,,
15.597002983093262,29696,180.0,140,17.89941926822066,-0.021882322412420763,0.05283203125,3e-05,1.4901161193847656e-06,-5.7902610130608085,0.007925594,11.04485034942627,0.2,,,,,
13.980680465698242,30720,180.0,,,,,,,,,,,,,,,
15.122674942016602,31744,180.0,150,18.61291342712939,-0.01803922605176922,0.019580078125,3e-05,0.0,-5.782575876265764,0.0061708633,23.175540924072266,0.2,,,,,
13.983475685119629,32768,180.0,,,,,,,,,,,,,,,
14.653565406799316,33792,180.0,160,18.04188574589789,-0.0226140263297566,0.054443359375,3e-05,-1.1920928955078125e-07,-5.773645751178265,0.007993485,21.564083099365234,0.2,,,,,
15.55988883972168,34816,180.0,,,,,,,,,,,,,,,
