eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/approx_kl,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
70.205810546875,180.0,801792,,,,,,,,,,,,,,,
76.44087219238281,180.0,802816,,,,,,,,,,,,,,,
65.31344604492188,180.0,803840,0.9504285678267479,-0.05123796229891013,-0.9800089033320546,5.587302866345271,0.2,0.1541015625,0.0003,0.696556568145752,3920,0.01685296,,,,,
68.44615173339844,180.0,804864,,,,,,,,,,,,,,,
70.48113250732422,180.0,805888,0.9573640823364258,-0.04089758198679192,-0.6116590703371912,4.176175279309973,0.2,0.117724609375,0.0003,2.1881160736083984,3930,0.02392343,,,,,
79.53353881835938,180.0,806912,,,,,,,,,,,,,,,
73.35537719726562,180.0,807936,0.9596034549176693,-0.03833657226205105,-0.714208269584924,4.920364260859787,0.2,0.13505859375,0.0003,1.4199204444885254,3940,0.013698584,,,,,
73.80525207519531,180.0,808960,,,,,,,,,,,,,,,
74.8056640625,180.0,809984,0.9698937255889177,-0.04392296849546255,-0.6508604164700955,2.8879242361406794,0.2,0.133984375,0.0003,0.47921955585479736,3950,0.017818812,,,,,
76.14148712158203,180.0,811008,,,,,,,,,,,,,,,
71.443603515625,180.0,812032,0.9654409401118755,-0.043278652246226554,-0.6802893135230988,3.55423276622314,0.2,0.13154296875,0.0003,0.10525371879339218,3960,0.014860592,,,,,
74.93679809570312,180.0,813056,,,,,,,,,,,,,,,
73.44534301757812,180.0,814080,0.9609066732227802,-0.045287337590707466,-0.7875340554397553,4.610702891368419,0.2,0.133740234375,0.0003,0.8920895457267761,3970,0.016621754,,,,,
76.89694213867188,180.0,815104,,,,,,,,,,,,,,,
70.10440826416016,180.0,816128,0.9591656439006329,-0.04672609695699066,-0.6526432950282469,4.3228111797361635,0.2,0.13369140625,0.0003,1.3788210153579712,3980,0.014948983,,,,,
77.84446716308594,180.0,817152,,,,,,,,,,,,,,,
73.18864440917969,180.0,818176,0.9694072175770998,-0.050281097707920705,-0.8067101429915056,3.187796668149531,0.2,0.169921875,0.0003,0.8658854961395264,3990,0.02308407,,,,,
74.718994140625,180.0,819200,,,,,,,,,,,,,,,
