time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
1024,12.698657989501953,180.0,,,,,,,,,,,,,,,
2048,13.845261573791504,180.0,,,,,,,,,,,,,,,
3072,13.479799270629883,180.0,41.77845447063446,0.0003,-5.864118376374245,-0.040697858756175265,0.0021286606788635254,26.471786499023438,10,0.2,0.41005859375,0.026526302,,,,,
4096,13.928557395935059,180.0,,,,,,,,,,,,,,,
5120,14.498758316040039,180.0,33.90282616019249,0.0003,-5.825869747996331,-0.03949965950741898,0.0048143863677978516,13.577143669128418,20,0.2,0.378173828125,0.027568934,,,,,
6144,13.729403495788574,180.0,,,,,,,,,,,,,,,
7168,12.877813339233398,180.0,45.110324496030806,0.0003,-5.788818153738975,-0.033897217766207174,0.0017189383506774902,32.24332046508789,30,0.2,0.34794921875,0.023207163,,,,,
8192,14.85289192199707,180.0,,,,,,,,,,,,,,,
9216,14.552042961120605,180.0,41.70996308624744,0.0003,-5.751875521242619,-0.0389261406759033,0.0033206939697265625,11.919129371643066,40,0.2,0.3966796875,0.02427399,,,,,
10240,14.990225791931152,180.0,,,,,,,,,,,,,,,
11264,14.922914505004883,180.0,43.02227158546448,0.0003,-5.731299062073231,-0.037551130842621204,0.004763603210449219,15.5121431350708,50,0.2,0.388818359375,0.024377713,,,,,
12288,14.324769973754883,180.0,,,,,,,,,,,,,,,
13312,15.477367401123047,180.0,47.29126218855381,0.0003,-5.70607418268919,-0.03397101425944129,0.003235161304473877,32.00204086303711,60,0.2,0.347705078125,0.022946402,,,,,
14336,15.2330961227417,180.0,,,,,,,,,,,,,,,
15360,14.33804702758789,180.0,34.68370065689087,0.0003,-5.6947815582156185,-0.038071504150138935,0.001049339771270752,8.129291534423828,70,0.2,0.366015625,0.021991279,,,,,
16384,14.538841247558594,180.0,,,,,,,,,,,,,,,
17408,14.172657012939453,180.0,41.9979823499918,0.0003,-5.667085726559162,-0.03543233828531811,0.0016587376594543457,18.229827880859375,80,0.2,0.3310546875,0.021644283,,,,,
18432,15.30141830444336,180.0,,,,,,,,,,,,,,,
19456,14.1511869430542,180.0,43.72892693281174,0.0003,-5.643906733393669,-0.0377417585827061,0.0006314516067504883,13.966466903686523,90,0.2,0.3625,0.02265888,,,,,
