time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_fraction,train/learning_rate,train/value_loss,train/clip_range,train/loss,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed
29696,180.0,30.727737426757812,-0.07232038281290443,-3.260000106319785,0.66552323,0.549030989408493,140,0.78271484375,0.003,6.421933531947434,0.2,3.2866880893707275,,,,,
30720,180.0,27.839508056640625,,,,,,,,,,,,,,,
31744,180.0,30.380884170532227,-0.06224685489287367,-2.9329995647072793,0.7498392,0.5703091323375702,150,0.7736328125,0.003,5.560342099145055,0.2,3.378295660018921,,,,,
32768,180.0,31.877426147460938,,,,,,,,,,,,,,,
33792,180.0,38.11790466308594,-0.04293146137642907,-2.5800162732601164,0.66670036,0.5134364366531372,160,0.775634765625,0.003,5.997463509626686,0.2,2.4864537715911865,,,,,
34816,180.0,39.74394226074219,,,,,,,,,,,,,,,
35840,180.0,47.66517639160156,-0.03877730643034738,-2.4477463722229005,0.57532114,0.5641592144966125,170,0.766796875,0.003,6.389312547445297,0.2,3.727046489715576,,,,,
36864,180.0,42.361122131347656,,,,,,,,,,,,,,,
37888,180.0,47.335601806640625,-0.03161697973700939,-2.1911127438768743,0.6513396,0.5011185705661774,180,0.74580078125,0.003,6.641408879496157,0.2,2.5648279190063477,,,,,
38912,180.0,50.568519592285156,,,,,,,,,,,,,,,
39936,180.0,56.6030387878418,-0.017939017359458374,-2.3040526419878007,0.598142,0.48768895864486694,190,0.7818359375,0.003,7.575113021023571,0.2,5.192784309387207,,,,,
40960,180.0,53.143699645996094,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,34.81280006,20,180.0,269,151
41984,180.0,46.53953552246094,-0.028690520035888768,-2.116409894824028,0.80403507,0.526989609003067,200,0.69970703125,0.003,7.345445961691439,0.2,5.76275634765625,,,,,
43008,180.0,53.77550506591797,,,,,,,,,,,,,,,
44032,180.0,49.70398712158203,-0.02375147201164509,-2.147965604625642,0.62525445,0.45669806003570557,210,0.741796875,0.003,6.9364102996885775,0.2,4.3389434814453125,,,,,
45056,180.0,47.63078689575195,,,,,,,,,,,,,,,
46080,180.0,52.21411895751953,-0.023377644507127114,-2.0968244679272177,0.5537715,0.46346306800842285,220,0.757666015625,0.003,5.7948686692863705,0.2,2.2340619564056396,,,,,
47104,180.0,44.57121276855469,,,,,,,,,,,,,,,
48128,180.0,44.839141845703125,-0.024397034183493815,-1.8869245078414678,0.7251861,0.5273175239562988,230,0.751513671875,0.003,5.421331841498613,0.2,1.1826196908950806,,,,,
49152,180.0,48.580684661865234,,,,,,,,,,,,,,,
50176,180.0,55.18310546875,-0.03194185666070552,-1.802220032736659,0.6534096,0.5522865355014801,240,0.755029296875,0.003,4.458212425373494,0.2,4.046388149261475,,,,,
51200,180.0,56.965057373046875,,,,,,,,,,,,,,,
52224,180.0,56.2564697265625,-0.0044260537564696275,-1.7811261227354407,0.47908822,0.5438983738422394,250,0.69833984375,0.003,5.838782645668834,0.2,3.279639720916748,,,,,
53248,180.0,57.30320358276367,,,,,,,,,,,,,,,
54272,180.0,59.84103012084961,-0.03321642781811533,-1.5891882998868823,0.58926785,0.25847452878952026,260,0.632861328125,0.003,10.00159005858004,0.2,7.393808364868164,,,,,
55296,180.0,60.59431076049805,,,,,,,,,,,,,,,
56320,180.0,58.9425163269043,0.01793388788646553,-1.6065619310364128,0.43846783,0.41626226902008057,270,0.70859375,0.003,9.999319037422538,0.2,5.363893508911133,,,,,
57344,180.0,63.80670166015625,,,,,,,,,,,,,,,
58368,180.0,61.1590576171875,-0.017440787978557637,-1.658951278217137,0.5100666,0.3449452519416809,280,0.71650390625,0.003,6.725556424446404,0.2,4.267615795135498,,,,,
59392,180.0,58.87360382080078,,,,,,,,,,,,,,,
60416,180.0,61.91432189941406,-0.024910224141785876,-1.5098704529926181,0.38784373,0.39442282915115356,290,0.680859375,0.003,6.092595978453756,0.2,3.029768943786621,,,,,
61440,180.0,59.55805969238281,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,54.89766004,30,180.0,270,227
