time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/value_loss,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean
252404,50.0,18.127470016479492,,,,,,,,,,,,,,,
252904,50.0,17.72220802307129,,,,,,,,,,,,,,,
253404,50.0,16.328330993652344,,,,,,,,,,,,,,,
253904,50.0,8.215314865112305,,,,,,,,,,,,,,,
254404,50.0,16.555633544921875,0.0,-0.020443138226983137,0.038812157,0.402490234375,1240,0.2,0.0003,1041.8983154296875,-4.801031006872654,2218.566431427002,,,,,
254904,50.0,10.735069274902344,,,,,,,,,,,,,,,
255404,50.0,15.054203033447266,,,,,,,,,,,,,,,
255904,50.0,11.636161804199219,,,,,,,,,,,,,,,
256404,50.0,13.126468658447266,0.0,-0.021718246271484533,0.034088194,0.366455078125,1250,0.2,0.0003,988.3482055664062,-4.774515169858932,2455.8940185546876,,,,,
256904,50.0,12.929542541503906,,,,,,,,,,,,,,,
257404,50.0,8.972856521606445,,,,,,,,,,,,,,,
257904,50.0,19.787458419799805,,,,,,,,,,,,,,,
258404,50.0,14.802248001098633,0.0,-0.020483394572511315,0.03156633,0.345654296875,1260,0.2,0.0003,1065.5279541015625,-4.771812079846859,2279.2625358581545,,,,,
258904,50.0,17.84100914001465,,,,,,,,,,,,,,,
259404,50.0,11.8663330078125,,,,,,,,,,,,,,,
259904,50.0,16.309192657470703,,,,,,,,,,,,,,,
260404,50.0,10.788387298583984,0.0,-0.015842213592259215,0.035980996,0.41025390625,1270,0.2,0.0003,913.5147094726562,-4.783270418643951,1986.2951465606689,,,,,
260904,50.0,14.973730087280273,,,,,,,,,,,,,,,
261404,50.0,18.417316436767578,,,,,,,,,,,,,,,
261904,50.0,12.863381385803223,,,,,,,,,,,,,,,
262404,50.0,6.524698257446289,0.0,-0.02156085755559616,0.033310603,0.386328125,1280,0.2,0.0003,879.7738647460938,-4.777104087173939,2075.2099899291993,,,,,
262904,50.0,10.819046974182129,,,,,,,,,,,,,,,
263404,50.0,10.113518714904785,,,,,,,,,,,,,,,
263904,50.0,14.244686126708984,,,,,,,,,,,,,,,
