eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/loss,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed
16.32219123840332,12.0,1024,,,,,,,,,,,,,,,
14.873199462890625,12.0,2048,,,,,,,,,,,,,,,
12.024682998657227,12.0,3072,0.0003,-3.9043444104492666,-0.05183867738232948,10,0.29853515625,0.030968666,29.306752210855485,0.2,0.0029172897338867188,15.638456344604492,,,,,
13.412353515625,12.0,4096,,,,,,,,,,,,,,,
13.3579740524292,12.0,5120,0.0003,-3.9007811918854713,-0.045104590311530045,20,0.29794921875,0.030949356,26.521466821432114,0.2,-1.1920928955078125e-07,15.650042533874512,,,,,
12.796374320983887,12.0,6144,,,,,,,,,,,,,,,
13.924247741699219,12.0,7168,0.0003,-3.894567832350731,-0.04831385499564931,30,0.3080078125,0.035228528,30.000603806972503,0.2,-1.1920928955078125e-07,11.743334770202637,,,,,
11.73324966430664,12.0,8192,,,,,,,,,,,,,,,
15.24092960357666,12.0,9216,0.0003,-3.8874868184328077,-0.04657330762129277,40,0.295849609375,0.032141224,26.188934728503227,0.2,-3.5762786865234375e-07,9.954349517822266,,,,,
13.868684768676758,12.0,10240,,,,,,,,,,,,,,,
14.742816925048828,12.0,11264,0.0003,-3.8803127884864805,-0.04273468200699426,50,0.2943359375,0.032960385,23.065438464283943,0.2,0.0,8.550783157348633,,,,,
13.608083724975586,12.0,12288,,,,,,,,,,,,,,,
15.864076614379883,12.0,13312,0.0003,-3.8751640491187573,-0.04369842790183611,60,0.29560546875,0.036755882,24.54455821812153,0.2,-1.1920928955078125e-07,8.777080535888672,,,,,
15.765966415405273,12.0,14336,,,,,,,,,,,,,,,
16.23321533203125,12.0,15360,0.0003,-3.8648861721158028,-0.0404784385493258,70,0.2841796875,0.03649567,26.035375764966012,0.2,5.960464477539063e-08,10.359006881713867,,,,,
12.98246955871582,12.0,16384,,,,,,,,,,,,,,,
15.052414894104004,12.0,17408,0.0003,-3.8390781454741956,-0.04270041936833877,80,0.282080078125,0.037838586,23.710189548134803,0.2,0.0,12.915909767150879,,,,,
14.642841339111328,12.0,18432,,,,,,,,,,,,,,,
12.608907699584961,12.0,19456,0.0003,-3.822290059924126,-0.041918509302195164,90,0.339306640625,0.040216178,23.939207398891448,0.2,-1.1920928955078125e-07,9.455459594726562,,,,,
16.15162467956543,12.0,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,10,13.442878,584,12.0,35
16.013004302978516,12.0,21504,0.0003,-3.7986804127693174,-0.04246000481361989,100,0.329833984375,0.04126374,23.008646580576897,0.2,0.0,7.671498775482178,,,,,
