eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/clip_fraction,train/learning_rate,train/entropy_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/approx_kl,train/value_loss,train/n_updates,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps
41.78396987915039,502784,40.0,0.424365234375,0.0003,-5.896798413991928,37173.6015625,-0.010494102709344588,0.0,0.2,0.06798013,74241.80435791015,2450,,,,,
50.84355926513672,503808,40.0,,,,,,,,,,,,,,,
49.321876525878906,504832,40.0,0.4283203125,0.0003,-5.891218194365502,23982.1875,-0.004436021855508443,1.1920928955078125e-07,0.2,0.077584505,58312.17319335938,2460,,,,,
45.8106689453125,505856,40.0,,,,,,,,,,,,,,,
49.62575149536133,506880,40.0,0.409716796875,0.0003,-5.876674467325211,28778.5078125,-0.005940348966760212,0.0,0.2,0.06833567,66402.59305419921,2470,,,,,
55.25676727294922,507904,40.0,,,,,,,,,,,,,,,
51.15301513671875,508928,40.0,0.411083984375,0.0003,-5.8706802621483805,43946.60546875,-0.008595679672725964,-1.1920928955078125e-07,0.2,0.07042797,86075.18627929688,2480,,,,,
51.12012481689453,509952,40.0,,,,,,,,,,,,,,,
47.13329315185547,510976,40.0,0.412548828125,0.0003,-5.8730992645025255,30093.62890625,-0.010831370394589613,-1.1920928955078125e-07,0.2,0.06607357,59330.29661865234,2490,,,,,
52.785064697265625,512000,40.0,,,,,,,,,,,,,,,
,512000,,,,,,,,,,,,40.0,250,922,1260.99898673,554
54.27201461791992,513024,40.0,0.41875,0.0003,-5.859132078289986,30314.390625,-0.010649206949165092,0.0,0.2,0.063270256,66395.69512939453,2500,,,,,
54.88752746582031,514048,40.0,,,,,,,,,,,,,,,
50.09709167480469,515072,40.0,0.42783203125,0.0003,-5.842547431588173,33062.66015625,-0.0019709443571628072,0.0,0.2,0.06728568,66491.53990478515,2510,,,,,
46.71037292480469,516096,40.0,,,,,,,,,,,,,,,
45.60075378417969,517120,40.0,0.38896484375,0.0003,-5.836651527881623,34732.59375,-0.012699109163077083,0.0,0.2,0.060006075,77269.76055908203,2520,,,,,
46.619327545166016,518144,40.0,,,,,,,,,,,,,,,
49.14080810546875,519168,40.0,0.42314453125,0.0003,-5.832409557700157,36270.078125,0.000613781186984852,0.0,0.2,0.0711548,66944.84132080078,2530,,,,,
51.23804473876953,520192,40.0,,,,,,,,,,,,,,,
52.78216552734375,521216,40.0,0.392041015625,0.0003,-5.828160297870636,36892.765625,-0.00783757373210392,0.0,0.2,0.060535006,76054.67720947266,2540,,,,,
47.714271545410156,522240,40.0,,,,,,,,,,,,,,,
45.40478515625,523264,40.0,0.389990234375,0.0003,-5.820828546583653,32125.36328125,-0.010466951227863319,1.1920928955078125e-07,0.2,0.059761833,66821.5872680664,2550,,,,,
43.12489700317383,524288,40.0,,,,,,,,,,,,,,,
48.98538589477539,525312,40.0,0.412646484375,0.0003,-5.813755850493908,39485.29296875,-0.004409461203613319,5.960464477539063e-08,0.2,0.06620994,71484.08575439453,2560,,,,,
55.36140823364258,526336,40.0,,,,,,,,,,,,,,,
48.300453186035156,527360,40.0,0.38984375,0.0003,-5.796022948622704,34062.41796875,-0.011826075756107456,0.0,0.2,0.058684587,75992.5576171875,2570,,,,,
48.877925872802734,528384,40.0,,,,,,,,,,,,,,,
43.92462921142578,529408,40.0,0.40498046875,0.0003,-5.7850501358509065,36905.20703125,-0.01465286598104285,0.0,0.2,0.06271215,78131.47156982422,2580,,,,,
48.65740966796875,530432,40.0,,,,,,,,,,,,,,,
53.51032638549805,531456,40.0,0.40224609375,0.0003,-5.780100837349892,31398.71875,-0.005317922646645457,5.960464477539063e-08,0.2,0.05999989,68540.47645263672,2590,,,,,
44.79484558105469,532480,40.0,,,,,,,,,,,,,,,
,532480,,,,,,,,,,,,40.0,260,960,1265.03175714,554
44.997501373291016,533504,40.0,0.39775390625,0.0003,-5.78049273788929,28318.076171875,-0.0005090630889753811,0.0,0.2,0.058225345,51498.67004394531,2600,,,,,
48.34367370605469,534528,40.0,,,,,,,,,,,,,,,
46.0466423034668,535552,40.0,0.42724609375,0.0003,-5.776487211883068,30574.87109375,-0.007250738040602301,0.0,0.2,0.065483116,63708.35078125,2610,,,,,
50.26933670043945,536576,40.0,,,,,,,,,,,,,,,
50.76320266723633,537600,40.0,0.397509765625,0.0003,-5.770246359705925,31105.353515625,-0.009248725681391078,0.0,0.2,0.06023902,62520.34523925781,2620,,,,,
52.46808624267578,538624,40.0,,,,,,,,,,,,,,,
47.03483200073242,539648,40.0,0.409033203125,0.0003,-5.756214059889317,35993.67578125,-7.899739721324295e-05,-1.1920928955078125e-07,0.2,0.061656058,59739.3990234375,2630,,,,,
49.83245849609375,540672,40.0,,,,,,,,,,,,,,,
47.328487396240234,541696,40.0,0.423046875,0.0003,-5.752226640284062,32791.19921875,-0.006743469815410208,0.0,0.2,0.071387075,68524.44233398438,2640,,,,,
50.18563461303711,542720,40.0,,,,,,,,,,,,,,,
56.399986267089844,543744,40.0,0.391552734375,0.0003,-5.765845556557179,37995.046875,-0.013139509050233755,0.0,0.2,0.058452897,78710.49118652343,2650,,,,,
52.96593475341797,544768,40.0,,,,,,,,,,,,,,,
