time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_range,train/clip_fraction,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed
1024,14.300263404846191,180.0,,,,,,,,,,,,,,,
2048,13.25996208190918,180.0,,,,,,,,,,,,,,,
3072,14.042110443115234,180.0,0.2,0.2822265625,14.260891914367676,0.0003,-5.87441777586937,44.089386981725696,0.021433344,0.0011704564094543457,-0.03591030567258713,10,,,,,
4096,12.32217025756836,180.0,,,,,,,,,,,,,,,
5120,15.460742950439453,180.0,0.2,0.458740234375,15.180648803710938,0.0003,-5.8432151794433596,39.40952911376953,0.028678343,0.011085987091064453,-0.03798702723288443,20,,,,,
6144,13.556690216064453,180.0,,,,,,,,,,,,,,,
7168,15.951839447021484,180.0,0.2,0.44296875,27.461959838867188,0.0003,-5.817167128622532,44.59838402271271,0.027166702,0.014057397842407227,-0.04499566312006209,30,,,,,
8192,15.634254455566406,180.0,,,,,,,,,,,,,,,
9216,14.42087173461914,180.0,0.2,0.3548828125,34.52297592163086,0.0003,-5.789204844832421,39.40301755964756,0.024826076,0.014153897762298584,-0.0375795141531853,40,,,,,
10240,13.04349136352539,180.0,,,,,,,,,,,,,,,
11264,14.13979721069336,180.0,0.2,0.386865234375,23.412038803100586,0.0003,-5.779485484957695,35.693589597940445,0.024857417,0.017394304275512695,-0.038272914629487786,50,,,,,
12288,15.01134204864502,180.0,,,,,,,,,,,,,,,
13312,13.391752243041992,180.0,0.2,0.297998046875,38.44561767578125,0.0003,-5.745600491762161,46.63243562579155,0.022305641,0.01464545726776123,-0.03218368890011334,60,,,,,
14336,14.90500259399414,180.0,,,,,,,,,,,,,,,
15360,14.334951400756836,180.0,0.2,0.2986328125,20.003786087036133,0.0003,-5.713767735660076,42.58036934137344,0.023149826,0.00602644681930542,-0.03166159314569086,70,,,,,
16384,15.688690185546875,180.0,,,,,,,,,,,,,,,
17408,13.694729804992676,180.0,0.2,0.363818359375,16.459449768066406,0.0003,-5.688564132153988,34.130142053961755,0.024462666,0.004945158958435059,-0.03809289462442393,80,,,,,
18432,14.242218017578125,180.0,,,,,,,,,,,,,,,
19456,14.673566818237305,180.0,0.2,0.305859375,19.806779861450195,0.0003,-5.658635434508324,36.23143405616283,0.022534339,0.007271826267242432,-0.031115223886445165,90,,,,,
