eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps
27.0,86016,36.335548400878906,,,,,,,,,,,,,,,
27.0,87040,39.10413360595703,0.2,33731.90625,0.0,-5.826841595768928,0.0003,70913.01064453126,0.027802125,-0.05732630607672036,420,0.2912109375,,,,,
27.0,88064,41.46598815917969,,,,,,,,,,,,,,,
27.0,89088,40.105926513671875,0.2,36517.7734375,1.1920928955078125e-07,-5.825502766668796,0.0003,68899.6129272461,0.030687924,-0.05927322221687063,430,0.299853515625,,,,,
27.0,90112,35.89617156982422,,,,,,,,,,,,,,,
27.0,91136,37.93299865722656,0.2,33870.54296875,0.0,-5.823673708736896,0.0003,69934.90682373047,0.025427267,-0.06035252871224657,440,0.273828125,,,,,
27.0,92160,33.659339904785156,,,,,,,,,,,,,,,
27.0,93184,44.45513916015625,0.2,35378.2109375,0.0,-5.8207397103309635,0.0003,71180.04315185547,0.027283998,-0.05900355307385326,450,0.28466796875,,,,,
27.0,94208,40.45684051513672,,,,,,,,,,,,,,,
27.0,95232,40.65110778808594,0.2,34513.51953125,0.0,-5.8165835842490194,0.0003,69090.15037841797,0.03006208,-0.05877191227627918,460,0.2970703125,,,,,
27.0,96256,38.57224655151367,,,,,,,,,,,,,,,
27.0,97280,43.44983673095703,0.2,39203.3125,0.0,-5.81342089176178,0.0003,69652.55277099609,0.027926167,-0.060056674026418476,470,0.288232421875,,,,,
27.0,98304,36.46269989013672,,,,,,,,,,,,,,,
27.0,99328,34.65266418457031,0.2,28485.740234375,0.0,-5.8123925000429155,0.0003,67109.11737060547,0.03169238,-0.06087842616252601,480,0.306494140625,,,,,
27.0,100352,37.20901107788086,,,,,,,,,,,,,,,
27.0,101376,35.84037780761719,0.2,41238.50390625,1.1920928955078125e-07,-5.812069283425808,0.0003,74784.29464111329,0.030933103,-0.059170911263208836,490,0.298779296875,,,,,
27.0,102400,38.5883674621582,,,,,,,,,,,,,,,
,102400,,,,,,,,,,,,725.34506641,348,50,27.0,293
27.0,103424,33.43224334716797,0.2,33133.1484375,-1.1920928955078125e-07,-5.811225481331348,0.0003,68932.46724853516,0.030219385,-0.05790362383704632,500,0.286669921875,,,,,
27.0,104448,41.166038513183594,,,,,,,,,,,,,,,
27.0,105472,39.973358154296875,0.2,32891.4765625,0.0,-5.808570905029773,0.0003,66496.05445556641,0.028639715,-0.06138068037689663,510,0.299609375,,,,,
27.0,106496,40.46150207519531,,,,,,,,,,,,,,,
27.0,107520,38.01543045043945,0.2,30534.490234375,0.0,-5.802419400215149,0.0003,66428.19934082031,0.03023846,-0.05594551835674792,520,0.292919921875,,,,,
27.0,108544,41.73939514160156,,,,,,,,,,,,,,,
27.0,109568,39.02561569213867,0.2,32913.98046875,1.1920928955078125e-07,-5.7976785227656364,0.0003,69093.30583496093,0.02861069,-0.057932510232785714,530,0.2947265625,,,,,
27.0,110592,41.41082000732422,,,,,,,,,,,,,,,
27.0,111616,36.65740203857422,0.2,30957.748046875,0.0,-5.794766633212566,0.0003,70037.30244140625,0.029916037,-0.06106872945092619,540,0.30478515625,,,,,
27.0,112640,39.847801208496094,,,,,,,,,,,,,,,
27.0,113664,42.336036682128906,0.2,32523.7265625,0.0,-5.792761451005935,0.0003,69504.79908447266,0.030850902,-0.057255821221042426,550,0.313427734375,,,,,
27.0,114688,38.61390686035156,,,,,,,,,,,,,,,
27.0,115712,35.744911193847656,0.2,34940.24609375,0.0,-5.791023010015488,0.0003,66688.52880859375,0.028884644,-0.05717147244140506,560,0.29384765625,,,,,
27.0,116736,42.929115295410156,,,,,,,,,,,,,,,
27.0,117760,39.606224060058594,0.2,30797.28515625,0.0,-5.787557834386826,0.0003,66426.80185546874,0.030596793,-0.05651055399794132,570,0.298291015625,,,,,
27.0,118784,42.24742126464844,,,,,,,,,,,,,,,
27.0,119808,42.45867156982422,0.2,32748.87890625,0.0,-5.784087130427361,0.0003,64951.182788085935,0.03126824,-0.05973251999821514,580,0.3037109375,,,,,
27.0,120832,32.261165618896484,,,,,,,,,,,,,,,
27.0,121856,38.30170440673828,0.2,30793.916015625,0.0,-5.781180070340634,0.0003,65702.60242919922,0.029353306,-0.05316951444838196,590,0.306689453125,,,,,
27.0,122880,41.80120849609375,,,,,,,,,,,,,,,
,122880,,,,,,,,,,,,708.5281451899999,421,60,27.0,291
27.0,123904,42.22951126098633,0.2,31166.8125,0.0,-5.775389730930328,0.0003,63978.559118652345,0.031951666,-0.056715028954204175,600,0.3103515625,,,,,
27.0,124928,35.51398468017578,,,,,,,,,,,,,,,
27.0,125952,42.845611572265625,0.2,31881.31640625,0.0,-5.769150404632091,0.0003,66523.15247802735,0.03131488,-0.05903624942293391,610,0.29140625,,,,,
27.0,126976,40.2357177734375,,,,,,,,,,,,,,,
27.0,128000,34.88099670410156,0.2,27730.94140625,0.0,-5.765642349421978,0.0003,68348.01588134766,0.030786326,-0.05745806739432737,620,0.2919921875,,,,,
27.0,129024,40.175926208496094,,,,,,,,,,,,,,,
27.0,130048,42.26554870605469,0.2,25818.21484375,0.0,-5.762559393048287,0.0003,58714.96793212891,0.029451996,-0.056308830727357415,630,0.29814453125,,,,,
27.0,131072,41.223182678222656,,,,,,,,,,,,,,,
27.0,132096,36.39345169067383,0.2,30859.171875,0.0,-5.757525806128979,0.0003,63786.17259521484,0.033630416,-0.058001148147741335,640,0.3115234375,,,,,
27.0,133120,41.376434326171875,,,,,,,,,,,,,,,
27.0,134144,40.38291931152344,0.2,29823.94921875,-1.1920928955078125e-07,-5.75268995910883,0.0003,64658.76748046875,0.03322684,-0.05412434273166582,650,0.3091796875,,,,,
