time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
1024,28.703462600708008,21.0,,,,,,,,,,,,,,,
2048,28.68442153930664,21.0,,,,,,,,,,,,,,,
3072,27.42916488647461,21.0,0.0003,61.32816865444183,0.2,-5.285172998905182,0.04194342,-0.06796557196648792,10,0.372021484375,35.22598648071289,0.013109087944030762,,,,,
4096,27.119609832763672,21.0,,,,,,,,,,,,,,,
5120,30.15310287475586,21.0,0.0003,58.93939958810806,0.2,-5.268265311419964,0.0344679,-0.06596237738849595,20,0.3314453125,33.17090606689453,0.0018997788429260254,,,,,
6144,26.36748695373535,21.0,,,,,,,,,,,,,,,
7168,28.352266311645508,21.0,0.0003,63.12998645305633,0.2,-5.255756977200508,0.029436968,-0.06057720300741494,30,0.27509765625,28.26355743408203,-0.0026237964630126953,,,,,
8192,28.140399932861328,21.0,,,,,,,,,,,,,,,
9216,26.192501068115234,21.0,0.0003,62.82940844297409,0.2,-5.238472071290016,0.032548554,-0.06045362082659267,40,0.3224609375,31.24142074584961,-0.0014424324035644531,,,,,
10240,25.723875045776367,21.0,,,,,,,,,,,,,,,
11264,25.554380416870117,21.0,0.0003,53.718514007329944,0.2,-5.225283952057362,0.034189686,-0.05101116138393991,50,0.321630859375,25.45336151123047,-0.0006890296936035156,,,,,
12288,28.996732711791992,21.0,,,,,,,,,,,,,,,
13312,28.652873992919922,21.0,0.0003,48.95673720836639,0.2,-5.213103513419628,0.03837371,-0.05885672651929781,60,0.348046875,22.388227462768555,-0.000392913818359375,,,,,
14336,30.31536102294922,21.0,,,,,,,,,,,,,,,
15360,25.99199867248535,21.0,0.0003,49.615887969732285,0.2,-5.181788694858551,0.040078014,-0.056368936283979564,70,0.351611328125,21.998350143432617,-0.0002592802047729492,,,,,
16384,24.909032821655273,21.0,,,,,,,,,,,,,,,
17408,29.652278900146484,21.0,0.0003,45.93541594147682,0.2,-5.169877386093139,0.036316946,-0.054036715999245644,80,0.336865234375,15.20682144165039,-0.00017392635345458984,,,,,
18432,25.91004180908203,21.0,,,,,,,,,,,,,,,
19456,29.002685546875,21.0,0.0003,44.8197621524334,0.2,-5.132198584079743,0.036451954,-0.05289987438591197,90,0.36201171875,22.23563003540039,-0.00014162063598632812,,,,,
20480,24.9990177154541,21.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,27.122771379999996,21.0,10,30,676
21504,30.243932723999023,21.0,0.0003,41.73007570505142,0.2,-5.125570257008076,0.03823842,-0.056151033868081866,100,0.368603515625,26.174474716186523,-8.177757263183594e-05,,,,,
22528,22.131305694580078,21.0,,,,,,,,,,,,,,,
23552,29.689273834228516,21.0,0.0003,41.43899189829826,0.2,-5.113301993906498,0.04308896,-0.05688307684613392,110,0.3865234375,17.313777923583984,-4.684925079345703e-05,,,,,
24576,26.86285972595215,21.0,,,,,,,,,,,,,,,
25600,24.491077423095703,21.0,0.0003,42.49608764052391,0.2,-5.091198855638504,0.03764513,-0.05296671265969053,120,0.3654296875,20.242666244506836,-4.482269287109375e-05,,,,,
