eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed
180.0,37888,15.405359268188477,0.2,0.0,-5.500574117153883,0.0002,0.02079146,16.87925008200109,180,-0.03252443751771352,0.343017578125,5.1926751136779785,,,,,
180.0,38912,15.373680114746094,,,,,,,,,,,,,,,
180.0,39936,16.102577209472656,0.2,0.0,-5.484408753365278,0.0002,0.020984504,19.952707981318234,190,-0.0356022581756406,0.315771484375,12.953423500061035,,,,,
180.0,40960,14.235239028930664,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,20,180.0,266,15.21176271,153
180.0,41984,16.82298469543457,0.2,0.0,-5.43246263936162,0.0002,0.022139784,17.499528229236603,200,-0.03877450076834066,0.39619140625,7.9735517501831055,,,,,
180.0,43008,17.718549728393555,,,,,,,,,,,,,,,
180.0,44032,15.213418006896973,0.2,-1.1920928955078125e-07,-5.395207826793194,0.0002,0.020650972,16.799765657633543,210,-0.03417653694632463,0.3462890625,15.230866432189941,,,,,
180.0,45056,16.365760803222656,,,,,,,,,,,,,,,
180.0,46080,15.84339427947998,0.2,0.0,-5.389455648511648,0.0002,0.02043189,18.559773170948027,220,-0.031410912596766136,0.317041015625,10.164101600646973,,,,,
180.0,47104,16.38864517211914,,,,,,,,,,,,,,,
180.0,48128,17.125370025634766,0.2,0.0,-5.329254122078419,0.0002,0.019863151,17.299314775317907,230,-0.03088991983604501,0.319482421875,11.380715370178223,,,,,
180.0,49152,19.511348724365234,,,,,,,,,,,,,,,
180.0,50176,18.320419311523438,0.2,1.1920928955078125e-07,-5.278445515036583,0.0002,0.0199324,20.813893038406967,240,-0.03133391993615078,0.319384765625,39.98246765136719,,,,,
180.0,51200,17.363149642944336,,,,,,,,,,,,,,,
