time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_range,train/clip_fraction,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/loss,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations
52224,13.528566360473633,180.0,0.2,0.0205078125,-5.886099909245968,0.0021422203,0.0070497515091119565,3.626820839204348e+24,250,0.0003,0.0,1.4708723236498782e+24,,,,,
53248,14.275960922241211,180.0,,,,,,,,,,,,,,,
54272,14.60523796081543,180.0,0.2,0.01513671875,-5.886099753528834,0.0018020037,0.008256801808965975,4.7674026561348153e+24,260,0.0003,0.0,2.813868646846664e+24,,,,,
55296,13.008697509765625,180.0,,,,,,,,,,,,,,,
56320,13.89564323425293,180.0,0.2,0.03759765625,-5.886099910736084,0.0028359792,0.0055015305180859285,5.3115789060635e+24,270,0.0003,0.0,1.8900211159901517e+24,,,,,
57344,12.939580917358398,180.0,,,,,,,,,,,,,,,
58368,13.238615036010742,180.0,0.2,0.02294921875,-5.8860997930169106,0.0023279914,0.006074114586772339,4.7421250460262745e+24,280,0.0003,0.0,2.94997420099964e+24,,,,,
59392,13.76441764831543,180.0,,,,,,,,,,,,,,,
60416,13.269124984741211,180.0,0.2,0.017578125,-5.886099901050329,0.0026850204,0.00044895494265801973,4.112261994648737e+24,290,0.0003,0.0,1.5608121625698226e+24,,,,,
61440,12.74146842956543,180.0,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,211,290,180.0,-2155799314192.7554,30
62464,13.89763069152832,180.0,0.2,0.02197265625,-5.886099861562252,0.0018128338,0.003360326798065216,5.265867704800912e+24,300,0.0003,0.0,2.5270275411080037e+24,,,,,
63488,14.204336166381836,180.0,,,,,,,,,,,,,,,
64512,14.71682071685791,180.0,0.2,0.00634765625,-5.8860998660326,0.0009567727,0.0011667895818391117,3.6456047141893235e+24,310,0.0003,0.0,2.3099900678657648e+24,,,,,
65536,14.888833999633789,180.0,,,,,,,,,,,,,,,
66560,14.047439575195312,180.0,0.2,0.0166015625,-5.886099980771542,0.0024189304,0.006275394702515769,4.2562990877174844e+24,320,0.0003,0.0,2.4535973940188413e+24,,,,,
67584,13.093955993652344,180.0,,,,,,,,,,,,,,,
68608,13.96948528289795,180.0,0.2,0.0,-5.88609976619482,0.00051086093,0.002680246858835744,3.227699680057421e+24,330,0.0003,0.0,1.6528899503048723e+24,,,,,
69632,12.532203674316406,180.0,,,,,,,,,,,,,,,
70656,14.611794471740723,180.0,0.2,0.0087890625,-5.886099840700626,0.0017519661,0.0012657485476665897,4.475951330299406e+24,340,0.0003,0.0,2.9393903815873493e+24,,,,,
71680,13.393632888793945,180.0,,,,,,,,,,,,,,,
72704,13.201652526855469,180.0,0.2,0.0263671875,-5.886099896579981,0.0018568297,0.004250410562599427,3.824060422169162e+24,350,0.0003,0.0,2.4505637693098446e+24,,,,,
73728,13.204235076904297,180.0,,,,,,,,,,,,,,,
74752,12.786201477050781,180.0,0.2,0.0107421875,-5.886099797487259,0.0022781715,0.0013114709479850716,4.7870613213452304e+24,360,0.0003,0.0,3.6679131216675075e+24,,,,,
75776,12.448686599731445,180.0,,,,,,,,,,,,,,,
76800,13.943646430969238,180.0,0.2,0.013671875,-5.886099671572447,0.0013049477,0.003360529312703875,5.565288306226681e+24,370,0.0003,0.0,2.8371083738454006e+24,,,,,
77824,13.47346305847168,180.0,,,,,,,,,,,,,,,
78848,13.004661560058594,180.0,0.2,0.02001953125,-5.8860998474061486,0.0019486432,0.005620612419079407,3.7761834369184315e+24,380,0.0003,0.0,1.6060663492382744e+24,,,,,
79872,12.908390045166016,180.0,,,,,,,,,,,,,,,
80896,12.714239120483398,180.0,0.2,0.01611328125,-5.886099888384342,0.0024071038,0.0010908906271652086,3.3207202980633104e+24,390,0.0003,0.0,1.749024004123505e+24,,,,,
81920,13.003877639770508,180.0,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,280,291,180.0,-258583837361.71173,40
82944,13.850913047790527,180.0,0.2,0.01123046875,-5.886099877208471,0.0016030911,0.003590941339280107,4.94021352836004e+24,400,0.0003,0.0,2.936855683659471e+24,,,,,
83968,14.13857650756836,180.0,,,,,,,,,,,,,,,
84992,13.153478622436523,180.0,0.2,0.0244140625,-5.886099871993065,0.0026950836,0.0031919202912831677,5.976679904013267e+24,410,0.0003,0.0,1.8306202942297977e+24,,,,,
86016,13.133644104003906,180.0,,,,,,,,,,,,,,,
87040,13.750226974487305,180.0,0.2,0.001953125,-5.886099895834922,0.00080903235,0.0027497573364598793,4.773316683185567e+24,420,0.0003,0.0,2.866349345505992e+24,,,,,
88064,14.440385818481445,180.0,,,,,,,,,,,,,,,
89088,13.281301498413086,180.0,0.2,0.0146484375,-5.886099876463414,0.0022512977,0.0026260676997480912,3.7575285097861173e+24,430,0.0003,0.0,1.070416568239736e+24,,,,,
90112,12.371335983276367,180.0,,,,,,,,,,,,,,,
91136,13.174602508544922,180.0,0.2,0.02978515625,-5.886099816113711,0.0020134076,0.0052648130680609025,5.136973750094546e+24,440,0.0003,0.0,4.958538417863092e+24,,,,,
92160,14.212750434875488,180.0,,,,,,,,,,,,,,,
93184,13.165531158447266,180.0,0.2,0.02587890625,-5.8860999248921875,0.0024782815,0.0036720449243148323,3.600616714803467e+24,450,0.0003,0.0,1.834067241298196e+24,,,,,
94208,13.640913963317871,180.0,,,,,,,,,,,,,,,
95232,12.521728515625,180.0,0.2,0.00927734375,-5.886099833250046,0.0012000474,0.004411384220838954,5.512704065983861e+24,460,0.0003,0.0,2.9998135564919134e+24,,,,,
96256,14.065258979797363,180.0,,,,,,,,,,,,,,,
97280,13.78829288482666,180.0,0.2,0.00146484375,-5.88609980866313,0.0010517503,0.0010660116109647787,4.2796110434470445e+24,470,0.0003,0.0,3.830579681443616e+24,,,,,
98304,13.377121925354004,180.0,,,,,,,,,,,,,,,
99328,14.958389282226562,180.0,0.2,0.02294921875,-5.886100036650896,0.0024486503,0.00857592907104845,4.92840636037735e+24,480,0.0003,0.0,3.521056862714449e+24,,,,,
100352,14.240363121032715,180.0,,,,,,,,,,,,,,,
101376,12.699531555175781,180.0,0.2,0.0029296875,-5.886099849641323,0.0010383674,0.004037574904577923,5.058034382007138e+24,490,0.0003,0.0,2.57881475748231e+24,,,,,
102400,13.341236114501953,180.0,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,350,292,180.0,-110921803439.24725,50
103424,13.041698455810547,180.0,0.2,0.0283203125,-5.886099872738123,0.0028469127,0.0005918151222431334,4.581683613157288e+24,500,0.0003,0.0,1.699327610897803e+24,,,,,
104448,13.462074279785156,180.0,,,,,,,,,,,,,,,
105472,13.323960304260254,180.0,0.2,0.029296875,-5.886099883913994,0.001712258,0.0027445949546745394,5.201046621195393e+24,510,0.0003,0.0,2.196312439857094e+24,,,,,
106496,13.773534774780273,180.0,,,,,,,,,,,,,,,
107520,14.195714950561523,180.0,0.2,0.0234375,-5.886099854111672,0.0024167793,0.0072545865550637245,4.537939815471776e+24,520,0.0003,0.0,1.8504846994086094e+24,,,,,
108544,13.456855773925781,180.0,,,,,,,,,,,,,,,
109568,13.309516906738281,180.0,0.2,0.00537109375,-5.886099886149168,0.0010624443,0.0048768958724394905,3.693208828815611e+24,530,0.0003,0.0,1.1997469071132958e+24,,,,,
110592,12.381195068359375,180.0,,,,,,,,,,,,,,,
111616,14.67599105834961,180.0,0.2,0.01025390625,-5.88609982803464,0.0013183017,0.00356464841934212,3.9517910489032627e+24,540,0.0003,0.0,1.5436832077758787e+24,,,,,
112640,12.41612434387207,180.0,,,,,,,,,,,,,,,
113664,13.10940170288086,180.0,0.2,0.033203125,-5.8860998816788195,0.0034821169,0.006854594422225091,4.071084284079786e+24,550,0.0003,0.0,2.595316522977748e+24,,,,,
114688,14.726419448852539,180.0,,,,,,,,,,,,,,,
115712,12.476377487182617,180.0,0.2,0.009765625,-5.886099899560213,0.0017166403,-0.0004178570699878037,3.652692058421494e+24,560,0.0003,0.0,2.43436810447388e+24,,,,,
116736,13.301992416381836,180.0,,,,,,,,,,,,,,,
117760,13.572375297546387,180.0,0.2,0.01025390625,-5.886099841445684,0.0017588772,0.004038654642681649,4.968947295735987e+24,570,0.0003,0.0,2.1966194052076955e+24,,,,,
118784,12.942423820495605,180.0,,,,,,,,,,,,,,,
119808,13.589702606201172,180.0,0.2,0.01123046875,-5.886099899560213,0.0024037464,0.008747500627214322,4.4633781339096873e+24,580,0.0003,0.0,2.542813918809833e+24,,,,,
120832,13.914350509643555,180.0,,,,,,,,,,,,,,,
121856,13.467386245727539,180.0,0.2,0.02197265625,-5.886099833250046,0.0022354056,0.003227873696232564,4.2448013591378506e+24,590,0.0003,0.0,3.360768203541592e+24,,,,,
122880,14.526144027709961,180.0,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,424,289,180.0,-120913655847.51314,60
123904,13.75949478149414,180.0,0.2,0.01171875,-5.886099831014872,0.0012850317,0.004534988647719729,3.4305421306889363e+24,600,0.0003,0.0,1.5758587970112585e+24,,,,,
124928,14.483924865722656,180.0,,,,,,,,,,,,,,,
125952,14.045063972473145,180.0,0.2,0.04296875,-5.886099863052368,0.0026607083,0.005370284919263213,3.434138111382859e+24,610,0.0003,0.0,2.0349704427745906e+24,,,,,
126976,13.571475982666016,180.0,,,,,,,,,,,,,,,
128000,13.85490608215332,180.0,0.2,0.005859375,-5.886099854111672,0.0012559677,0.0021125702349308996,4.1516035533096615e+24,620,0.0003,0.0,2.1997916687276212e+24,,,,,
129024,14.221500396728516,180.0,,,,,,,,,,,,,,,
130048,14.670228958129883,180.0,0.2,0.00341796875,-5.886099752038717,0.0013173756,0.003103364664275432,3.886583468854702e+24,630,0.0003,0.0,2.0814952930563072e+24,,,,,
131072,13.55565071105957,180.0,,,,,,,,,,,,,,,
132096,13.58250904083252,180.0,0.2,0.0263671875,-5.8860998213291165,0.0022099873,0.004355497388314688,5.99573320391861e+24,640,0.0003,0.0,1.900218274352835e+24,,,,,
133120,13.306697845458984,180.0,,,,,,,,,,,,,,,
134144,15.534065246582031,180.0,0.2,0.0,-5.886099854856729,0.00060624763,0.0031335002960986456,4.474092155652315e+24,650,0.0003,0.0,2.1541988113671911e+24,,,,,
135168,11.928733825683594,180.0,,,,,,,,,,,,,,,
136192,12.502257347106934,180.0,0.2,0.0087890625,-5.886099798232317,0.0012703286,0.002090449837851338,4.156671637323142e+24,660,0.0003,0.0,3.3537019476398566e+24,,,,,
137216,13.36348819732666,180.0,,,,,,,,,,,,,,,
138240,13.368144989013672,180.0,0.2,0.021484375,-5.886099769175052,0.0018176493,0.001151811284944415,4.902210609519255e+24,670,0.0003,0.0,1.0041650868990082e+24,,,,,
139264,13.386802673339844,180.0,,,,,,,,,,,,,,,
140288,15.069112777709961,180.0,0.2,0.02197265625,-5.886099744588137,0.0019133993,0.006048122397623956,4.720002927807467e+24,680,0.0003,0.0,1.7297114159998357e+24,,,,,
141312,13.754091262817383,180.0,,,,,,,,,,,,,,,
142336,12.477071762084961,180.0,0.2,0.02734375,-5.886099910736084,0.002515772,0.0015395735477795824,3.43537781865966e+24,690,0.0003,0.0,1.8846895746072854e+24,,,,,
143360,14.284152030944824,180.0,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,497,288,180.0,-229327553996.78375,70
144384,13.526798248291016,180.0,0.2,0.025390625,-5.886099932342768,0.0018878132,0.004350972124575492,4.4899996358236643e+24,700,0.0003,0.0,1.0741905847274725e+24,,,,,
145408,13.402131080627441,180.0,,,,,,,,,,,,,,,
146432,13.289484977722168,180.0,0.2,0.03515625,-5.886099791526794,0.002786417,0.004681098778928572,4.2350654782515313e+24,710,0.0003,0.0,1.4552217024552165e+24,,,,,
147456,12.99087905883789,180.0,,,,,,,,,,,,,,,
148480,12.936854362487793,180.0,0.2,0.001953125,-5.886099760234356,0.0011320661,0.003083030349444016,5.485158818928365e+24,720,0.0003,0.0,3.292635442535722e+24,,,,,
149504,14.229665756225586,180.0,,,,,,,,,,,,,,,
150528,13.40661907196045,180.0,0.2,0.00048828125,-5.8860998660326,0.00088938733,0.005610978408731171,4.7497253693963007e+24,730,0.0003,0.0,2.453226441524734e+24,,,,,
151552,13.679498672485352,180.0,,,,,,,,,,,,,,,
152576,12.67294692993164,180.0,0.2,0.01611328125,-5.886099953204393,0.0023015733,0.007883493718691171,4.703166356271481e+24,740,0.0003,0.0,3.413851880147829e+24,,,,,
153600,14.291921615600586,180.0,,,,,,,,,,,,,,,
154624,13.216838836669922,180.0,0.2,0.00927734375,-5.8860998071730135,0.0011798532,0.004692781105040922,4.3184390180240934e+24,750,0.0003,0.0,1.3359074412105227e+24,,,,,
155648,13.131643295288086,180.0,,,,,,,,,,,,,,,
156672,13.243886947631836,180.0,0.2,0.01953125,-5.886099795997143,0.0018390814,0.0016560576917981963,5.328502013815967e+24,760,0.0003,0.0,2.8500104301730797e+24,,,,,
157696,13.039475440979004,180.0,,,,,,,,,,,,,,,
158720,12.9320068359375,180.0,0.2,0.01220703125,-5.886099876463414,0.0017325558,0.0048505855029361555,3.958920479836901e+24,770,0.0003,0.0,1.5372953020644164e+24,,,,,
159744,13.648447036743164,180.0,,,,,,,,,,,,,,,
160768,13.069138526916504,180.0,0.2,0.0390625,-5.88609989285469,0.0026216866,0.004114126198692248,5.224774595814632e+24,780,0.0003,0.0,3.373113398782546e+24,,,,,
161792,15.826417922973633,180.0,,,,,,,,,,,,,,,
162816,12.754804611206055,180.0,0.2,0.025390625,-5.886099869012833,0.001845835,0.005244149786085473,3.0404929374570565e+24,790,0.0003,0.0,1.3748575972069723e+24,,,,,
163840,12.240007400512695,180.0,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,566,289,180.0,-1063701006420.125,80
164864,13.015802383422852,180.0,0.2,0.01318359375,-5.886099854111672,0.001958813,0.004011818646176835,4.368245037196385e+24,800,0.0003,0.0,1.4155882963520992e+24,,,,,
165888,12.683262825012207,180.0,,,,,,,,,,,,,,,
166912,13.5313081741333,180.0,0.2,0.0,-5.886099829524755,0.00073770364,0.0013552691969380248,4.625973410035354e+24,810,0.0003,0.0,2.6426468330456206e+24,,,,,
167936,13.635050773620605,180.0,,,,,,,,,,,,,,,
168960,14.40540885925293,180.0,0.2,0.04541015625,-5.88609978929162,0.0033789887,0.0029201797231507955,4.864377199975996e+24,820,0.0003,0.0,2.681304002864712e+24,,,,,
169984,13.418951988220215,180.0,,,,,,,,,,,,,,,
171008,13.373260498046875,180.0,0.2,0.033203125,-5.886099795252084,0.0026941602,0.003703899642277975,5.261224830229165e+24,830,0.0003,0.0,1.5501803527999025e+24,,,,,
172032,13.214345932006836,180.0,,,,,,,,,,,,,,,
173056,13.096853256225586,180.0,0.2,0.01611328125,-5.8860998891294,0.0021317434,0.0008289037887152517,3.687254836033637e+24,840,0.0003,0.0,1.6440737036743318e+24,,,,,
174080,12.8970947265625,180.0,,,,,,,,,,,,,,,
175104,13.327959060668945,180.0,0.2,0.02001953125,-5.886099876463414,0.002000704,0.007622175877622794,4.5482799104305126e+24,850,0.0003,0.0,1.8312215427944502e+24,,,,,
176128,14.767766952514648,180.0,,,,,,,,,,,,,,,
177152,14.5426607131958,180.0,0.2,0.02099609375,-5.886099871993065,0.0018691648,0.004063969197886763,4.530289887091064e+24,860,0.0003,0.0,1.9100910294271596e+24,,,,,
178176,13.946765899658203,180.0,,,,,,,,,,,,,,,
179200,12.71589469909668,180.0,0.2,0.0205078125,-5.8860998816788195,0.0017332021,0.004983423399880849,3.5048019346732174e+24,870,0.0003,0.0,1.7041498492060092e+24,,,,,
180224,14.53752613067627,180.0,,,,,,,,,,,,,,,
181248,13.433100700378418,180.0,0.2,0.02685546875,-5.886099950224161,0.0024511267,0.005599171336143627,4.7636713056240486e+24,880,0.0003,0.0,1.8760451132809313e+24,,,,,
182272,14.026848793029785,180.0,,,,,,,,,,,,,,,
183296,14.735307693481445,180.0,0.2,0.02197265625,-5.886099777370691,0.0020669084,0.0015633983462521428,4.0297877262188286e+24,890,0.0003,0.0,2.1919228353434914e+24,,,,,
184320,13.428627967834473,180.0,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,636,289,180.0,344177165809.7057,90
185344,13.717357635498047,180.0,0.2,0.00048828125,-5.886099889874458,0.00092017825,0.0027660793382892736,4.1596397797498513e+24,900,0.0003,0.0,1.721000949917343e+24,,,,,
186368,13.696019172668457,180.0,,,,,,,,,,,,,,,
187392,13.928152084350586,180.0,0.2,0.0009765625,-5.886099903285503,0.0009393218,0.005316208838848979,4.956580899236837e+24,910,0.0003,0.0,1.7278909529440615e+24,,,,,
188416,11.824753761291504,180.0,,,,,,,,,,,,,,,
189440,14.500490188598633,180.0,0.2,0.01171875,-5.886099676787853,0.0014872462,0.0015597542900650297,4.452482632189135e+24,920,0.0003,0.0,3.106538635482241e+24,,,,,
190464,13.752662658691406,180.0,,,,,,,,,,,,,,,
191488,13.297502517700195,180.0,0.2,0.0205078125,-5.886099893599749,0.0021933832,0.0037423031135404017,4.943217961074022e+24,930,0.0003,0.0,1.4785826303271246e+24,,,,,
192512,13.48453426361084,180.0,,,,,,,,,,,,,,,
193536,14.78600025177002,180.0,0.2,0.0146484375,-5.88609983548522,0.0014088203,0.0030160220001562267,3.9457933089426376e+24,940,0.0003,0.0,2.7864789788920955e+24,,,,,
194560,14.037540435791016,180.0,,,,,,,,,,,,,,,
195584,13.424177169799805,180.0,0.2,0.0185546875,-5.886099822074175,0.0023292946,0.0041410066853131864,3.26881371558232e+24,950,0.0003,0.0,1.9939314812421695e+24,,,,,
196608,13.378622055053711,180.0,,,,,,,,,,,,,,,
197632,12.665872573852539,180.0,0.2,0.0283203125,-5.886099899560213,0.0021280786,0.0013111147418385372,4.333740202334098e+24,960,0.0003,0.0,1.3167930114704577e+24,,,,,
198656,13.55709171295166,180.0,,,,,,,,,,,,,,,
199680,13.497479438781738,180.0,0.2,0.013671875,-5.886099854856729,0.0019382936,0.004570008165865147,5.382748082321286e+24,970,0.0003,0.0,9.013703173178855e+23,,,,,
200704,13.265402793884277,180.0,,,,,,,,,,,,,,,
201728,12.579214096069336,180.0,0.2,0.0068359375,-5.886099883168936,0.0011355148,0.003501533078815555,3.816800951597723e+24,980,0.0003,0.0,3.0752154875843297e+24,,,,,
202752,12.962510108947754,180.0,,,,,,,,,,,,,,,
203776,14.046613693237305,180.0,0.2,0.02734375,-5.886099920421839,0.002334403,0.006233873292512726,4.0397807056733356e+24,990,0.0003,0.0,1.4066763572366763e+24,,,,,
204800,14.034509658813477,180.0,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,706,289,180.0,271473349408.62866,100
205824,12.960575103759766,180.0,0.2,0.03466796875,-5.8860997669398785,0.0021702498,0.002972544828844548,5.166739881441135e+24,1000,0.0003,0.0,1.5791205560629793e+24,,,,,
206848,12.771821975708008,180.0,,,,,,,,,,,,,,,
207872,13.345663070678711,180.0,0.2,0.03271484375,-5.886099898070097,0.0017910769,0.00452456456841901,3.4575796959093434e+24,1010,0.0003,0.0,1.4122191714852618e+24,,,,,
208896,13.204238891601562,180.0,,,,,,,,,,,,,,,
209920,13.964381217956543,180.0,0.2,0.013671875,-5.886099894344807,0.0016966506,0.0015429017952556024,3.9516177166126043e+24,1020,0.0003,0.0,2.191576526546545e+24,,,,,
210944,13.720722198486328,180.0,,,,,,,,,,,,,,,
211968,15.382822036743164,180.0,0.2,0.0087890625,-5.886099806427955,0.0015547927,0.0024529744017854683,4.610995741917172e+24,1030,0.0003,0.0,2.1484676385677905e+24,,,,,
212992,13.135637283325195,180.0,,,,,,,,,,,,,,,
214016,15.142712593078613,180.0,0.2,0.0263671875,-5.886099912971258,0.0023054336,0.0052648146127467045,5.117482110896822e+24,1040,0.0003,0.0,2.0527796212562526e+24,,,,,
215040,13.863121032714844,180.0,,,,,,,,,,,,,,,
216064,13.1029691696167,180.0,0.2,0.00244140625,-5.886099873483181,0.00067842635,0.002715743722001207,4.3207947469560194e+24,1050,0.0003,0.0,2.4750783392623e+24,,,,,
217088,13.989520072937012,180.0,,,,,,,,,,,,,,,
218112,13.336740493774414,180.0,0.2,0.02880859375,-5.886099866777658,0.0021742932,0.004333413871427183,4.142834956677209e+24,1060,0.0003,0.0,2.3568986968933274e+24,,,,,
219136,12.228656768798828,180.0,,,,,,,,,,,,,,,
220160,12.852229118347168,180.0,0.2,0.02587890625,-5.886099869012833,0.0022729724,0.005657328075176338,5.476438530044724e+24,1070,0.0003,0.0,2.804872400346217e+24,,,,,
221184,13.58552360534668,180.0,,,,,,,,,,,,,,,
222208,14.16679573059082,180.0,0.2,0.01953125,-5.886099854856729,0.00193492,0.001902602867266978,4.09791599499666e+24,1080,0.0003,0.0,1.3168415782888393e+24,,,,,
223232,12.688699722290039,180.0,,,,,,,,,,,,,,,
224256,12.394569396972656,180.0,0.2,0.00927734375,-5.886099815368652,0.0011973617,0.00012191878086014185,4.374526241824036e+24,1090,0.0003,0.0,2.164254304499996e+24,,,,,
225280,13.469261169433594,180.0,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,776,290,180.0,610446412644.6052,110
