eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/value_loss,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean
13.575439453125,12.0,1024,,,,,,,,,,,,,,,
13.407205581665039,12.0,2048,,,,,,,,,,,,,,,
16.76937484741211,12.0,3072,-3.8931752353906632,-0.06086624541203491,0.572900390625,0.2,0.10612692,10,0.0003,13.30416488647461,0.0016630291938781738,26.220089066028596,,,,,
13.631963729858398,12.0,4096,,,,,,,,,,,,,,,
15.51131820678711,12.0,5120,-3.8669167540967466,-0.055166510050185025,0.501416015625,0.2,0.092770055,20,0.0003,14.51938533782959,0.0,28.85192942023277,,,,,
11.958822250366211,12.0,6144,,,,,,,,,,,,,,,
13.513099670410156,12.0,7168,-3.8488049797713755,-0.05265812886646017,0.472802734375,0.2,0.080619596,30,0.0003,13.091859817504883,5.960464477539063e-08,32.03139676451683,,,,,
15.04609489440918,12.0,8192,,,,,,,,,,,,,,,
14.630186080932617,12.0,9216,-3.8362212508916853,-0.052614038871251975,0.472216796875,0.2,0.0939433,40,0.0003,8.964194297790527,0.0,27.26463805437088,,,,,
15.633094787597656,12.0,10240,,,,,,,,,,,,,,,
15.35747241973877,12.0,11264,-3.8132607601583004,-0.049850567974499424,0.47607421875,0.2,0.100739025,50,0.0003,12.07789421081543,0.0,32.59670773148537,,,,,
14.86963176727295,12.0,12288,,,,,,,,,,,,,,,
18.826744079589844,12.0,13312,-3.771065479516983,-0.05501548558531795,0.470703125,0.2,0.09572758,60,0.0003,14.481176376342773,0.0,27.075968742370605,,,,,
14.358943939208984,12.0,14336,,,,,,,,,,,,,,,
15.861318588256836,12.0,15360,-3.7543569050729273,-0.050289156305370855,0.44951171875,0.2,0.096762806,70,0.0003,10.67092227935791,-1.1920928955078125e-07,25.774688190221788,,,,,
14.532291412353516,12.0,16384,,,,,,,,,,,,,,,
13.508243560791016,12.0,17408,-3.729924290627241,-0.045301423262571916,0.45810546875,0.2,0.1016523,80,0.0003,14.12920093536377,5.960464477539063e-08,26.960114401578902,,,,,
16.073041915893555,12.0,18432,,,,,,,,,,,,,,,
14.692669868469238,12.0,19456,-3.6936488106846808,-0.051679926860379054,0.4779296875,0.2,0.11031685,90,0.0003,12.231490135192871,0.0,25.977659982442855,,,,,
16.892169952392578,12.0,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,12.0,41,498,10,14.723003900000002
12.918360710144043,12.0,21504,-3.6575675182044507,-0.051436163172184024,0.483251953125,0.2,0.11004503,100,0.0003,10.739426612854004,0.0,24.695933079719545,,,,,
18.48999786376953,12.0,22528,,,,,,,,,,,,,,,
15.116923332214355,12.0,23552,-3.630419610440731,-0.05115516374062281,0.446484375,0.2,0.096545264,110,0.0003,13.094717025756836,0.0,25.21325252354145,,,,,
15.71485424041748,12.0,24576,,,,,,,,,,,,,,,
15.509952545166016,12.0,25600,-3.584990381449461,-0.050340662244707346,0.4240234375,0.2,0.086835094,120,0.0003,11.91070556640625,0.0,23.67403170466423,,,,,
11.125802993774414,12.0,26624,,,,,,,,,,,,,,,
16.98817253112793,12.0,27648,-3.5288885317742826,-0.04862684466643259,0.443310546875,0.2,0.09792073,130,0.0003,14.62022876739502,0.0,25.64353741109371,,,,,
19.234956741333008,12.0,28672,,,,,,,,,,,,,,,
16.993228912353516,12.0,29696,-3.460752345621586,-0.045673385309055445,0.416845703125,0.2,0.0898028,140,0.0003,11.269218444824219,-1.1920928955078125e-07,24.455418080091476,,,,,
15.918785095214844,12.0,30720,,,,,,,,,,,,,,,
18.797704696655273,12.0,31744,-3.393054409325123,-0.052533477611723355,0.440771484375,0.2,0.10313745,150,0.0003,9.893168449401855,0.0,23.825606870651246,,,,,
20.283601760864258,12.0,32768,,,,,,,,,,,,,,,
15.721808433532715,12.0,33792,-3.346606034040451,-0.0511947252380196,0.41376953125,0.2,0.08989377,160,0.0003,11.790380477905273,0.0,25.498903453350067,,,,,
17.271974563598633,12.0,34816,,,,,,,,,,,,,,,
17.691144943237305,12.0,35840,-3.3008917652070524,-0.04770886781043373,0.40283203125,0.2,0.07976957,170,0.0003,10.986503601074219,0.0,22.616246896982194,,,,,
16.093812942504883,12.0,36864,,,,,,,,,,,,,,,
18.897140502929688,12.0,37888,-3.2186739020049573,-0.04995234730304219,0.45556640625,0.2,0.12704346,180,0.0003,11.89383602142334,5.960464477539063e-08,24.489667814970016,,,,,
16.399309158325195,12.0,38912,,,,,,,,,,,,,,,
