time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean
1024,180.0,12.975625991821289,,,,,,,,,,,,,,,
2048,180.0,12.797548294067383,,,,,,,,,,,,,,,
3072,180.0,15.204166412353516,-0.012517151997599285,1.549545168876648,0.004463753,0.2,15.16407869796385,0.0177734375,10,-5.885086846351624,3e-05,0.009480059146881104,,,,,
4096,180.0,15.34359359741211,,,,,,,,,,,,,,,
5120,180.0,15.054006576538086,-0.014550118191255023,47.64847946166992,0.0070386813,0.2,17.541322402947117,0.044384765625,20,-5.880049825459719,3e-05,0.0029648542404174805,,,,,
6144,180.0,14.21240234375,,,,,,,,,,,,,,,
7168,180.0,13.333314895629883,-0.01749819407668838,21.010156631469727,0.0068785297,0.2,18.223074285274198,0.034619140625,30,-5.8740715377032755,3e-05,0.0006615519523620605,,,,,
8192,180.0,13.1582612991333,,,,,,,,,,,,,,,
9216,180.0,12.793120384216309,-0.020448210341783124,25.206340789794922,0.006945721,0.2,17.615345794300083,0.034375,40,-5.868419462442398,3e-05,0.00029397010803222656,,,,,
10240,180.0,15.031984329223633,,,,,,,,,,,,,,,
11264,180.0,14.762998580932617,-0.01700846793683013,3.069213390350342,0.0064889286,0.2,18.48861906849779,0.029833984375,50,-5.861057699471712,3e-05,0.000637054443359375,,,,,
12288,180.0,13.745448112487793,,,,,,,,,,,,,,,
13312,180.0,13.496265411376953,-0.019933298171599743,6.606579780578613,0.007567182,0.2,19.083429545443504,0.0447265625,60,-5.853124084323644,3e-05,0.0006752610206604004,,,,,
14336,180.0,13.40159797668457,,,,,,,,,,,,,,,
15360,180.0,13.684670448303223,-0.015336299332557247,27.6391658782959,0.007544758,0.2,19.468777312105523,0.044970703125,70,-5.84566647335887,3e-05,0.002220630645751953,,,,,
16384,180.0,12.637072563171387,,,,,,,,,,,,,,,
17408,180.0,12.90395736694336,-0.015164223303872858,4.28532600402832,0.0065679476,0.2,18.585027563478796,0.03876953125,80,-5.83992186114192,3e-05,-7.87973403930664e-05,,,,,
18432,180.0,13.816505432128906,,,,,,,,,,,,,,,
19456,180.0,14.145482063293457,-0.018601402826971026,1.7761051654815674,0.007306761,0.2,17.481045060185714,0.0384765625,90,-5.835921385139227,3e-05,0.0002707839012145996,,,,,
20480,180.0,13.560388565063477,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,468,10,180.0,43,13.4518264
21504,180.0,14.135860443115234,-0.01845655741963128,3.160829544067383,0.005778946,0.2,15.541726562479743,0.022900390625,100,-5.829025059938431,3e-05,0.0005173087120056152,,,,,
22528,180.0,14.27453899383545,,,,,,,,,,,,,,,
23552,180.0,13.658191680908203,-0.01574679751356598,4.636801242828369,0.006403916,0.2,17.55768672369886,0.047119140625,110,-5.820712588727474,3e-05,0.0004394650459289551,,,,,
24576,180.0,14.490283966064453,,,,,,,,,,,,,,,
25600,180.0,13.158730506896973,-0.015879819694237084,1.1828866004943848,0.006699698,0.2,16.281073401850882,0.031884765625,120,-5.814152404665947,3e-05,0.0005550384521484375,,,,,
26624,180.0,14.597099304199219,,,,,,,,,,,,,,,
27648,180.0,14.394039154052734,-0.01798734866824816,1.7526490688323975,0.007322833,0.2,17.092488172999584,0.03701171875,130,-5.807749612629413,3e-05,0.0006493926048278809,,,,,
28672,180.0,14.49962043762207,,,,,,,,,,,,,,,
29696,180.0,14.84764289855957,-0.019159087039588484,14.980920791625977,0.0080737695,0.2,20.60346339121461,0.048095703125,140,-5.796353165060282,3e-05,0.0007415413856506348,,,,,
30720,180.0,13.005870819091797,,,,,,,,,,,,,,,
31744,180.0,13.841629028320312,-0.019007774536657963,12.78831958770752,0.007139398,0.2,19.164465094695334,0.03701171875,150,-5.781910479813814,3e-05,0.0008506178855895996,,,,,
32768,180.0,13.949951171875,,,,,,,,,,,,,,,
33792,180.0,14.544112205505371,-0.01555201300943736,0.674735426902771,0.0058668936,0.2,18.68203174903756,0.0216796875,160,-5.7703139640390875,3e-05,0.0012157559394836426,,,,,
34816,180.0,15.739733695983887,,,,,,,,,,,,,,,
35840,180.0,14.407780647277832,-0.017661861823580694,5.12637186050415,0.0069413367,0.2,17.65435560311307,0.02998046875,170,-5.759713514149189,3e-05,0.001240372657775879,,,,,
36864,180.0,13.609193801879883,,,,,,,,,,,,,,,
