time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/explained_variance,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean
2048,28.92674446105957,80.0,,,,,,,,,,,,,,,
4096,29.563508987426758,80.0,,,,,,,,,,,,,,,
6144,31.989944458007812,80.0,-5.856755888462066,0.0003,0.03919575,75.28242219388486,0.0007842183113098145,0.3,63.20976257324219,0.263525390625,10,-0.04009041717981745,,,,,
8192,31.502357482910156,80.0,,,,,,,,,,,,,,,
10240,29.47171401977539,80.0,-5.825538085028529,0.0003,0.039362967,69.10047686100006,-2.384185791015625e-07,0.3,76.09806060791016,0.234423828125,20,-0.0382713953658822,,,,,
12288,30.925207138061523,80.0,,,,,,,,,,,,,,,
14336,31.306499481201172,80.0,-5.812051839381456,0.0003,0.03306197,82.00562339872121,0.0,0.3,98.67530822753906,0.1713134765625,30,-0.029836316556429664,,,,,
16384,29.12676239013672,80.0,,,,,,,,,,,,,,,
18432,32.3465576171875,80.0,-5.799462731927633,0.0003,0.032913446,67.84471172988415,-1.1920928955078125e-07,0.3,37.70552062988281,0.18818359375,40,-0.032659729475744824,,,,,
20480,30.739639282226562,80.0,,,,,,,,,,,,,,,
22528,30.186344146728516,80.0,-5.791448041796684,0.0003,0.029965585,78.67641271799803,0.0,0.3,52.547603607177734,0.1845458984375,50,-0.030663651142822344,,,,,
24576,32.48174285888672,80.0,,,,,,,,,,,,,,,
26624,28.112262725830078,80.0,-5.7667310867458585,0.0003,0.032311343,71.39937664121389,0.0,0.3,82.58423614501953,0.2029052734375,60,-0.03291454574427917,,,,,
28672,30.34699249267578,80.0,,,,,,,,,,,,,,,
30720,26.290128707885742,80.0,-5.762951534613967,0.0003,0.037133053,75.28819871097804,0.0,0.3,48.227561950683594,0.2132568359375,70,-0.03404335123814235,,,,,
