eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/clip_fraction,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps
51.11934280395508,1024,36.0,,,,,,,,,,,,,,,
55.378456115722656,2048,36.0,,,,,,,,,,,,,,,
47.9277458190918,3072,36.0,0.35107421875,0.0003,89576.203125,-1.1682510375976562e-05,10,-6.396801917254924,0.2,179821.45908203124,-0.05007981562521309,0.044777315,,,,,
52.37901306152344,4096,36.0,,,,,,,,,,,,,,,
47.2191162109375,5120,36.0,0.3716796875,0.0003,86057.671875,0.0,20,-6.396443858742714,0.2,183397.26884765626,-0.046339807461481544,0.042151183,,,,,
46.87263488769531,6144,36.0,,,,,,,,,,,,,,,
46.44011688232422,7168,36.0,0.378369140625,0.0003,86521.7890625,1.1920928955078125e-07,30,-6.396121367812157,0.2,178524.77177734376,-0.04645713844220154,0.042947605,,,,,
47.99860382080078,8192,36.0,,,,,,,,,,,,,,,
50.19019317626953,9216,36.0,0.376220703125,0.0003,81467.703125,0.0,40,-6.395839461684227,0.2,185620.49418945314,-0.044283705414272845,0.044518154,,,,,
52.196189880371094,10240,36.0,,,,,,,,,,,,,,,
52.797149658203125,11264,36.0,0.341259765625,0.0003,87375.375,1.1920928955078125e-07,50,-6.395571918785572,0.2,174161.62744140625,-0.04932569827069529,0.03960055,,,,,
53.075965881347656,12288,36.0,,,,,,,,,,,,,,,
53.731056213378906,13312,36.0,0.37607421875,0.0003,104311.5625,0.0,60,-6.39521928280592,0.2,184792.05952148436,-0.05100575012038462,0.046735007,,,,,
50.753318786621094,14336,36.0,,,,,,,,,,,,,,,
54.546043395996094,15360,36.0,0.358154296875,0.0003,87807.1328125,0.0,70,-6.394857881963253,0.2,189647.7357421875,-0.04346896384959109,0.043585345,,,,,
52.848350524902344,16384,36.0,,,,,,,,,,,,,,,
50.67713165283203,17408,36.0,0.363134765625,0.0003,75587.078125,0.0,80,-6.394515977799893,0.2,163993.1169189453,-0.04837768661091104,0.04127747,,,,,
47.71577453613281,18432,36.0,,,,,,,,,,,,,,,
49.64970779418945,19456,36.0,0.35400390625,0.0003,88608.1640625,0.0,90,-6.3940982401371,0.2,172623.36845703126,-0.04438359251362271,0.04150447,,,,,
48.23871612548828,20480,36.0,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,1225.8786277299998,38,10,36.0,531
53.38890075683594,21504,36.0,0.3634765625,0.0003,85958.3125,0.0,100,-6.393635822832584,0.2,182911.9259765625,-0.046186937112361194,0.040481612,,,,,
49.3616943359375,22528,36.0,,,,,,,,,,,,,,,
55.89405822753906,23552,36.0,0.353955078125,0.0003,89048.4296875,1.1920928955078125e-07,110,-6.393283294141293,0.2,179660.1508300781,-0.04606789239333011,0.039896563,,,,,
58.081817626953125,24576,36.0,,,,,,,,,,,,,,,
