eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/clip_range,train/loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean
29.014408111572266,1024,80.0,,,,,,,,,,,,,,,
29.099605560302734,2048,80.0,,,,,,,,,,,,,,,
31.996450424194336,3072,80.0,0.2,20.329910278320312,-5.884267592430115,0.0007725954055786133,32.503594043850896,0.007373046875,10,0.006643248,3e-05,-0.016369479329296156,,,,,
25.683876037597656,4096,80.0,,,,,,,,,,,,,,,
31.366920471191406,5120,80.0,0.2,23.566057205200195,-5.877517165243626,-5.125999450683594e-06,30.24551344960928,0.0,20,0.001572302,3e-05,-0.010269689412234584,,,,,
30.665096282958984,6144,80.0,,,,,,,,,,,,,,,
30.320148468017578,7168,80.0,0.2,24.81973648071289,-5.875178713351488,-6.389617919921875e-05,32.65801797658205,0.00078125,30,0.0020250215,3e-05,-0.011042059244937263,,,,,
32.63123321533203,8192,80.0,,,,,,,,,,,,,,,
27.722545623779297,9216,80.0,0.2,36.05570983886719,-5.871393394470215,0.0009838342666625977,30.879327197372913,0.021923828125,40,0.0061507365,3e-05,-0.016641156512559974,,,,,
30.815025329589844,10240,80.0,,,,,,,,,,,,,,,
24.31305503845215,11264,80.0,0.2,25.275110244750977,-5.862596642225981,-7.581710815429688e-05,35.55616934299469,0.032470703125,50,0.007600951,3e-05,-0.02258749214161071,,,,,
30.518835067749023,12288,80.0,,,,,,,,,,,,,,,
27.173362731933594,13312,80.0,0.2,21.454042434692383,-5.8542560786008835,0.0,35.56244234740734,0.028466796875,60,0.0063665393,3e-05,-0.020747515344555722,,,,,
30.53036880493164,14336,80.0,,,,,,,,,,,,,,,
31.359909057617188,15360,80.0,0.2,21.249866485595703,-5.84892105460167,1.1920928955078125e-07,37.11563264727592,0.02275390625,70,0.0059122154,3e-05,-0.02053446711797733,,,,,
28.53663444519043,16384,80.0,,,,,,,,,,,,,,,
