time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
54272,180.0,30.53093719482422,0.2,34.773773193359375,0.44111328125,0.0003,0.037487682,0.0,45.379161936044696,-0.03826321757078403,260,-4.532772378623486,,,,,
55296,180.0,26.176513671875,,,,,,,,,,,,,,,
56320,180.0,32.369873046875,0.2,22.343290328979492,0.4740234375,0.0003,0.03598122,5.960464477539063e-08,51.185417634248736,-0.0402896826111828,270,-4.4733053997159,,,,,
57344,180.0,28.59397315979004,,,,,,,,,,,,,,,
58368,180.0,31.449085235595703,0.2,19.709476470947266,0.468994140625,0.0003,0.031904902,0.0,48.056823891401294,-0.03906660421635024,280,-4.439943614602089,,,,,
59392,180.0,30.950153350830078,,,,,,,,,,,,,,,
60416,180.0,33.85371398925781,0.2,21.444055557250977,0.45029296875,0.0003,0.031361267,0.0,48.789048445224765,-0.03626637397246668,290,-4.370912283658981,,,,,
61440,180.0,33.43156433105469,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,187,30,328,26.681076530000006,180.0
62464,180.0,36.07594680786133,0.2,16.951435089111328,0.4625,0.0003,0.03203935,0.0,46.71637602448463,-0.046721364898257886,300,-4.2562276989221575,,,,,
63488,180.0,38.82990646362305,,,,,,,,,,,,,,,
64512,180.0,39.98772430419922,0.2,33.294525146484375,0.490380859375,0.0003,0.03717876,5.960464477539063e-08,58.77818108797074,-0.04280459351430181,310,-4.1530159071087835,,,,,
65536,180.0,38.043792724609375,,,,,,,,,,,,,,,
66560,180.0,44.32905960083008,0.2,18.25937271118164,0.477099609375,0.0003,0.03868939,0.0,53.16469607949257,-0.0480585129611427,320,-4.0617196872830394,,,,,
67584,180.0,41.85818862915039,,,,,,,,,,,,,,,
68608,180.0,43.24144744873047,0.2,23.146268844604492,0.57119140625,0.0003,0.03306774,-1.1920928955078125e-07,48.038920164108276,-0.04091833357815631,330,-3.9775726087391376,,,,,
69632,180.0,44.26518249511719,,,,,,,,,,,,,,,
70656,180.0,49.81629943847656,0.2,23.140779495239258,0.559765625,0.0003,0.033898294,-1.1920928955078125e-07,57.37950108647347,-0.045030707071418874,340,-3.913667994737625,,,,,
71680,180.0,44.33659362792969,,,,,,,,,,,,,,,
72704,180.0,47.58921432495117,0.2,22.309398651123047,0.541162109375,0.0003,0.03251011,5.960464477539063e-08,57.21735845804214,-0.045641980454092845,350,-3.854889550060034,,,,,
73728,180.0,45.057518005371094,,,,,,,,,,,,,,,
74752,180.0,52.81874084472656,0.2,24.78943634033203,0.563623046875,0.0003,0.030258307,0.0,52.888442969322206,-0.04404230146028567,360,-3.7883807897567747,,,,,
75776,180.0,49.05308532714844,,,,,,,,,,,,,,,
76800,180.0,53.679588317871094,0.2,20.87315559387207,0.624755859375,0.0003,0.0386211,-1.1920928955078125e-07,49.675181466341016,-0.044980199469137006,370,-3.6745188631117345,,,,,
77824,180.0,52.01299285888672,,,,,,,,,,,,,,,
78848,180.0,58.413047790527344,0.2,31.27034568786621,0.63857421875,0.0003,0.03364531,0.0,52.770789510011674,-0.04412459910672624,380,-3.663486847281456,,,,,
79872,180.0,59.20989990234375,,,,,,,,,,,,,,,
80896,180.0,57.26604461669922,0.2,29.701597213745117,0.5513671875,0.0003,0.031063983,0.0,45.1294217646122,-0.045452375008608215,390,-3.628290220350027,,,,,
81920,180.0,59.77172088623047,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,249,40,328,48.44656818999999,180.0
82944,180.0,65.50241088867188,0.2,21.877952575683594,0.628515625,0.0003,0.040390663,0.0,52.184457623958586,-0.04914003086742014,400,-3.508545683324337,,,,,
83968,180.0,63.89876937866211,,,,,,,,,,,,,,,
84992,180.0,64.14635467529297,0.2,23.61171531677246,0.575048828125,0.0003,0.03145743,5.960464477539063e-08,56.53488139510155,-0.04436015646788292,410,-3.518918390572071,,,,,
86016,180.0,58.93697738647461,,,,,,,,,,,,,,,
87040,180.0,64.65648651123047,0.2,44.1517219543457,0.6318359375,0.0003,0.03353884,-1.1920928955078125e-07,55.758829683065414,-0.043226543866330756,420,-3.4353090077638626,,,,,
88064,180.0,65.03265380859375,,,,,,,,,,,,,,,
89088,180.0,60.48345184326172,0.2,18.489030838012695,0.555419921875,0.0003,0.041060098,0.0,46.208878743648526,-0.04763363332604058,430,-3.4055928878486155,,,,,
90112,180.0,63.55233383178711,,,,,,,,,,,,,,,
91136,180.0,62.66936492919922,0.2,19.00399398803711,0.51123046875,0.0003,0.023213208,0.0,47.2307956635952,-0.0440539112460101,440,-3.425398367643356,,,,,
92160,180.0,62.38320541381836,,,,,,,,,,,,,,,
93184,180.0,67.71794128417969,0.2,22.56647300720215,0.589501953125,0.0003,0.038579583,0.0,50.96375549435616,-0.04867301310587209,450,-3.3375187568366527,,,,,
94208,180.0,66.5158920288086,,,,,,,,,,,,,,,
95232,180.0,70.6878662109375,0.2,23.256103515625,0.594189453125,0.0003,0.036425084,0.0,49.579384696483615,-0.0472370970150223,460,-3.292613526433706,,,,,
96256,180.0,64.96248626708984,,,,,,,,,,,,,,,
97280,180.0,70.08665466308594,0.2,18.72353744506836,0.55654296875,0.0003,0.030212572,0.0,49.544503742456435,-0.04163049122726079,470,-3.2929963774979116,,,,,
98304,180.0,70.86982727050781,,,,,,,,,,,,,,,
99328,180.0,69.31640625,0.2,14.66641902923584,0.52177734375,0.0003,0.031184398,0.0,41.77426455020905,-0.04783260305703152,480,-3.2560893461108207,,,,,
100352,180.0,71.03456115722656,,,,,,,,,,,,,,,
101376,180.0,70.92005157470703,0.2,22.607715606689453,0.569873046875,0.0003,0.024037696,0.0,48.71463028788567,-0.04114898299158085,490,-3.2375713802874087,,,,,
102400,180.0,70.62720489501953,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,312,50,328,65.87670664000001,180.0
103424,180.0,76.06779479980469,0.2,31.330116271972656,0.58359375,0.0003,0.04027512,0.0,50.82830861210823,-0.04382114364707377,500,-3.188355302065611,,,,,
104448,180.0,68.77938842773438,,,,,,,,,,,,,,,
105472,180.0,70.0626449584961,0.2,22.586999893188477,0.624365234375,0.0003,0.032489203,-1.1920928955078125e-07,53.55314167737961,-0.04180090888694395,510,-3.203888662159443,,,,,
106496,180.0,70.9765625,,,,,,,,,,,,,,,
107520,180.0,71.69012451171875,0.2,19.01641082763672,0.499365234375,0.0003,0.02359161,0.0,41.2117803812027,-0.04637800842756405,520,-3.2526281632483007,,,,,
108544,180.0,69.28541564941406,,,,,,,,,,,,,,,
109568,180.0,71.84613800048828,0.2,19.64054298400879,0.616259765625,0.0003,0.031550504,0.0,54.06969167590141,-0.04430419263953809,530,-3.2103702329099177,,,,,
110592,180.0,71.44548034667969,,,,,,,,,,,,,,,
111616,180.0,75.37334442138672,0.2,18.41273307800293,0.56806640625,0.0003,0.028925184,0.0,46.29123113751412,-0.04400886132207234,540,-3.2092974714934828,,,,,
112640,180.0,73.48455810546875,,,,,,,,,,,,,,,
113664,180.0,79.77458953857422,0.2,21.413087844848633,0.650732421875,0.0003,0.034491967,0.0,46.95944627523422,-0.04447318133024965,550,-3.1142281018197537,,,,,
114688,180.0,77.0865478515625,,,,,,,,,,,,,,,
115712,180.0,76.61136627197266,0.2,12.880093574523926,0.36552734375,0.0003,0.021115711,5.960464477539063e-08,50.545936179161075,-0.04608799329726025,560,-3.188557840883732,,,,,
116736,180.0,80.96402740478516,,,,,,,,,,,,,,,
117760,180.0,77.76200866699219,0.2,26.154321670532227,0.44794921875,0.0003,0.02031586,-1.1920928955078125e-07,49.98295539021492,-0.03848690441809595,570,-3.1904294803738593,,,,,
118784,180.0,79.71337890625,,,,,,,,,,,,,,,
119808,180.0,79.74430847167969,0.2,17.069826126098633,0.462548828125,0.0003,0.024488445,5.960464477539063e-08,49.52111298441887,-0.037798712984658776,580,-3.1700338646769524,,,,,
120832,180.0,76.97914123535156,,,,,,,,,,,,,,,
121856,180.0,76.79287719726562,0.2,23.63090705871582,0.461279296875,0.0003,0.020973448,0.0,45.87328132390976,-0.043385413172654805,590,-3.146850048750639,,,,,
122880,180.0,76.0093994140625,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,374,60,328,76.82090635,180.0
123904,180.0,81.82113647460938,0.2,23.901487350463867,0.484716796875,0.0003,0.023562238,-1.1920928955078125e-07,52.07356235980988,-0.03843885568348924,600,-3.1345623485744,,,,,
124928,180.0,78.1898193359375,,,,,,,,,,,,,,,
125952,180.0,79.5618896484375,0.2,24.199325561523438,0.643408203125,0.0003,0.03366188,0.0,50.40935286283493,-0.04432788467674982,610,-3.0612749800086023,,,,,
126976,180.0,80.39550018310547,,,,,,,,,,,,,,,
128000,180.0,82.06904602050781,0.2,24.794864654541016,0.563330078125,0.0003,0.025263913,0.0,49.86720213294029,-0.04274124009243678,620,-3.078072953224182,,,,,
129024,180.0,79.62403869628906,,,,,,,,,,,,,,,
130048,180.0,79.73336791992188,0.2,20.894025802612305,0.489990234375,0.0003,0.026288267,0.0,43.306174874305725,-0.040332731639500706,630,-3.0892810322344304,,,,,
131072,180.0,78.50318145751953,,,,,,,,,,,,,,,
132096,180.0,78.13627624511719,0.2,29.648950576782227,0.649609375,0.0003,0.03283183,0.0,50.86516787409782,-0.0430782677809475,640,-3.055193342268467,,,,,
133120,180.0,80.6568603515625,,,,,,,,,,,,,,,
134144,180.0,81.01728820800781,0.2,18.054664611816406,0.532080078125,0.0003,0.022539657,-1.1920928955078125e-07,45.580335915088654,-0.03983413731039036,650,-3.0876887045800685,,,,,
135168,180.0,79.927734375,,,,,,,,,,,,,,,
136192,180.0,84.02784729003906,0.2,26.15800666809082,0.579736328125,0.0003,0.033739723,0.0,45.68694503903389,-0.046673046387149954,660,-3.03607625067234,,,,,
137216,180.0,81.86470794677734,,,,,,,,,,,,,,,
138240,180.0,77.61168670654297,0.2,25.11396598815918,0.613623046875,0.0003,0.038176045,-1.1920928955078125e-07,48.751092445850375,-0.04720608890493168,670,-2.998038740456104,,,,,
139264,180.0,78.76284790039062,,,,,,,,,,,,,,,
140288,180.0,78.96099853515625,0.2,22.069486618041992,0.69228515625,0.0003,0.03148073,-1.1920928955078125e-07,45.36622450351715,-0.04113599152478855,680,-2.9958378307521345,,,,,
141312,180.0,79.25495910644531,,,,,,,,,,,,,,,
142336,180.0,78.85467529296875,0.2,25.344219207763672,0.56669921875,0.0003,0.029791586,0.0,42.854011511802675,-0.04340301405463833,690,-3.024420053511858,,,,,
143360,180.0,84.97686004638672,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,436,70,328,81.75995424999999,180.0
144384,180.0,82.17610168457031,0.2,28.539884567260742,0.465966796875,0.0003,0.018986074,5.960464477539063e-08,47.59937059879303,-0.040094654497806914,700,-3.059165892004967,,,,,
145408,180.0,80.57772827148438,,,,,,,,,,,,,,,
