eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean
27.0,54272,37.080299377441406,0.2,44.10779201388359,-0.027231519020278937,260,-5.4638119608163835,0.017644132,0.0003,19.960857391357422,0.2427734375,-1.1920928955078125e-07,,,,,
27.0,55296,38.3896484375,,,,,,,,,,,,,,,
27.0,56320,37.509552001953125,0.2,39.69465730190277,-0.03346328317420557,270,-5.4726453140378,0.019014541,0.0003,26.855119705200195,0.2822265625,0.0,,,,,
27.0,57344,40.96636962890625,,,,,,,,,,,,,,,
27.0,58368,42.545291900634766,0.2,38.309949946403506,-0.03047529751638649,280,-5.432651850581169,0.018306043,0.0003,16.157995223999023,0.27763671875,0.0,,,,,
27.0,59392,40.872371673583984,,,,,,,,,,,,,,,
27.0,60416,41.80537414550781,0.2,42.580847185850146,-0.029049743553332518,290,-5.421656550467015,0.016401384,0.0003,21.71950340270996,0.265673828125,0.0,,,,,
27.0,61440,41.72056579589844,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,30,40.33680838,196,312,27.0
27.0,62464,38.457977294921875,0.2,40.27937806248665,-0.034764420622377654,300,-5.399528574943543,0.020274628,0.0003,23.669864654541016,0.2861328125,0.0,,,,,
27.0,63488,47.300865173339844,,,,,,,,,,,,,,,
27.0,64512,40.02404022216797,0.2,44.43210303783417,-0.03326568318807403,310,-5.35318076312542,0.019038394,0.0003,20.303634643554688,0.293603515625,0.0,,,,,
27.0,65536,39.45679473876953,,,,,,,,,,,,,,,
27.0,66560,43.95122528076172,0.2,40.973094028234485,-0.028865992630744585,320,-5.330386658012867,0.018252367,0.0003,16.072349548339844,0.219482421875,0.0,,,,,
27.0,67584,46.15271759033203,,,,,,,,,,,,,,,
27.0,68608,42.08319854736328,0.2,35.27951339483261,-0.030056432643323205,330,-5.294690570235252,0.018640555,0.0003,19.2868595123291,0.26796875,0.0,,,,,
27.0,69632,39.708160400390625,,,,,,,,,,,,,,,
27.0,70656,46.22395324707031,0.2,43.52987959980965,-0.03414954476320418,340,-5.2621551439166065,0.016648201,0.0003,23.3876895904541,0.27802734375,0.0,,,,,
27.0,71680,35.277923583984375,,,,,,,,,,,,,,,
27.0,72704,44.399654388427734,0.2,41.50298511981964,-0.031927416964026636,350,-5.221400709450245,0.017531894,0.0003,21.78849983215332,0.273193359375,0.0,,,,,
27.0,73728,42.347267150878906,,,,,,,,,,,,,,,
27.0,74752,43.43300247192383,0.2,43.23679759502411,-0.03388375069625908,360,-5.170079773664474,0.019822871,0.0003,16.28586769104004,0.300244140625,0.0,,,,,
27.0,75776,47.874664306640625,,,,,,,,,,,,,,,
27.0,76800,37.03890609741211,0.2,42.56661648154259,-0.03432307324401336,370,-5.151572702825069,0.019638762,0.0003,20.213687896728516,0.29892578125,1.1920928955078125e-07,,,,,
27.0,77824,39.361305236816406,,,,,,,,,,,,,,,
27.0,78848,45.62874984741211,0.2,35.99743430018425,-0.02805451456370065,380,-5.076079112291336,0.018564338,0.0003,13.717650413513184,0.263720703125,0.0,,,,,
27.0,79872,45.01982498168945,,,,,,,,,,,,,,,
27.0,80896,41.276519775390625,0.2,39.929929482936856,-0.03329840410442557,390,-4.997301092743873,0.019325854,0.0003,17.275997161865234,0.291455078125,1.1920928955078125e-07,,,,,
27.0,81920,46.24074172973633,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,40,43.305113340000005,262,312,27.0
27.0,82944,47.90608596801758,0.2,36.04756283760071,-0.026449812430655584,400,-4.962694390118122,0.016652351,0.0003,20.202558517456055,0.251416015625,0.0,,,,,
27.0,83968,42.44664764404297,,,,,,,,,,,,,,,
27.0,84992,43.51151657104492,0.2,37.99267601370811,-0.02402007108030375,410,-4.938281673192978,0.019446163,0.0003,19.104217529296875,0.22783203125,0.0,,,,,
27.0,86016,41.60409164428711,,,,,,,,,,,,,,,
27.0,87040,45.631893157958984,0.2,39.13057082891464,-0.02638017740828218,420,-4.902797915041447,0.018010773,0.0003,17.996225357055664,0.237255859375,0.0,,,,,
27.0,88064,41.43471145629883,,,,,,,,,,,,,,,
27.0,89088,49.09023666381836,0.2,34.7733532845974,-0.0254188187624095,430,-4.907134284079075,0.017882578,0.0003,21.345876693725586,0.2478515625,-1.1920928955078125e-07,,,,,
27.0,90112,43.07657241821289,,,,,,,,,,,,,,,
27.0,91136,44.71058654785156,0.2,35.7326039493084,-0.026072816815576515,440,-4.924750588834286,0.018716052,0.0003,11.781002044677734,0.256689453125,0.0,,,,,
27.0,92160,45.0682373046875,,,,,,,,,,,,,,,
27.0,93184,43.09797286987305,0.2,38.14798980951309,-0.028130436416540762,450,-4.904262261092663,0.019194257,0.0003,19.028873443603516,0.255078125,0.0,,,,,
27.0,94208,48.753353118896484,,,,,,,,,,,,,,,
27.0,95232,47.24091339111328,0.2,35.78242894411087,-0.029947150019870604,460,-4.835967618227005,0.018079732,0.0003,14.62441349029541,0.258349609375,0.0,,,,,
27.0,96256,49.546592712402344,,,,,,,,,,,,,,,
27.0,97280,45.545921325683594,0.2,35.83308309912682,-0.024726154764357487,470,-4.774750621616841,0.01764094,0.0003,17.40846061706543,0.24111328125,0.0,,,,,
27.0,98304,43.23575973510742,,,,,,,,,,,,,,,
27.0,99328,43.48371887207031,0.2,35.02597630023956,-0.028346273861825467,480,-4.793992230296135,0.020795226,0.0003,14.74454116821289,0.276904296875,0.0,,,,,
27.0,100352,41.580684661865234,,,,,,,,,,,,,,,
27.0,101376,43.44111633300781,0.2,34.84999209046364,-0.027740231741336174,490,-4.765074129402637,0.018704582,0.0003,17.3938045501709,0.234716796875,0.0,,,,,
27.0,102400,48.22248840332031,,,,,,,,,,,,,,,
,102400,,,,,,,,,,,,50,46.32650898000001,327,312,27.0
27.0,103424,47.23006057739258,0.2,37.346444588899615,-0.02579489045892842,500,-4.770281285047531,0.01744745,0.0003,16.914392471313477,0.245849609375,-1.1920928955078125e-07,,,,,
27.0,104448,50.72501754760742,,,,,,,,,,,,,,,
27.0,105472,44.371036529541016,0.2,35.45211650729179,-0.030706481901870575,510,-4.743370118737221,0.020086762,0.0003,11.530619621276855,0.307177734375,0.0,,,,,
27.0,106496,43.58201599121094,,,,,,,,,,,,,,,
27.0,107520,43.09857940673828,0.2,34.6145655810833,-0.026272095905733296,520,-4.736065472662449,0.018267525,0.0003,18.1273250579834,0.23876953125,0.0,,,,,
27.0,108544,43.69947814941406,,,,,,,,,,,,,,,
27.0,109568,41.210723876953125,0.2,36.776852989196776,-0.02412181092076935,530,-4.718799731135368,0.017538864,0.0003,16.685985565185547,0.257275390625,-1.1920928955078125e-07,,,,,
27.0,110592,45.84355545043945,,,,,,,,,,,,,,,
27.0,111616,41.92775344848633,0.2,35.2023223221302,-0.027022876412956975,540,-4.669711066782474,0.018965943,0.0003,17.00088882446289,0.26787109375,-1.1920928955078125e-07,,,,,
27.0,112640,45.71232223510742,,,,,,,,,,,,,,,
27.0,113664,46.15785598754883,0.2,42.43084784150123,-0.027391958152293228,550,-4.609973448514938,0.017252818,0.0003,22.23281478881836,0.2509765625,0.0,,,,,
27.0,114688,48.62580108642578,,,,,,,,,,,,,,,
27.0,115712,49.49229431152344,0.2,34.34603386521339,-0.023025945648259948,560,-4.576471303403378,0.017812574,0.0003,19.325044631958008,0.231298828125,0.0,,,,,
27.0,116736,45.15485382080078,,,,,,,,,,,,,,,
27.0,117760,47.14228057861328,0.2,35.897735613584516,-0.027030584460590035,570,-4.529358360171318,0.016347846,0.0003,15.975218772888184,0.260107421875,-1.1920928955078125e-07,,,,,
27.0,118784,50.75967788696289,,,,,,,,,,,,,,,
27.0,119808,44.67605972290039,0.2,32.23521661162376,-0.023492129206715617,580,-4.500019213557243,0.018996429,0.0003,13.223919868469238,0.257177734375,1.1920928955078125e-07,,,,,
27.0,120832,50.55281066894531,,,,,,,,,,,,,,,
27.0,121856,47.40040969848633,0.2,36.75652329921722,-0.024396887318289373,590,-4.458869290351868,0.017164405,0.0003,19.781665802001953,0.230029296875,-1.1920928955078125e-07,,,,,
27.0,122880,54.657989501953125,,,,,,,,,,,,,,,
,122880,,,,,,,,,,,,60,49.059485720000005,392,313,27.0
27.0,123904,47.508827209472656,0.2,36.85406869649887,-0.020381953608011826,600,-4.456337259709835,0.01761064,0.0003,17.394500732421875,0.194775390625,0.0,,,,,
27.0,124928,50.88990783691406,,,,,,,,,,,,,,,
27.0,125952,47.310752868652344,0.2,36.702877312898636,-0.026816449762554838,610,-4.474045084416867,0.018854422,0.0003,27.077600479125977,0.267041015625,0.0,,,,,
27.0,126976,49.848876953125,,,,,,,,,,,,,,,
27.0,128000,53.13106155395508,0.2,31.95319519042969,-0.02398154523107223,620,-4.4413919925689695,0.018180154,0.0003,13.934745788574219,0.257080078125,0.0,,,,,
27.0,129024,49.448455810546875,,,,,,,,,,,,,,,
27.0,130048,48.184104919433594,0.2,28.531182134151457,-0.022177951446792576,630,-4.370684176683426,0.016388476,0.0003,14.937637329101562,0.236962890625,5.960464477539063e-08,,,,,
27.0,131072,49.42142105102539,,,,,,,,,,,,,,,
27.0,132096,52.15657043457031,0.2,31.362899655103682,-0.0263468626755639,640,-4.341273422539234,0.018102363,0.0003,16.79075813293457,0.25380859375,5.960464477539063e-08,,,,,
27.0,133120,45.231651306152344,,,,,,,,,,,,,,,
27.0,134144,51.961769104003906,0.2,30.270394957065584,-0.02222467347601196,650,-4.3125049188733104,0.016478185,0.0003,14.094156265258789,0.225830078125,0.0,,,,,
27.0,135168,42.34142303466797,,,,,,,,,,,,,,,
27.0,136192,52.2535400390625,0.2,35.7224820792675,-0.02025328250892926,660,-4.3023641347885135,0.017039336,0.0003,17.65717887878418,0.224755859375,0.0,,,,,
27.0,137216,46.353248596191406,,,,,,,,,,,,,,,
27.0,138240,53.032073974609375,0.2,35.97951397895813,-0.02795802196196746,670,-4.2846432596445085,0.0211204,0.0003,17.30912208557129,0.257373046875,0.0,,,,,
27.0,139264,46.53253173828125,,,,,,,,,,,,,,,
27.0,140288,49.05705261230469,0.2,33.16855736076832,-0.02787785982945934,680,-4.231502503156662,0.018596351,0.0003,14.335532188415527,0.27421875,0.0,,,,,
27.0,141312,47.944644927978516,,,,,,,,,,,,,,,
27.0,142336,51.271240234375,0.2,28.85914321243763,-0.02320700878772186,690,-4.192614251375199,0.017880298,0.0003,14.009086608886719,0.23935546875,0.0,,,,,
27.0,143360,52.04232406616211,,,,,,,,,,,,,,,
,143360,,,,,,,,,,,,70,48.566309249999996,456,313,27.0
27.0,144384,46.841339111328125,0.2,33.34816941022873,-0.022441091782820877,700,-4.184339538216591,0.01829964,0.0003,18.893674850463867,0.224072265625,-1.1920928955078125e-07,,,,,
27.0,145408,53.25412368774414,,,,,,,,,,,,,,,
27.0,146432,56.13374328613281,0.2,32.16168886423111,-0.021158320548420307,710,-4.147841708362103,0.014925418,0.0003,21.452585220336914,0.20908203125,0.0,,,,,
27.0,147456,54.304351806640625,,,,,,,,,,,,,,,
27.0,148480,49.40766143798828,0.2,29.480871453881264,-0.02628777747740969,720,-4.136819966137409,0.016910367,0.0003,14.384613990783691,0.26923828125,0.0,,,,,
27.0,149504,49.011436462402344,,,,,,,,,,,,,,,
27.0,150528,57.18084716796875,0.2,28.726791340112687,-0.01966674080467783,730,-4.118888635933399,0.018498845,0.0003,13.580060005187988,0.206005859375,5.960464477539063e-08,,,,,
27.0,151552,53.32527542114258,,,,,,,,,,,,,,,
27.0,152576,50.520179748535156,0.2,32.15029604434967,-0.023332683471380733,740,-4.0871445164084435,0.016475637,0.0003,16.078235626220703,0.234814453125,1.1920928955078125e-07,,,,,
27.0,153600,50.27155303955078,,,,,,,,,,,,,,,
27.0,154624,50.485191345214844,0.2,29.89211212992668,-0.018351893380167895,750,-4.076128540933132,0.01581587,0.0003,12.829778671264648,0.18671875,0.0,,,,,
27.0,155648,48.08546447753906,,,,,,,,,,,,,,,
27.0,156672,50.017791748046875,0.2,27.140214490890504,-0.019273252796847374,760,-4.063289426267147,0.018145788,0.0003,11.455795288085938,0.206298828125,5.960464477539063e-08,,,,,
27.0,157696,52.388694763183594,,,,,,,,,,,,,,,
27.0,158720,53.354209899902344,0.2,32.436753797531125,-0.021436171844834463,770,-4.055186358094216,0.016649045,0.0003,16.620019912719727,0.2111328125,0.0,,,,,
27.0,159744,49.07434844970703,,,,,,,,,,,,,,,
27.0,160768,52.86174011230469,0.2,28.381199842691423,-0.024963051715167238,780,-4.047710713744164,0.018034033,0.0003,16.336326599121094,0.24853515625,0.0,,,,,
27.0,161792,51.02655029296875,,,,,,,,,,,,,,,
27.0,162816,47.65831756591797,0.2,28.656400594115258,-0.020342725158843677,790,-4.037251715362072,0.01646038,0.0003,15.711960792541504,0.225439453125,0.0,,,,,
27.0,163840,49.852725982666016,,,,,,,,,,,,,,,
,163840,,,,,,,,,,,,80,49.787967849999994,522,313,27.0
27.0,164864,51.70163345336914,0.2,26.058348944783212,-0.021452913957182317,800,-4.04572823047638,0.017951323,0.0003,10.684781074523926,0.21220703125,0.0,,,,,
27.0,165888,47.374000549316406,,,,,,,,,,,,,,,
27.0,166912,50.16680145263672,0.2,28.44873226881027,-0.02044832243191195,810,-4.066814416646958,0.016819425,0.0003,15.863134384155273,0.207763671875,5.960464477539063e-08,,,,,
27.0,167936,50.57830810546875,,,,,,,,,,,,,,,
27.0,168960,53.222251892089844,0.2,26.698083460330963,-0.021846695138083305,820,-4.042708121240139,0.016908374,0.0003,17.512500762939453,0.24521484375,0.0,,,,,
27.0,169984,53.41460418701172,,,,,,,,,,,,,,,
27.0,171008,52.68331527709961,0.2,27.15612685382366,-0.02293704769690521,830,-4.025600036978721,0.01940964,0.0003,11.366235733032227,0.237353515625,0.0,,,,,
