time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
1024,15.540682792663574,12.0,,,,,,,,,,,,,,,
2048,17.673463821411133,12.0,,,,,,,,,,,,,,,
3072,17.298824310302734,12.0,0.0003,31.644744640588762,0.2,-3.9055878579616548,0.04076533,-0.047407393279718234,10,0.364599609375,15.481172561645508,0.029538452625274658,,,,,
4096,14.875022888183594,12.0,,,,,,,,,,,,,,,
5120,14.96106243133545,12.0,0.0003,27.138965502381325,0.2,-3.8993972279131413,0.042103052,-0.04436669257702306,20,0.381103515625,17.328548431396484,0.07258099317550659,,,,,
6144,15.244368553161621,12.0,,,,,,,,,,,,,,,
7168,12.752589225769043,12.0,0.0003,28.408650869131087,0.2,-3.893066255748272,0.037019994,-0.04366933580022305,30,0.33359375,13.562405586242676,0.10169458389282227,,,,,
8192,14.973115921020508,12.0,,,,,,,,,,,,,,,
9216,16.222126007080078,12.0,0.0003,27.20639927983284,0.2,-3.8843995556235313,0.046247017,-0.0493761741759954,40,0.38671875,11.696001052856445,0.08795541524887085,,,,,
10240,14.141300201416016,12.0,,,,,,,,,,,,,,,
11264,15.843814849853516,12.0,0.0003,26.87112889587879,0.2,-3.8709989823400974,0.040950462,-0.05036755081964657,50,0.39228515625,10.413272857666016,0.0988951325416565,,,,,
12288,15.266632080078125,12.0,,,,,,,,,,,,,,,
13312,13.990589141845703,12.0,0.0003,23.730533185601235,0.2,-3.8540256582200527,0.044669226,-0.04688363309833221,60,0.388720703125,9.581241607666016,0.1451491117477417,,,,,
14336,16.409753799438477,12.0,,,,,,,,,,,,,,,
15360,14.807952880859375,12.0,0.0003,25.101567775011063,0.2,-3.8466824255883694,0.043295905,-0.042478822605335156,70,0.34267578125,9.868885040283203,0.15508991479873657,,,,,
16384,16.315242767333984,12.0,,,,,,,,,,,,,,,
17408,14.004838943481445,12.0,0.0003,26.16207563281059,0.2,-3.829777778685093,0.04808608,-0.0439256116253091,80,0.3490234375,15.16312313079834,0.11410403251647949,,,,,
18432,12.9796142578125,12.0,,,,,,,,,,,,,,,
19456,15.377731323242188,12.0,0.0003,24.790511149168015,0.2,-3.8095201186835768,0.0425715,-0.037873614745331,90,0.330078125,10.491002082824707,0.1163129210472107,,,,,
20480,15.727736473083496,12.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,14.59341056,12.0,10,18,1121
