eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed
12.386068344116211,1024,180.0,,,,,,,,,,,,,,,
15.839612007141113,2048,180.0,,,,,,,,,,,,,,,
13.836274147033691,3072,180.0,0.41796875,0.025043486,28.546220779418945,10,0.0003,41.75936309993267,0.2,-5.86553740799427,0.0018315911293029785,-0.04203064760731649,,,,,
13.729456901550293,4096,180.0,,,,,,,,,,,,,,,
13.951364517211914,5120,180.0,0.362841796875,0.023612542,28.916170120239258,20,0.0003,39.031205627322194,0.2,-5.84071499556303,0.0,-0.035380164267553485,,,,,
13.48106575012207,6144,180.0,,,,,,,,,,,,,,,
14.079923629760742,7168,180.0,0.323046875,0.022519134,36.027015686035156,30,0.0003,38.70947574675083,0.2,-5.818726870417595,0.0,-0.034404896817432015,,,,,
13.89332103729248,8192,180.0,,,,,,,,,,,,,,,
14.353108406066895,9216,180.0,0.3880859375,0.023599476,11.296294212341309,40,0.0003,37.323800054192546,0.2,-5.792379601299762,0.0,-0.0366499154115445,,,,,
14.316245079040527,10240,180.0,,,,,,,,,,,,,,,
12.835193634033203,11264,180.0,0.35048828125,0.023350341,29.74217987060547,50,0.0003,40.76256634294987,0.2,-5.766637207567692,0.0,-0.03814331188768847,,,,,
13.743376731872559,12288,180.0,,,,,,,,,,,,,,,
13.883783340454102,13312,180.0,0.3431640625,0.022735063,15.840668678283691,60,0.0003,38.47728768289089,0.2,-5.7563041806221005,0.0,-0.037872018435882636,,,,,
12.642032623291016,14336,180.0,,,,,,,,,,,,,,,
14.813977241516113,15360,180.0,0.36357421875,0.022860594,13.435647964477539,70,0.0003,38.45062859356403,0.2,-5.739856214821339,0.0,-0.03581786508439109,,,,,
15.276232719421387,16384,180.0,,,,,,,,,,,,,,,
