time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_range,train/std,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,train/value_loss,train/clip_fraction
999840,19965.424256,1200.0,,,,,,-1.1920928955078125e-07,-221.2842941761017,4860,0.2,0.7711611986160278,0.050843872,-0.022099005125346592,0.0003,19.147193908691406,35.09052386879921,0.42724609375
1001040,19974.518163,1200.0,,,,,,,,,,,,,,,,
1001200,,,1200.0,16376.26809371,3220,60,95,,,,,,,,,,,
1002240,19956.646308,1200.0,,,,,,0.0,-221.1139184951782,4870,0.2,0.7706025242805481,0.05013509,-0.02569814808375668,0.0003,24.815303802490234,38.16876456439495,0.42626953125
1003248,,,1200.0,16405.84269513,3249,60,96,,,,,,,,,,,
1003440,19972.065177,1200.0,,,,,,0.0,-220.95722970962524,4880,0.2,0.7702680826187134,0.05196827,-0.023473371761792806,0.0003,22.79189109802246,44.23536303043365,0.40390625
1004640,19918.492247,1200.0,,,,,,,,,,,,,,,,
1005296,,,1200.0,16469.549388789997,3286,60,97,,,,,,,,,,,
1005840,19889.073902,1200.0,,,,,,0.0,-220.8016610622406,4890,0.2,0.769795835018158,0.049154542,-0.020234365129726938,0.0003,23.349855422973633,48.45625183582306,0.427490234375
1007040,19959.454175,1200.0,,,,,,,,,,,,,,,,
1007344,,,1200.0,16532.17865983,3325,60,98,,,,,,,,,,,
1008240,19980.969368,1200.0,,,,,,0.0,-220.6243465900421,4900,0.2,0.7693189978599548,0.04431828,-0.020472784008597956,0.0003,25.00819969177246,44.263517862558366,0.38837890625
1009392,,,1200.0,16563.683473529996,3352,60,99,,,,,,,,,,,
1009440,20053.249949,1200.0,,,,,,1.1920928955078125e-07,-220.58364787101746,4910,0.2,0.7697538733482361,0.046849806,-0.023271640844177453,0.0003,17.73978042602539,38.60564962029457,0.3947265625
1010640,20006.372969,1200.0,,,,,,,,,,,,,,,,
1011440,,,1200.0,16627.49124119,3390,60,100,,,,,,,,,,,
1011840,20063.658434,1200.0,,,,,,0.0,-220.5028054714203,4920,0.2,0.7696660161018372,0.050607592,-0.02625432498170994,0.0003,19.176715850830078,43.95731714963913,0.4203125
1013040,20005.853562,1200.0,,,,,,,,,,,,,,,,
1013488,,,1200.0,16688.307593780002,3426,60,101,,,,,,,,,,,
1014240,19930.075116,1200.0,,,,,,0.0,-220.36299514770508,4930,0.2,0.7693130373954773,0.055558823,-0.02653056976851076,0.0003,19.210920333862305,37.39338618516922,0.390283203125
1015440,19978.830577,1200.0,,,,,,,,,,,,,,,,
1015536,,,1200.0,16746.51779061,3464,60,102,,,,,,,,,,,
1016640,19942.578325,1200.0,,,,,,0.0,-220.3038655757904,4940,0.2,0.7694314122200012,0.05126022,-0.022476184929837474,0.0003,14.501964569091797,38.078120863437654,0.437646484375
1017584,,,1200.0,16775.33643901,3491,60,103,,,,,,,,,,,
1017840,19917.243371,1200.0,,,,,,-1.1920928955078125e-07,-220.19084544181823,4950,0.2,0.7689084410667419,0.05004123,-0.022740140560199507,0.0003,21.84309196472168,43.02394848465919,0.414013671875
1019040,19939.225896,1200.0,,,,,,,,,,,,,,,,
1019632,,,1200.0,16834.57790114,3531,60,104,,,,,,,,,,,
1020240,19917.272235,1200.0,,,,,,0.0,-220.06094093322753,4960,0.2,0.7685582041740417,0.043606944,-0.024990957338013688,0.0003,25.373489379882812,46.22762452960014,0.395751953125
1021440,19889.811394,1200.0,,,,,,,,,,,,,,,,
1021680,,,1200.0,16892.049571710002,3569,60,105,,,,,,,,,,,
1022640,19891.7035,1200.0,,,,,,0.0,-219.87234563827514,4970,0.2,0.7675713896751404,0.049472444,-0.025692143707419745,0.0003,28.436737060546875,50.22169799208641,0.4181640625
1023728,,,1200.0,16917.40042821,3597,60,106,,,,,,,,,,,
1023840,19896.033382,1200.0,,,,,,0.0,-219.81041040420533,4980,0.2,0.7680054306983948,0.055359267,-0.02658629523066338,0.0003,17.642635345458984,38.65130515694618,0.462060546875
1025040,19899.489526,1200.0,,,,,,,,,,,,,,,,
1025776,,,1200.0,16971.01104389,3633,60,107,,,,,,,,,,,
1026240,19816.909246,1200.0,,,,,,0.0,-219.7675057888031,4990,0.2,0.7673652768135071,0.04274757,-0.021245750607340595,0.0003,27.974340438842773,48.48528047204017,0.42041015625
1027440,19863.880832,1200.0,,,,,,,,,,,,,,,,
1027824,,,1200.0,17026.93020836,3669,60,108,,,,,,,,,,,
1028640,19757.608551,1200.0,,,,,,0.0,-219.5909360408783,5000,0.2,0.7667269110679626,0.045654535,-0.026992698266985825,0.0003,13.7859525680542,39.82868470549583,0.380712890625
1029840,19774.382587,1200.0,,,,,,,,,,,,,,,,
1029872,,,1200.0,17080.26319941,3727,59,109,,,,,,,,,,,
1031040,19767.122258,1200.0,,,,,,0.0,-219.31096844673158,5010,0.2,0.7652294635772705,0.04368831,-0.02117724423878826,0.0003,21.431591033935547,52.74414277076721,0.377197265625
1031920,,,1200.0,17108.04913911,3755,59,110,,,,,,,,,,,
1032240,19695.18308,1200.0,,,,,,0.0,-218.9910562992096,5020,0.2,0.7645136713981628,0.056695774,-0.02695080411795061,0.0003,21.848485946655273,44.170145297050475,0.4341796875
1033440,19678.957524,1200.0,,,,,,,,,,,,,,,,
1033968,,,1200.0,17158.238421809998,3790,59,111,,,,,,,,,,,
1034640,19726.697761,1200.0,,,,,,0.0,-218.76591510772704,5030,0.2,0.7637776136398315,0.052313093,-0.02432373845076654,0.0003,25.195138931274414,44.920634877681735,0.43935546875
1035840,19729.136287,1200.0,,,,,,,,,,,,,,,,
1036016,,,1200.0,17210.12288282,3827,59,112,,,,,,,,,,,
1037040,19653.975624,1200.0,,,,,,0.0,-218.67473754882812,5040,0.2,0.763458251953125,0.05075095,-0.024081319067045116,0.0003,19.522777557373047,51.35565842390061,0.410400390625
1038064,,,1200.0,17237.04271591,3875,59,113,,,,,,,,,,,
1038240,19530.452527,1200.0,,,,,,5.960464477539063e-08,-218.56191143989562,5050,0.2,0.7629193067550659,0.048162825,-0.023393505890271626,0.0003,31.920650482177734,60.488746881484985,0.363525390625
1039440,19550.408285,1200.0,,,,,,,,,,,,,,,,
1040112,,,1200.0,17291.44379771,3912,59,114,,,,,,,,,,,
