eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed
27.0,42.589759826660156,19456,0.449755859375,0.2,0.0003,0.068390146,-0.06532336635282263,66.35897624492645,28.352672576904297,90,-5.550230558216572,0.0,,,,,
27.0,40.429412841796875,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,40.41537901,524,27.0,10,39
27.0,37.79939270019531,21504,0.4443359375,0.2,0.0003,0.0675444,-0.0632946418481879,61.0038457274437,29.791128158569336,100,-5.516526629030705,0.0,,,,,
27.0,37.750816345214844,22528,,,,,,,,,,,,,,,
27.0,42.18624496459961,23552,0.507763671875,0.2,0.0003,0.08170302,-0.07310719841043464,60.57622573375702,25.39961051940918,110,-5.445231933891773,0.0,,,,,
27.0,39.22955322265625,24576,,,,,,,,,,,,,,,
27.0,39.04087829589844,25600,0.47666015625,0.2,0.0003,0.072015695,-0.06092086494900286,55.18711361289024,24.43754768371582,120,-5.425894908607006,0.0,,,,,
27.0,41.34032440185547,26624,,,,,,,,,,,,,,,
27.0,42.799224853515625,27648,0.437548828125,0.2,0.0003,0.06387362,-0.05383697674260475,56.12044705748558,29.823486328125,130,-5.395847028493881,0.0,,,,,
27.0,43.513065338134766,28672,,,,,,,,,,,,,,,
27.0,40.86309814453125,29696,0.472314453125,0.2,0.0003,0.068904,-0.062015044433064756,52.57738311290741,31.69071388244629,140,-5.347114534676075,0.0,,,,,
27.0,39.23194122314453,30720,,,,,,,,,,,,,,,
27.0,40.811988830566406,31744,0.4642578125,0.2,0.0003,0.069123335,-0.06210767777520232,51.73442034125328,26.348966598510742,150,-5.320309330523014,0.0,,,,,
27.0,39.32843780517578,32768,,,,,,,,,,,,,,,
27.0,42.126163482666016,33792,0.4669921875,0.2,0.0003,0.068111226,-0.0542527764569968,53.00003910660744,26.69770622253418,160,-5.297528034448623,0.0,,,,,
27.0,40.93605041503906,34816,,,,,,,,,,,,,,,
27.0,39.61701583862305,35840,0.472607421875,0.2,0.0003,0.07058817,-0.054525835515232754,52.184233736991885,24.809715270996094,170,-5.230379773676395,0.0,,,,,
27.0,36.69505310058594,36864,,,,,,,,,,,,,,,
27.0,37.50205993652344,37888,0.480615234375,0.2,0.0003,0.06576633,-0.06277130999369547,49.88342930078507,25.041099548339844,180,-5.21977174282074,-1.1920928955078125e-07,,,,,
27.0,41.753684997558594,38912,,,,,,,,,,,,,,,
27.0,39.97279739379883,39936,0.497998046875,0.2,0.0003,0.06880926,-0.05730944401584566,42.79382057189942,21.802330017089844,190,-5.174696239829063,1.1920928955078125e-07,,,,,
27.0,40.01100158691406,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,39.76169008,519,27.0,20,78
27.0,42.10004806518555,41984,0.46015625,0.2,0.0003,0.0685152,-0.05419534498360008,42.7679404437542,18.88512420654297,200,-5.1209130987524984,0.0,,,,,
27.0,41.35165786743164,43008,,,,,,,,,,,,,,,
27.0,39.98719787597656,44032,0.458203125,0.2,0.0003,0.065708324,-0.0570484735595528,43.646300262212755,17.081085205078125,210,-5.068539224565029,0.0,,,,,
27.0,45.41630172729492,45056,,,,,,,,,,,,,,,
27.0,42.70360565185547,46080,0.449951171875,0.2,0.0003,0.065717064,-0.060133142909035084,41.704837346076964,16.852144241333008,220,-5.045812618732453,0.0,,,,,
