eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed
6.293301582336426,500,50.0,,,,,,,,,,,,,,,
3.9611291885375977,1000,50.0,,,,,,,,,,,,,,,
6.875914573669434,1500,50.0,,,,,,,,,,,,,,,
5.697680473327637,2000,50.0,,,,,,,,,,,,,,,
5.014723777770996,2500,50.0,0.0003,-0.024462720900191925,0.010692142,-6.449222564697266e-05,12802.156243896485,0.2,6674.60107421875,-5.293175522983074,10,0.096533203125,,,,,
5.862396240234375,3000,50.0,,,,,,,,,,,,,,,
4.396003723144531,3500,50.0,,,,,,,,,,,,,,,
5.665857315063477,4000,50.0,,,,,,,,,,,,,,,
5.9501752853393555,4500,50.0,0.0003,-0.023303530174598564,0.010583534,-1.1920928955078125e-07,13421.000485229491,0.2,6665.61767578125,-5.282405726611614,20,0.08271484375,,,,,
3.8928160667419434,5000,50.0,,,,,,,,,,,,,,,
5.229729652404785,5500,50.0,,,,,,,,,,,,,,,
4.669295310974121,6000,50.0,,,,,,,,,,,,,,,
4.766018867492676,6500,50.0,0.0003,-0.026901244361943098,0.011633328,-1.1920928955078125e-07,13300.670916748048,0.2,6881.517578125,-5.27165017426014,30,0.114111328125,,,,,
5.86483097076416,7000,50.0,,,,,,,,,,,,,,,
4.212512493133545,7500,50.0,,,,,,,,,,,,,,,
6.8753767013549805,8000,50.0,,,,,,,,,,,,,,,
5.586610794067383,8500,50.0,0.0003,-0.022534491238184275,0.011562592,-1.1920928955078125e-07,12786.470007324218,0.2,5635.29052734375,-5.257553151249885,40,0.10166015625,,,,,
4.301206588745117,9000,50.0,,,,,,,,,,,,,,,
3.9178857803344727,9500,50.0,,,,,,,,,,,,,,,
5.733734607696533,10000,50.0,,,,,,,,,,,,,,,
6.081356048583984,10500,50.0,0.0003,-0.027874993675504812,0.011902601,0.0,13421.895706176758,0.2,6082.2802734375,-5.237267437577247,50,0.12587890625,,,,,
4.9518256187438965,11000,50.0,,,,,,,,,,,,,,,
4.445591926574707,11500,50.0,,,,,,,,,,,,,,,
7.091528415679932,12000,50.0,,,,,,,,,,,,,,,
4.770644664764404,12500,50.0,0.0003,-0.022752150001178962,0.010821983,5.960464477539063e-08,13353.577374267577,0.2,7244.51220703125,-5.224514299631119,60,0.0953125,,,,,
6.9044508934021,13000,50.0,,,,,,,,,,,,,,,
4.6564178466796875,13500,50.0,,,,,,,,,,,,,,,
6.3837385177612305,14000,50.0,,,,,,,,,,,,,,,
5.5540666580200195,14500,50.0,0.0003,-0.024539753430872224,0.011791578,5.960464477539063e-08,12931.140200805665,0.2,6588.8642578125,-5.212880697846413,70,0.11181640625,,,,,
4.275813102722168,15000,50.0,,,,,,,,,,,,,,,
5.978424072265625,15500,50.0,,,,,,,,,,,,,,,
5.495023727416992,16000,50.0,,,,,,,,,,,,,,,
4.089067459106445,16500,50.0,0.0003,-0.023690113138582092,0.012278276,0.0,13854.225048828124,0.2,5581.0908203125,-5.200770519673824,80,0.1033203125,,,,,
7.006925106048584,17000,50.0,,,,,,,,,,,,,,,
4.144958019256592,17500,50.0,,,,,,,,,,,,,,,
6.52642822265625,18000,50.0,,,,,,,,,,,,,,,
5.847146511077881,18500,50.0,0.0003,-0.028193119025672786,0.012803362,5.960464477539063e-08,12790.84903869629,0.2,7545.8662109375,-5.180095291137695,90,0.132177734375,,,,,
5.374966144561768,19000,50.0,,,,,,,,,,,,,,,
4.523629188537598,19500,50.0,,,,,,,,,,,,,,,
4.711361885070801,20000,50.0,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,10,599,50.0,483.8814635899999,34
4.260978698730469,20500,50.0,0.0003,-0.0301512870049919,0.013385916,-1.1920928955078125e-07,13525.543334960938,0.2,4931.09521484375,-5.160138766467571,100,0.149267578125,,,,,
6.377782821655273,21000,50.0,,,,,,,,,,,,,,,
3.8581886291503906,21500,50.0,,,,,,,,,,,,,,,
5.18909215927124,22000,50.0,,,,,,,,,,,,,,,
7.582490921020508,22500,50.0,,,,,,,,,,,,,,,
5.920838832855225,23000,50.0,0.0003,-0.028110269415628865,0.01335478,-1.1920928955078125e-07,11371.236683654784,0.2,4251.73779296875,-5.151013548672199,110,0.1525390625,,,,,
3.9937021732330322,23500,50.0,,,,,,,,,,,,,,,
6.094820022583008,24000,50.0,,,,,,,,,,,,,,,
4.580672740936279,24500,50.0,,,,,,,,,,,,,,,
4.786393165588379,25000,50.0,0.0003,-0.03109548895736225,0.014735345,1.7881393432617188e-07,11426.291918945313,0.2,4820.26806640625,-5.141549320518971,120,0.164794921875,,,,,
5.041376113891602,25500,50.0,,,,,,,,,,,,,,,
6.037962913513184,26000,50.0,,,,,,,,,,,,,,,
4.656254768371582,26500,50.0,,,,,,,,,,,,,,,
3.8995981216430664,27000,50.0,0.0003,-0.026229632370814215,0.014250819,-1.1920928955078125e-07,11590.084745788574,0.2,5953.87939453125,-5.127962429821491,130,0.1455078125,,,,,
4.2999114990234375,27500,50.0,,,,,,,,,,,,,,,
6.767372131347656,28000,50.0,,,,,,,,,,,,,,,
4.262086868286133,28500,50.0,,,,,,,,,,,,,,,
5.599778652191162,29000,50.0,0.0003,-0.027245968271745368,0.0138990125,-1.1920928955078125e-07,11812.930372619629,0.2,6260.10595703125,-5.094767016172409,140,0.14423828125,,,,,
5.2824249267578125,29500,50.0,,,,,,,,,,,,,,,
5.879993438720703,30000,50.0,,,,,,,,,,,,,,,
6.3308491706848145,30500,50.0,,,,,,,,,,,,,,,
6.516898155212402,31000,50.0,0.0003,-0.026966084430750926,0.01326542,5.960464477539063e-08,11669.504945373536,0.2,5670.03857421875,-5.093827956914902,150,0.1443359375,,,,,
6.260856628417969,31500,50.0,,,,,,,,,,,,,,,
5.508504390716553,32000,50.0,,,,,,,,,,,,,,,
4.739171981811523,32500,50.0,,,,,,,,,,,,,,,
4.989007949829102,33000,50.0,0.0003,-0.02467238904646365,0.012953845,1.1920928955078125e-07,13233.834643554688,0.2,5830.96728515625,-5.077734090387821,160,0.1341796875,,,,,
9.260274887084961,33500,50.0,,,,,,,,,,,,,,,
4.378643989562988,34000,50.0,,,,,,,,,,,,,,,
5.5532941818237305,34500,50.0,,,,,,,,,,,,,,,
5.699565887451172,35000,50.0,0.0003,-0.027738759484782348,0.013958834,0.0,11872.333990478515,0.2,4598.37548828125,-5.063941393792629,170,0.165478515625,,,,,
6.011991500854492,35500,50.0,,,,,,,,,,,,,,,
5.693037986755371,36000,50.0,,,,,,,,,,,,,,,
4.55930233001709,36500,50.0,,,,,,,,,,,,,,,
