time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/n_updates,train/approx_kl,train/clip_range,train/value_loss,train/learning_rate,train/explained_variance,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps
1024,80.0,33.15705871582031,,,,,,,,,,,,,,,
2048,80.0,27.01480484008789,,,,,,,,,,,,,,,
3072,80.0,28.90285873413086,-0.060575784288084834,-5.849191361665726,0.339892578125,84.16065216064453,10,0.046813972,0.3,77.33859575092792,0.0003,-0.0008065700531005859,,,,,
4096,80.0,30.4113826751709,,,,,,,,,,,,,,,
5120,80.0,27.532363891601562,-0.0518541528894275,-5.8160743191838264,0.280322265625,107.00955200195312,20,0.041626412,0.3,75.2052692592144,0.0003,0.0,,,,,
6144,80.0,28.86792755126953,,,,,,,,,,,,,,,
7168,80.0,29.190643310546875,-0.05241483617792255,-5.788311906158924,0.2876953125,37.410465240478516,30,0.047803216,0.3,82.71533382833005,0.0003,0.0,,,,,
8192,80.0,29.514963150024414,,,,,,,,,,,,,,,
9216,80.0,30.62984275817871,-0.05242745018840651,-5.745341958850622,0.288671875,128.85231018066406,40,0.04465846,0.3,74.35993285477161,0.0003,0.0,,,,,
10240,80.0,30.780017852783203,,,,,,,,,,,,,,,
11264,80.0,30.40469741821289,-0.04425636183732422,-5.72188334017992,0.24609375,99.95214080810547,50,0.040521912,0.3,70.16059374809265,0.0003,0.0,,,,,
12288,80.0,33.15863037109375,,,,,,,,,,,,,,,
13312,80.0,32.08300018310547,-0.04108578885134193,-5.715381916612387,0.21015625,112.6583023071289,60,0.03791561,0.3,69.43069235384465,0.0003,0.0,,,,,
14336,80.0,32.412208557128906,,,,,,,,,,,,,,,
15360,80.0,30.789396286010742,-0.052059300327528035,-5.686676110327244,0.234375,122.47984313964844,70,0.038468853,0.3,76.8429642111063,0.0003,1.1920928955078125e-07,,,,,
16384,80.0,29.9739933013916,,,,,,,,,,,,,,,
17408,80.0,29.581884384155273,-0.04759882655307592,-5.662630943953991,0.22421875,55.68806076049805,80,0.042712912,0.3,74.92522330284119,0.0003,0.0,,,,,
18432,80.0,32.22684097290039,,,,,,,,,,,,,,,
19456,80.0,31.621137619018555,-0.04885789175168611,-5.626204732060432,0.256005859375,64.91453552246094,90,0.04262146,0.3,75.39028024375439,0.0003,0.0,,,,,
20480,80.0,31.843608856201172,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,30.36986241,55,80.0,10,368
21504,80.0,31.8455810546875,-0.0493407846246555,-5.627559468150139,0.2640625,45.040382385253906,100,0.041811608,0.3,76.65992217063904,0.0003,0.0,,,,,
22528,80.0,30.263519287109375,,,,,,,,,,,,,,,
23552,80.0,29.171653747558594,-0.04642908828536747,-5.644870184361935,0.248193359375,86.55231475830078,110,0.038291343,0.3,80.28840684592724,0.0003,0.0,,,,,
24576,80.0,31.12286949157715,,,,,,,,,,,,,,,
25600,80.0,30.698955535888672,-0.049747056770866036,-5.635520637780428,0.264306640625,47.55107116699219,120,0.04202249,0.3,76.37187765538692,0.0003,0.0,,,,,
26624,80.0,30.375106811523438,,,,,,,,,,,,,,,
27648,80.0,29.329544067382812,-0.04888712451866013,-5.64650045260787,0.2505859375,66.08895111083984,130,0.042968363,0.3,72.01783352196216,0.0003,0.0,,,,,
28672,80.0,31.8389892578125,,,,,,,,,,,,,,,
29696,80.0,29.144874572753906,-0.04438068666495383,-5.628528195619583,0.221728515625,63.340702056884766,140,0.0417121,0.3,76.36803841292858,0.0003,0.0,,,,,
30720,80.0,33.502685546875,,,,,,,,,,,,,,,
31744,80.0,29.551864624023438,-0.05611834990850184,-5.60592590868473,0.27451171875,61.909114837646484,150,0.047909454,0.3,68.63186836838722,0.0003,0.0,,,,,
32768,80.0,32.69282531738281,,,,,,,,,,,,,,,
33792,80.0,37.07499694824219,-0.04428945851395838,-5.607316187769174,0.259130859375,53.65403366088867,160,0.041890696,0.3,69.57270122468472,0.0003,0.0,,,,,
34816,80.0,33.815792083740234,,,,,,,,,,,,,,,
35840,80.0,32.04878234863281,-0.04770713214093121,-5.564669435471297,0.2361328125,87.38848114013672,170,0.03746415,0.3,71.05790442824363,0.0003,0.0,,,,,
36864,80.0,32.54068374633789,,,,,,,,,,,,,,,
37888,80.0,30.72848892211914,-0.0398744654507027,-5.642950966209173,0.23974609375,57.22749328613281,180,0.042470876,0.3,78.83868157267571,0.0003,0.0,,,,,
38912,80.0,32.371116638183594,,,,,,,,,,,,,,,
39936,80.0,29.496204376220703,-0.04265064720384544,-5.6459792368113995,0.247607421875,107.56104278564453,190,0.040568486,0.3,81.32299833595752,0.0003,0.0,,,,,
40960,80.0,31.532604217529297,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,31.71741021999999,108,80.0,20,376
41984,80.0,29.104312896728516,-0.04302506441927108,-5.650473964959383,0.24765625,35.7714958190918,200,0.044736497,0.3,63.41023155152798,0.0003,1.7881393432617188e-07,,,,,
43008,80.0,31.788833618164062,,,,,,,,,,,,,,,
44032,80.0,26.313461303710938,-0.0433924977274728,-5.652962246537209,0.237939453125,73.75214385986328,210,0.040777843,0.3,70.05763990283012,0.0003,-1.1920928955078125e-07,,,,,
45056,80.0,29.257038116455078,,,,,,,,,,,,,,,
46080,80.0,31.688106536865234,-0.043795735351159236,-5.639117544144392,0.247412109375,90.6624755859375,220,0.04593903,0.3,72.95200773775578,0.0003,0.0,,,,,
47104,80.0,29.03311538696289,,,,,,,,,,,,,,,
48128,80.0,32.85139846801758,-0.048709651701210534,-5.622345145046711,0.258251953125,59.000003814697266,230,0.0442918,0.3,76.92508381605148,0.0003,0.0,,,,,
49152,80.0,29.96381378173828,,,,,,,,,,,,,,,
50176,80.0,29.0596981048584,-0.04975847395180608,-5.645967347174883,0.2484375,106.49176025390625,240,0.043663956,0.3,79.77703755795956,0.0003,0.0,,,,,
51200,80.0,32.366695404052734,,,,,,,,,,,,,,,
52224,80.0,30.050350189208984,-0.045723708119476215,-5.61851247549057,0.253662109375,69.65250396728516,250,0.043412257,0.3,79.42793725132942,0.0003,0.0,,,,,
53248,80.0,31.683795928955078,,,,,,,,,,,,,,,
54272,80.0,31.811634063720703,-0.042953689795103854,-5.633196038007736,0.243115234375,65.1507797241211,260,0.040311515,0.3,63.002747017145154,0.0003,-1.1920928955078125e-07,,,,,
55296,80.0,34.349365234375,,,,,,,,,,,,,,,
56320,80.0,29.79607391357422,-0.05069274156994652,-5.633821823447943,0.28447265625,59.69508743286133,270,0.049375918,0.3,69.42399426698685,0.0003,-1.1920928955078125e-07,,,,,
57344,80.0,27.56544303894043,,,,,,,,,,,,,,,
58368,80.0,35.34584426879883,-0.04124564598751022,-5.638290559500456,0.226025390625,64.81652069091797,280,0.048108533,0.3,67.21097201704978,0.0003,0.0,,,,,
59392,80.0,31.972570419311523,,,,,,,,,,,,,,,
60416,80.0,33.03678894042969,-0.04705277074244805,-5.6001970455050465,0.235546875,48.83427810668945,290,0.044233717,0.3,69.53846769630908,0.0003,1.1920928955078125e-07,,,,,
61440,80.0,31.490936279296875,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,31.26328928,162,80.0,30,378
62464,80.0,35.05914306640625,-0.03751698675696389,-5.558630982786417,0.218212890625,47.702735900878906,300,0.041408572,0.3,71.25783570706844,0.0003,0.0,,,,,
63488,80.0,30.56805419921875,,,,,,,,,,,,,,,
64512,80.0,31.63460350036621,-0.04027366737645934,-5.558470592647791,0.240673828125,78.37029266357422,310,0.040650994,0.3,78.76280779838562,0.0003,0.0,,,,,
65536,80.0,32.68977737426758,,,,,,,,,,,,,,,
66560,80.0,30.291149139404297,-0.035409059155063004,-5.584776643663645,0.229248046875,149.43653869628906,320,0.047323823,0.3,73.4051726669073,0.0003,-1.1920928955078125e-07,,,,,
67584,80.0,31.12114715576172,,,,,,,,,,,,,,,
68608,80.0,28.3749942779541,-0.04390698746356066,-5.598166777938604,0.228173828125,84.2861099243164,330,0.040519528,0.3,69.83363948166371,0.0003,0.0,,,,,
69632,80.0,33.76761245727539,,,,,,,,,,,,,,,
70656,80.0,33.92091369628906,-0.04762602692353539,-5.60434800311923,0.24951171875,95.02011108398438,340,0.04168026,0.3,74.30180548131466,0.0003,0.0,,,,,
71680,80.0,31.308752059936523,,,,,,,,,,,,,,,
72704,80.0,29.990379333496094,-0.03497589528051322,-5.644173336774111,0.1916015625,118.71118927001953,350,0.037814613,0.3,72.3775978565216,0.0003,0.0,,,,,
73728,80.0,28.75004005432129,,,,,,,,,,,,,,,
74752,80.0,30.83281707763672,-0.04079423362709349,-5.636846257001162,0.227880859375,60.35154342651367,360,0.040250793,0.3,72.65347909927368,0.0003,0.0,,,,,
75776,80.0,29.80432891845703,,,,,,,,,,,,,,,
76800,80.0,34.836273193359375,-0.04610755111716571,-5.580179326981306,0.2677734375,72.0465087890625,370,0.03798352,0.3,71.00413522422313,0.0003,1.1920928955078125e-07,,,,,
77824,80.0,28.007183074951172,,,,,,,,,,,,,,,
78848,80.0,33.49845504760742,-0.04182809102603642,-5.601308854669332,0.19453125,68.17852783203125,380,0.038044482,0.3,79.86806192398072,0.0003,0.0,,,,,
79872,80.0,31.261280059814453,,,,,,,,,,,,,,,
80896,80.0,31.94388198852539,-0.04289480897423346,-5.591302395612002,0.21298828125,122.48905181884766,390,0.036187444,0.3,72.14521599709988,0.0003,0.0,,,,,
81920,80.0,30.725317001342773,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,31.743905959999996,216,80.0,40,378
82944,80.0,32.908424377441406,-0.04322656221411307,-5.564225517213345,0.237646484375,62.678253173828125,400,0.041380122,0.3,70.3334082275629,0.0003,0.0,,,,,
83968,80.0,32.68317794799805,,,,,,,,,,,,,,,
84992,80.0,31.584972381591797,-0.04157996788053424,-5.546122793108225,0.210400390625,50.070735931396484,410,0.03985997,0.3,67.04137598276138,0.0003,0.0,,,,,
86016,80.0,33.102474212646484,,,,,,,,,,,,,,,
87040,80.0,39.33469772338867,-0.047819468715169934,-5.511308406293392,0.24521484375,56.51897048950195,420,0.043616667,0.3,72.24193573892117,0.0003,0.0,,,,,
88064,80.0,33.14696502685547,,,,,,,,,,,,,,,
89088,80.0,30.980924606323242,-0.04304591849504504,-5.514850131422281,0.246484375,55.28173065185547,430,0.04041124,0.3,68.38017236292362,0.0003,0.0,,,,,
90112,80.0,30.554615020751953,,,,,,,,,,,,,,,
91136,80.0,35.042274475097656,-0.0440416972975072,-5.504600193351507,0.231494140625,95.85891723632812,440,0.042122126,0.3,73.18622063398361,0.0003,1.7881393432617188e-07,,,,,
92160,80.0,34.32798767089844,,,,,,,,,,,,,,,
93184,80.0,25.481693267822266,-0.04571660792753392,-5.446076875180006,0.238720703125,59.10692596435547,450,0.03877615,0.3,71.0537985265255,0.0003,0.0,,,,,
94208,80.0,26.28287124633789,,,,,,,,,,,,,,,
95232,80.0,31.10369873046875,-0.037847874793078516,-5.50520995631814,0.23232421875,70.17509460449219,460,0.039200805,0.3,66.82446446716786,0.0003,0.0,,,,,
96256,80.0,31.324987411499023,,,,,,,,,,,,,,,
97280,80.0,28.857524871826172,-0.03744729618483689,-5.526880933344364,0.215087890625,45.28214645385742,470,0.03874259,0.3,68.02888126373291,0.0003,0.0,,,,,
98304,80.0,31.02732276916504,,,,,,,,,,,,,,,
99328,80.0,31.676868438720703,-0.039992329532833534,-5.494794055074453,0.207421875,53.42399597167969,480,0.040862784,0.3,68.70789859890938,0.0003,0.0,,,,,
100352,80.0,34.32775115966797,,,,,,,,,,,,,,,
101376,80.0,32.233543395996094,-0.037866222923912576,-5.465173214673996,0.217333984375,96.69862365722656,490,0.03830358,0.3,81.49236059784889,0.0003,0.0,,,,,
102400,80.0,35.196144104003906,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,32.11075622,271,80.0,50,377
103424,80.0,33.88127136230469,-0.043749719127663414,-5.432906875759363,0.26142578125,31.814706802368164,500,0.044865705,0.3,62.77352957129479,0.0003,0.0,,,,,
104448,80.0,31.596633911132812,,,,,,,,,,,,,,,
