eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/loss,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed
25.963672637939453,21.0,1024,,,,,,,,,,,,,,,
19.48554229736328,21.0,2048,,,,,,,,,,,,,,,
26.13930320739746,21.0,3072,0.0003,-5.282861605286598,-0.07027120797429234,10,0.36708984375,0.04354299,51.010785412788394,0.2,-0.0024448633193969727,25.919116973876953,,,,,
25.35668182373047,21.0,4096,,,,,,,,,,,,,,,
28.12566375732422,21.0,5120,0.0003,-5.27371726334095,-0.0560936693160329,20,0.227783203125,0.018253325,59.76053174138069,0.2,0.0,19.44436264038086,,,,,
28.500093460083008,21.0,6144,,,,,,,,,,,,,,,
24.250545501708984,21.0,7168,0.0003,-5.2658915862441065,-0.05858280177344568,30,0.28447265625,0.027429437,59.089819598197934,0.2,-1.1920928955078125e-07,21.739688873291016,,,,,
25.13314437866211,21.0,8192,,,,,,,,,,,,,,,
24.437095642089844,21.0,9216,0.0003,-5.254515625536442,-0.05540825285133906,40,0.31201171875,0.031649426,46.69912986159325,0.2,-1.1920928955078125e-07,13.171835899353027,,,,,
26.536348342895508,21.0,10240,,,,,,,,,,,,,,,
28.738922119140625,21.0,11264,0.0003,-5.233153952658176,-0.05734303407371044,50,0.295703125,0.033869117,45.87655854225159,0.2,0.0,19.92205238342285,,,,,
26.30143165588379,21.0,12288,,,,,,,,,,,,,,,
27.832054138183594,21.0,13312,0.0003,-5.215746226906776,-0.05163104577804915,60,0.285986328125,0.030336367,49.02548286318779,0.2,1.1920928955078125e-07,20.149351119995117,,,,,
26.409637451171875,21.0,14336,,,,,,,,,,,,,,,
29.08362579345703,21.0,15360,0.0003,-5.186166974902153,-0.056991524336626756,70,0.3205078125,0.032117113,41.93753410577774,0.2,0.0,15.915470123291016,,,,,
26.49551773071289,21.0,16384,,,,,,,,,,,,,,,
16.870275497436523,21.0,17408,0.0003,-5.1663754165172575,-0.054994665825506675,80,0.32646484375,0.035605192,36.876221287250516,0.2,0.0,15.712538719177246,,,,,
26.655841827392578,21.0,18432,,,,,,,,,,,,,,,
31.01721954345703,21.0,19456,0.0003,-5.15266322940588,-0.050611004774691534,90,0.297998046875,0.030953156,40.76071240901947,0.2,0.0,16.124467849731445,,,,,
25.000268936157227,21.0,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,10,25.09285739,449,21.0,45
28.195545196533203,21.0,21504,0.0003,-5.139447221159935,-0.05417699192184955,100,0.315771484375,0.03154417,36.929308080673216,0.2,0.0,17.370752334594727,,,,,
24.43220329284668,21.0,22528,,,,,,,,,,,,,,,
23.84891128540039,21.0,23552,0.0003,-5.117169445753097,-0.05345388285932131,110,0.33056640625,0.03346906,31.140123856067657,0.2,0.0,15.8917818069458,,,,,
25.667545318603516,21.0,24576,,,,,,,,,,,,,,,
24.362457275390625,21.0,25600,0.0003,-5.112005771696568,-0.05328965684748255,120,0.302783203125,0.030712496,33.96196500658989,0.2,0.0,14.358985900878906,,,,,
25.785701751708984,21.0,26624,,,,,,,,,,,,,,,
28.503740310668945,21.0,27648,0.0003,-5.103304593265056,-0.047237792843952776,130,0.33828125,0.034078237,33.166693770885466,0.2,0.0,14.95577335357666,,,,,
29.672122955322266,21.0,28672,,,,,,,,,,,,,,,
23.790660858154297,21.0,29696,0.0003,-5.064998398721218,-0.0499360739137046,140,0.34111328125,0.032090306,32.22075607180595,0.2,0.0,19.220529556274414,,,,,
25.634784698486328,21.0,30720,,,,,,,,,,,,,,,
24.663288116455078,21.0,31744,0.0003,-5.024249817430973,-0.04735646066255868,150,0.358056640625,0.032401044,28.71743248105049,0.2,0.0,14.998884201049805,,,,,
29.435821533203125,21.0,32768,,,,,,,,,,,,,,,
29.365047454833984,21.0,33792,0.0003,-5.012839305400848,-0.04890198496868834,160,0.334423828125,0.034829736,30.806541872024535,0.2,0.0,14.527055740356445,,,,,
