eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/value_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
80.0,804864,67.33283996582031,,,,,,,,,,,,,,,
80.0,806912,66.55422973632812,32.978130128979686,-0.007009210971591529,0.1,0.049169921875,1970,-4.044911327213049,20.107067108154297,3e-05,0.002287048,0.0,,,,,
80.0,808960,70.09124755859375,32.600279515981676,-0.00795421978982631,0.1,0.071630859375,1980,-4.0432548254728315,20.664318084716797,3e-05,0.002664552,0.0,,,,,
80.0,811008,72.70156860351562,30.197122453153135,-0.010708774431259371,0.1,0.101318359375,1990,-4.043782407790422,22.719388961791992,3e-05,0.0032160648,1.1920928955078125e-07,,,,,
80.0,813056,68.89924621582031,31.52357848882675,-0.00964756441389909,0.1,0.093994140625,2000,-4.043776956945658,20.258018493652344,3e-05,0.0030904054,1.1920928955078125e-07,,,,,
80.0,815104,70.1648178100586,31.44092627465725,-0.007912736290018074,0.1,0.07197265625,2010,-4.048454033583402,17.68963623046875,3e-05,0.0025647467,-1.1920928955078125e-07,,,,,
80.0,817152,70.63395690917969,32.10949185192585,-0.007555498321016785,0.1,0.057470703125,2020,-4.04335810020566,26.718217849731445,3e-05,0.0026273443,1.1920928955078125e-07,,,,,
80.0,819200,69.64700317382812,33.07986931949854,-0.009344293094181921,0.1,0.10009765625,2030,-4.037563025206327,20.65028953552246,3e-05,0.002874347,0.0,,,,,
80.0,821248,67.92127227783203,30.80995112657547,-0.009165192848740844,0.1,0.091455078125,2040,-4.026097258925438,25.560699462890625,3e-05,0.002700156,0.0,,,,,
80.0,823296,72.85041046142578,34.982510916888714,-0.007688159530516714,0.1,0.058984375,2050,-4.010128279775381,30.20379066467285,3e-05,0.0023817173,-1.1920928955078125e-07,,,,,
,823296,,,,,,,,,,,,70.4156478,80.0,31,10,643
80.0,825344,73.50135803222656,27.456846186518668,-0.00902294979459839,0.1,0.09189453125,2060,-4.002548342943191,18.089040756225586,3e-05,0.0029727211,0.0,,,,,
80.0,827392,71.61393737792969,28.229844388365745,-0.008989305977593176,0.1,0.078515625,2070,-4.003857155144215,19.988380432128906,3e-05,0.0030616308,0.0,,,,,
80.0,829440,72.49606323242188,32.79111246466637,-0.007332474512804765,0.1,0.047314453125,2080,-3.9966429993510246,23.90658187866211,3e-05,0.002357342,0.0,,,,,
80.0,831488,67.23439025878906,35.13052163720131,-0.010972983516694512,0.1,0.1306640625,2090,-3.993074307590723,29.53148078918457,3e-05,0.003413748,1.1920928955078125e-07,,,,,
80.0,833536,65.61154174804688,31.94717549532652,-0.008387624540773686,0.1,0.06689453125,2100,-3.9893166553229094,22.20957374572754,3e-05,0.0029140627,0.0,,,,,
80.0,835584,71.68196105957031,31.0354501247406,-0.008109062032599468,0.1,0.0681640625,2110,-3.988941641896963,17.381071090698242,3e-05,0.0027568077,0.0,,,,,
