eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss,train/loss,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps
180.0,13.498355865478516,1024,,,,,,,,,,,,,,,
180.0,13.00086784362793,2048,,,,,,,,,,,,,,,
180.0,12.887884140014648,3072,0.0003,10,-0.041382992809667486,0.2,0.022144664,0.393798828125,-0.0004684925079345703,19.10053918212652,-5.867618043720722,14.463823318481445,,,,,
180.0,12.285611152648926,4096,,,,,,,,,,,,,,,
180.0,14.917701721191406,5120,0.0003,20,-0.037119922093188505,0.2,0.023990769,0.382958984375,0.0,18.517819978669287,-5.845647182315588,9.56161880493164,,,,,
180.0,14.172330856323242,6144,,,,,,,,,,,,,,,
180.0,14.011880874633789,7168,0.0003,30,-0.03468324095447315,0.2,0.023139466,0.370458984375,0.0,18.221673906221987,-5.822481741011143,7.863413333892822,,,,,
180.0,14.232416152954102,8192,,,,,,,,,,,,,,,
180.0,14.458747863769531,9216,0.0003,40,-0.03691132693711552,0.2,0.023657754,0.376123046875,0.0,18.71368693970144,-5.791632097959519,12.831890106201172,,,,,
180.0,13.447488784790039,10240,,,,,,,,,,,,,,,
180.0,16.023738861083984,11264,0.0003,50,-0.03559732621506555,0.2,0.023094188,0.341650390625,0.0,17.53344962336123,-5.772023531794548,8.14441967010498,,,,,
180.0,14.740853309631348,12288,,,,,,,,,,,,,,,
180.0,14.617635726928711,13312,0.0003,60,-0.032946862283279185,0.2,0.021409512,0.346240234375,0.0,19.21524401754141,-5.759982958436012,17.226879119873047,,,,,
180.0,13.974678039550781,14336,,,,,,,,,,,,,,,
180.0,13.42939567565918,15360,0.0003,70,-0.04248998901093728,0.2,0.02394342,0.40478515625,0.0,17.657950470596553,-5.73411500453949,19.158416748046875,,,,,
180.0,14.261540412902832,16384,,,,,,,,,,,,,,,
180.0,13.853671073913574,17408,0.0003,80,-0.032596302661841034,0.2,0.023036625,0.3416015625,0.0,16.893953163176775,-5.719398939609528,9.57815170288086,,,,,
180.0,15.470069885253906,18432,,,,,,,,,,,,,,,
180.0,13.473751068115234,19456,0.0003,90,-0.03609770206458052,0.2,0.024483047,0.340625,1.1920928955078125e-07,18.033196189627052,-5.6972604967653755,15.066027641296387,,,,,
180.0,13.273630142211914,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,10,14.638983060000003,180.0,88,230
180.0,15.429153442382812,21504,0.0003,100,-0.035799738069908923,0.2,0.022165794,0.3421875,0.0,15.320654124394059,-5.697105009108782,18.149023056030273,,,,,
180.0,14.290224075317383,22528,,,,,,,,,,,,,,,
180.0,13.70376968383789,23552,0.0003,110,-0.036035191758128346,0.2,0.023248442,0.34150390625,0.0,20.144326500967146,-5.662496137619018,8.023609161376953,,,,,
180.0,15.254018783569336,24576,,,,,,,,,,,,,,,
180.0,15.301825523376465,25600,0.0003,120,-0.03384597320000467,0.2,0.021492964,0.326513671875,0.0,17.336090123280883,-5.6469694130122665,10.162613868713379,,,,,
180.0,15.230461120605469,26624,,,,,,,,,,,,,,,
180.0,14.557336807250977,27648,0.0003,130,-0.037445376726100224,0.2,0.023622893,0.36220703125,1.1920928955078125e-07,17.203273863717914,-5.588997840136289,21.719770431518555,,,,,
180.0,14.756080627441406,28672,,,,,,,,,,,,,,,
180.0,13.964105606079102,29696,0.0003,140,-0.033127083334693455,0.2,0.022442188,0.3763671875,0.0,18.07921629883349,-5.531789258867502,10.530296325683594,,,,,
180.0,15.492589950561523,30720,,,,,,,,,,,,,,,
180.0,15.895105361938477,31744,0.0003,150,-0.031151900469558312,0.2,0.021831978,0.328857421875,0.0,18.90716782286763,-5.516393833607435,13.010908126831055,,,,,
180.0,13.28067398071289,32768,,,,,,,,,,,,,,,
180.0,14.709625244140625,33792,0.0003,160,-0.02989001382193237,0.2,0.02116558,0.34013671875,0.0,19.29792016893625,-5.509991870820523,19.535097122192383,,,,,
180.0,16.528621673583984,34816,,,,,,,,,,,,,,,
180.0,16.29745864868164,35840,0.0003,170,-0.03363360414878116,0.2,0.021363687,0.34599609375,0.0,17.22566174045205,-5.471207325160504,8.153789520263672,,,,,
180.0,15.684808731079102,36864,,,,,,,,,,,,,,,
180.0,14.648626327514648,37888,0.0003,180,-0.03385235069727059,0.2,0.022725929,0.366845703125,0.0,18.45180715508759,-5.457806625962258,19.040380477905273,,,,,
180.0,14.849710464477539,38912,,,,,,,,,,,,,,,
180.0,16.769451141357422,39936,0.0003,190,-0.036916784181812545,0.2,0.0215002,0.352490234375,0.0,16.523675329983234,-5.4492371790111065,7.02669620513916,,,,,
180.0,14.94388198852539,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,20,15.369891139999998,180.0,163,250
180.0,16.929563522338867,41984,0.0003,200,-0.03275820345734246,0.2,0.021313723,0.337451171875,0.0,18.99053668603301,-5.422976371645928,22.119455337524414,,,,,
