eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/learning_rate,train/explained_variance,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/clip_range,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps
30.577857971191406,252404,50.0,,,,,,,,,,,,,,,
28.768383026123047,252904,50.0,,,,,,,,,,,,,,,
30.901260375976562,253404,50.0,,,,,,,,,,,,,,,
27.46874237060547,253904,50.0,,,,,,,,,,,,,,,
30.094459533691406,254404,50.0,0.0003,0.0,-2.3665010146796703,0.0132601475,-0.004729855072218925,0.048974609375,1240,49930.720666503905,26016.494140625,0.2,,,,,
29.431581497192383,254904,50.0,,,,,,,,,,,,,,,
30.6426944732666,255404,50.0,,,,,,,,,,,,,,,
30.617107391357422,255904,50.0,,,,,,,,,,,,,,,
29.23276710510254,256404,50.0,0.0003,0.0,-2.3558246858417986,0.014453123,-0.005517223326023668,0.064892578125,1250,52266.04420166016,25904.734375,0.2,,,,,
26.09096908569336,256904,50.0,,,,,,,,,,,,,,,
28.63593292236328,257404,50.0,,,,,,,,,,,,,,,
32.736366271972656,257904,50.0,,,,,,,,,,,,,,,
31.56121826171875,258404,50.0,0.0003,5.960464477539063e-08,-2.3616292871534825,0.014259829,-0.007786026745452546,0.079052734375,1260,55571.628198242186,26503.677734375,0.2,,,,,
30.542144775390625,258904,50.0,,,,,,,,,,,,,,,
25.709487915039062,259404,50.0,,,,,,,,,,,,,,,
28.827838897705078,259904,50.0,,,,,,,,,,,,,,,
30.555023193359375,260404,50.0,0.0003,0.0,-2.362686166167259,0.011521561,-0.01249140217259992,0.1142578125,1270,50255.24775390625,25169.939453125,0.2,,,,,
28.91982078552246,260904,50.0,,,,,,,,,,,,,,,
30.938905715942383,261404,50.0,,,,,,,,,,,,,,,
28.533985137939453,261904,50.0,,,,,,,,,,,,,,,
30.47677993774414,262404,50.0,0.0003,0.0,-2.3518364429473877,0.011932683,-0.007457083131885156,0.061083984375,1280,51920.165234375,27196.4453125,0.2,,,,,
31.662578582763672,262904,50.0,,,,,,,,,,,,,,,
29.353431701660156,263404,50.0,,,,,,,,,,,,,,,
27.941802978515625,263904,50.0,,,,,,,,,,,,,,,
30.87023162841797,264404,50.0,0.0003,-1.1920928955078125e-07,-2.3267869651317596,0.010926119,-0.005981388183136005,0.051513671875,1290,56070.490222167966,27565.28515625,0.2,,,,,
28.215312957763672,264904,50.0,,,,,,,,,,,,,,,
30.192899703979492,265404,50.0,,,,,,,,,,,,,,,
27.328292846679688,265904,50.0,,,,,,,,,,,,,,,
29.541946411132812,266404,50.0,0.0003,5.960464477539063e-08,-2.3146684929728507,0.011829253,-0.006021608007722534,0.061328125,1300,49273.602856445315,22590.275390625,0.2,,,,,
29.753164291381836,266904,50.0,,,,,,,,,,,,,,,
31.239551544189453,267404,50.0,,,,,,,,,,,,,,,
29.06743621826172,267904,50.0,,,,,,,,,,,,,,,
