eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed
13.684358596801758,1024,180.0,,,,,,,,,,,,,,,
13.032024383544922,2048,180.0,,,,,,,,,,,,,,,
14.868049621582031,3072,180.0,0.40703125,0.022870727,25.135066986083984,10,0.0003,43.07721121311188,0.2,-5.8671835854649546,-0.006357431411743164,-0.03999954277242068,,,,,
13.918569564819336,4096,180.0,,,,,,,,,,,,,,,
12.418790817260742,5120,180.0,0.3646484375,0.023155937,28.674076080322266,20,0.0003,41.50687884986401,0.2,-5.836396366357803,0.0,-0.034645276644732804,,,,,
13.932357788085938,6144,180.0,,,,,,,,,,,,,,,
12.723519325256348,7168,180.0,0.359375,0.024035122,25.61724853515625,30,0.0003,48.76315680742264,0.2,-5.817656275629997,0.0,-0.035263110698724634,,,,,
13.21143913269043,8192,180.0,,,,,,,,,,,,,,,
14.110919952392578,9216,180.0,0.3654296875,0.023566503,12.783507347106934,40,0.0003,31.22692767083645,0.2,-5.795026256144046,0.0,-0.03807634052936919,,,,,
13.247490882873535,10240,180.0,,,,,,,,,,,,,,,
15.31154727935791,11264,180.0,0.35791015625,0.023124676,26.82990264892578,50,0.0003,43.820466849207875,0.2,-5.756361973285675,0.0,-0.03316658252442721,,,,,
14.858724594116211,12288,180.0,,,,,,,,,,,,,,,
14.160076141357422,13312,180.0,0.370703125,0.024646027,19.697383880615234,60,0.0003,43.49580097198486,0.2,-5.727343751490116,-1.1920928955078125e-07,-0.038612290717719586,,,,,
13.646184921264648,14336,180.0,,,,,,,,,,,,,,,
14.184652328491211,15360,180.0,0.35576171875,0.024240578,16.216388702392578,70,0.0003,44.769159054756166,0.2,-5.724828624725342,-1.1920928955078125e-07,-0.033403939503477885,,,,,
13.46833324432373,16384,180.0,,,,,,,,,,,,,,,
16.001079559326172,17408,180.0,0.3306640625,0.02106175,11.502129554748535,80,0.0003,39.600584253668785,0.2,-5.6734804436564445,0.0,-0.03226806962920818,,,,,
14.234344482421875,18432,180.0,,,,,,,,,,,,,,,
16.215145111083984,19456,180.0,0.318359375,0.021779453,18.792190551757812,90,0.0003,42.62094592452049,0.2,-5.675094772875309,0.0,-0.032807849851087666,,,,,
14.950517654418945,20480,180.0,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,333,180.0,14.44894228,10,61
14.700950622558594,21504,180.0,0.3541015625,0.02218081,16.647737503051758,100,0.0003,43.241829454898834,0.2,-5.658935810625553,0.0,-0.036822288820985705,,,,,
15.226401329040527,22528,180.0,,,,,,,,,,,,,,,
15.826212882995605,23552,180.0,0.343212890625,0.023111016,24.075441360473633,110,0.0003,43.91518161892891,0.2,-5.6105379402637485,0.0,-0.030439750126970467,,,,,
15.412906646728516,24576,180.0,,,,,,,,,,,,,,,
14.928584098815918,25600,180.0,0.346533203125,0.022412248,23.518421173095703,120,0.0003,41.04459204673767,0.2,-5.600537784397602,1.1920928955078125e-07,-0.03944417830061866,,,,,
15.109424591064453,26624,180.0,,,,,,,,,,,,,,,
15.98796272277832,27648,180.0,0.300634765625,0.020787645,20.4403076171875,130,0.0003,43.9392736017704,0.2,-5.5826429829001425,-1.1920928955078125e-07,-0.03134608508989913,,,,,
14.987455368041992,28672,180.0,,,,,,,,,,,,,,,
14.296939849853516,29696,180.0,0.330810546875,0.021365117,21.751920700073242,140,0.0003,43.03285313844681,0.2,-5.545030225813389,-1.1920928955078125e-07,-0.032389169702946675,,,,,
15.71328067779541,30720,180.0,,,,,,,,,,,,,,,
17.163957595825195,31744,180.0,0.313232421875,0.02327546,41.533626556396484,150,0.0003,44.36990574002266,0.2,-5.516142797470093,0.0,-0.033210608080844396,,,,,
17.74717903137207,32768,180.0,,,,,,,,,,,,,,,
15.578384399414062,33792,180.0,0.3349609375,0.022922,16.986135482788086,160,0.0003,38.937326630949975,0.2,-5.490894538164139,0.0,-0.035265737048757725,,,,,
15.486771583557129,34816,180.0,,,,,,,,,,,,,,,
15.442256927490234,35840,180.0,0.3279296875,0.021328576,18.794591903686523,170,0.0003,43.55438076555729,0.2,-5.461774991452694,0.0,-0.03119780901033664,,,,,
15.842697143554688,36864,180.0,,,,,,,,,,,,,,,
15.065765380859375,37888,180.0,0.36220703125,0.021950481,31.038633346557617,180,0.0003,36.56384558081627,0.2,-5.446266531944275,-1.1920928955078125e-07,-0.035180637631856373,,,,,
14.145581245422363,38912,180.0,,,,,,,,,,,,,,,
17.24883270263672,39936,180.0,0.355517578125,0.02108914,36.950889587402344,190,0.0003,43.81395689547062,0.2,-5.422253395617008,0.0,-0.03178140962554608,,,,,
15.993112564086914,40960,180.0,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,331,180.0,15.660633929999996,20,123
17.95113754272461,41984,180.0,0.343603515625,0.020551113,15.902985572814941,200,0.0003,37.006414568424226,0.2,-5.3699059814214705,0.0,-0.03213732795411488,,,,,
16.303611755371094,43008,180.0,,,,,,,,,,,,,,,
