eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
180.0,1024,14.677994728088379,,,,,,,,,,,,,,,
180.0,2048,13.94552993774414,,,,,,,,,,,,,,,
180.0,3072,13.464408874511719,0.026741488,37.37751007080078,52.43422065377236,-5.867559961974621,0.39228515625,-0.0013228654861450195,0.2,0.0003,-0.04044573038991075,10,,,,,
180.0,4096,13.619987487792969,,,,,,,,,,,,,,,
180.0,5120,15.744954109191895,0.02539688,13.41462516784668,42.22516633272171,-5.836842492222786,0.37529296875,0.0001513361930847168,0.2,0.0003,-0.037938009739445985,20,,,,,
180.0,6144,12.359304428100586,,,,,,,,,,,,,,,
180.0,7168,13.634650230407715,0.023281012,17.054767608642578,36.75789230465889,-5.814582359790802,0.365625,6.73532485961914e-05,0.2,0.0003,-0.03447850687080063,30,,,,,
180.0,8192,14.973633766174316,,,,,,,,,,,,,,,
180.0,9216,13.562274932861328,0.020298198,19.355417251586914,44.882734906673434,-5.785736128687859,0.3255859375,5.054473876953125e-05,0.2,0.0003,-0.03331033051945269,40,,,,,
180.0,10240,14.592918395996094,,,,,,,,,,,,,,,
180.0,11264,14.892905235290527,0.023319777,17.787683486938477,42.03745172023773,-5.78239586353302,0.347509765625,0.0,0.2,0.0003,-0.03615985220094444,50,,,,,
180.0,12288,15.36485767364502,,,,,,,,,,,,,,,
180.0,13312,13.985883712768555,0.020731695,17.48936653137207,41.565536588430405,-5.763333995640278,0.3232421875,8.082389831542969e-05,0.2,0.0003,-0.033507764543173835,60,,,,,
180.0,14336,14.778722763061523,,,,,,,,,,,,,,,
180.0,15360,14.18638801574707,0.023293683,18.764476776123047,41.313247287273406,-5.725037127733231,0.343017578125,0.0,0.2,0.0003,-0.037397629239421804,70,,,,,
180.0,16384,13.676791191101074,,,,,,,,,,,,,,,
180.0,17408,16.351425170898438,0.021442836,18.168434143066406,50.14695315361023,-5.719267937541008,0.319970703125,0.00015586614608764648,0.2,0.0003,-0.03376556377625093,80,,,,,
180.0,18432,14.595675468444824,,,,,,,,,,,,,,,
180.0,19456,14.735526084899902,0.022433374,9.480256080627441,35.246393939852716,-5.706779204308987,0.361279296875,9.948015213012695e-05,0.2,0.0003,-0.035093142639379946,90,,,,,
180.0,20480,15.099821090698242,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,60,10,14.10546698,180.0,340
180.0,21504,14.387374877929688,0.023269001,25.076841354370117,39.10452561378479,-5.694408512115478,0.340771484375,6.41942024230957e-05,0.2,0.0003,-0.03809956229961244,100,,,,,
180.0,22528,14.808025360107422,,,,,,,,,,,,,,,
180.0,23552,16.09804344177246,0.024025496,13.894392013549805,37.23589579463005,-5.651327784359455,0.357861328125,0.0,0.2,0.0003,-0.036679248046129945,110,,,,,
180.0,24576,16.248897552490234,,,,,,,,,,,,,,,
180.0,25600,15.176469802856445,0.02379163,22.556072235107422,41.08534955382347,-5.650697275996208,0.3505859375,0.0,0.2,0.0003,-0.03717876359296497,120,,,,,
180.0,26624,15.710723876953125,,,,,,,,,,,,,,,
180.0,27648,14.331101417541504,0.022188168,31.856359481811523,43.62636810839176,-5.605311766266823,0.3830078125,-8.26120376586914e-05,0.2,0.0003,-0.04081702593684895,130,,,,,
180.0,28672,16.75736427307129,,,,,,,,,,,,,,,
180.0,29696,14.736175537109375,0.02250563,15.34284496307373,46.43728703260422,-5.572270278632641,0.35341796875,1.3709068298339844e-06,0.2,0.0003,-0.03470467075239867,140,,,,,
180.0,30720,14.336652755737305,,,,,,,,,,,,,,,
180.0,31744,17.035018920898438,0.023168145,9.10149097442627,39.633940786123276,-5.53573067933321,0.339501953125,0.0,0.2,0.0003,-0.03144839101296384,150,,,,,
180.0,32768,14.538790702819824,,,,,,,,,,,,,,,
180.0,33792,16.301868438720703,0.021733524,30.22105598449707,44.84815649390221,-5.51896031498909,0.3345703125,5.960464477539063e-08,0.2,0.0003,-0.033073511310794855,160,,,,,
180.0,34816,16.069019317626953,,,,,,,,,,,,,,,
180.0,35840,18.265033721923828,0.021894334,20.14407730102539,33.775743597745894,-5.490084452927112,0.327001953125,0.0,0.2,0.0003,-0.03215928610297851,170,,,,,
180.0,36864,16.914501190185547,,,,,,,,,,,,,,,
180.0,37888,15.462480545043945,0.023028556,23.700895309448242,39.38068618774414,-5.4642067581415175,0.33046875,8.732080459594727e-05,0.2,0.0003,-0.03424824899557279,180,,,,,
180.0,38912,15.38566780090332,,,,,,,,,,,,,,,
180.0,39936,16.016521453857422,0.022802195,47.806941986083984,47.053785198926924,-5.434810200333596,0.328173828125,0.0,0.2,0.0003,-0.03647948010911932,190,,,,,
180.0,40960,18.44736099243164,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,121,20,15.33373369,180.0,337
180.0,41984,14.910106658935547,0.023898033,22.309709548950195,36.562622907757756,-5.41925296485424,0.3251953125,0.0,0.2,0.0003,-0.03312358157272684,200,,,,,
180.0,43008,17.373950958251953,,,,,,,,,,,,,,,
180.0,44032,17.591796875,0.020872146,14.983555793762207,38.66250118911266,-5.384347628057003,0.3302734375,0.0,0.2,0.0003,-0.03393975801300257,210,,,,,
180.0,45056,16.433761596679688,,,,,,,,,,,,,,,
180.0,46080,19.186017990112305,0.021887545,24.491540908813477,42.52854842841625,-5.356341558694839,0.37109375,0.0,0.2,0.0003,-0.031974056725448466,220,,,,,
180.0,47104,16.78452491760254,,,,,,,,,,,,,,,
180.0,48128,16.764270782470703,0.020591164,8.821842193603516,34.652388295531274,-5.31419298350811,0.316796875,0.0,0.2,0.0003,-0.03256028809555574,230,,,,,
180.0,49152,18.94973373413086,,,,,,,,,,,,,,,
180.0,50176,16.438243865966797,0.024753705,17.8624324798584,41.21318656206131,-5.302203994989395,0.401318359375,6.318092346191406e-06,0.2,0.0003,-0.03711351684760302,240,,,,,
180.0,51200,16.575748443603516,,,,,,,,,,,,,,,
180.0,52224,16.241342544555664,0.019603956,18.388477325439453,43.24129531085491,-5.28167622089386,0.28583984375,0.0001475811004638672,0.2,0.0003,-0.02962948535059695,250,,,,,
180.0,53248,19.068634033203125,,,,,,,,,,,,,,,
180.0,54272,17.25103759765625,0.02081768,28.219276428222656,37.76561928391457,-5.241510491073131,0.323583984375,0.0,0.2,0.0003,-0.031638561717409176,260,,,,,
180.0,55296,18.74319076538086,,,,,,,,,,,,,,,
180.0,56320,17.154239654541016,0.020472044,18.26621437072754,39.71371188461781,-5.219669742882251,0.3099609375,0.0,0.2,0.0003,-0.03238867522522924,270,,,,,
180.0,57344,17.727285385131836,,,,,,,,,,,,,,,
180.0,58368,21.353328704833984,0.024019636,19.04401969909668,39.45464925765991,-5.157401640713215,0.37138671875,-1.1920928955078125e-07,0.2,0.0003,-0.0377691183675779,280,,,,,
180.0,59392,17.33064079284668,,,,,,,,,,,,,,,
180.0,60416,18.392187118530273,0.020895876,18.470596313476562,41.03617317080498,-5.13953038752079,0.31826171875,-1.1920928955078125e-07,0.2,0.0003,-0.031048327955068088,290,,,,,
180.0,61440,18.46475601196289,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,182,30,18.405687029999996,180.0,337
180.0,62464,22.93735122680664,0.019047264,23.231800079345703,44.35934196710586,-5.0942442327737805,0.282421875,0.0,0.2,0.0003,-0.028244232332508546,300,,,,,
180.0,63488,18.720367431640625,,,,,,,,,,,,,,,
180.0,64512,19.555912017822266,0.019624501,18.638370513916016,37.5805049687624,-5.068540471792221,0.306689453125,0.0,0.2,0.0003,-0.031030484095390422,310,,,,,
180.0,65536,20.659727096557617,,,,,,,,,,,,,,,
180.0,66560,17.80831527709961,0.024487922,14.24414348602295,47.29382077455521,-5.085910081863403,0.369287109375,0.0,0.2,0.0003,-0.03259658101742389,320,,,,,
180.0,67584,21.48726463317871,,,,,,,,,,,,,,,
180.0,68608,22.723506927490234,0.020787977,18.19117546081543,44.73360261321068,-5.030029599368572,0.34580078125,0.0,0.2,0.0003,-0.033796146203530955,330,,,,,
180.0,69632,18.938522338867188,,,,,,,,,,,,,,,
180.0,70656,23.421777725219727,0.021362945,19.342180252075195,41.28078759014606,-5.017211158573628,0.278173828125,1.1920928955078125e-07,0.2,0.0003,-0.023592886645928957,340,,,,,
180.0,71680,22.615047454833984,,,,,,,,,,,,,,,
180.0,72704,23.817419052124023,0.021494793,29.761417388916016,46.76313528120518,-4.935365860164166,0.34677734375,-1.1920928955078125e-07,0.2,0.0003,-0.03362337371509057,350,,,,,
180.0,73728,18.946041107177734,,,,,,,,,,,,,,,
180.0,74752,24.072681427001953,0.020789046,12.857629776000977,45.95966395735741,-4.904740230739117,0.3517578125,0.0,0.2,0.0003,-0.03154420383216348,360,,,,,
180.0,75776,22.62921905517578,,,,,,,,,,,,,,,
180.0,76800,24.274147033691406,0.019898258,25.839231491088867,45.525744426250455,-4.871111753582954,0.305029296875,0.0,0.2,0.0003,-0.029487712966511027,370,,,,,
180.0,77824,24.291854858398438,,,,,,,,,,,,,,,
180.0,78848,23.798992156982422,0.019532315,25.812488555908203,57.55841552019119,-4.8230789482593535,0.279541015625,-1.1920928955078125e-07,0.2,0.0003,-0.02385468423453858,380,,,,,
180.0,79872,24.407516479492188,,,,,,,,,,,,,,,
180.0,80896,25.95473861694336,0.021912837,16.381025314331055,40.015412086248396,-4.793353964388371,0.2865234375,1.1920928955078125e-07,0.2,0.0003,-0.026436045569425914,390,,,,,
180.0,81920,24.407299041748047,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,242,40,22.338879239999997,180.0,337
180.0,82944,27.820209503173828,0.01920649,24.961441040039062,45.146703618764874,-4.721480622887611,0.272216796875,0.0,0.2,0.0003,-0.02267863204324385,400,,,,,
180.0,83968,28.63446617126465,,,,,,,,,,,,,,,
180.0,84992,31.718833923339844,0.019275147,24.193614959716797,46.7772883862257,-4.657056900858879,0.301806640625,0.0,0.2,0.0003,-0.028127238959859822,410,,,,,
180.0,86016,29.81916046142578,,,,,,,,,,,,,,,
180.0,87040,28.770294189453125,0.01764792,19.840274810791016,45.64730768799782,-4.586813880503177,0.276416015625,5.960464477539063e-08,0.2,0.0003,-0.021116230127518065,420,,,,,
180.0,88064,26.47677993774414,,,,,,,,,,,,,,,
180.0,89088,31.282943725585938,0.018336244,33.20635986328125,51.030811136960985,-4.530710004270077,0.29970703125,0.0,0.2,0.0003,-0.02761064376536524,430,,,,,
180.0,90112,27.995586395263672,,,,,,,,,,,,,,,
180.0,91136,27.641082763671875,0.016765919,26.04291534423828,47.1883562207222,-4.487242832779884,0.23642578125,1.7881393432617188e-07,0.2,0.0003,-0.018832659875624814,440,,,,,
180.0,92160,31.225505828857422,,,,,,,,,,,,,,,
180.0,93184,31.952098846435547,0.018368237,31.504756927490234,46.63520257472992,-4.444993688166141,0.2826171875,-4.76837158203125e-07,0.2,0.0003,-0.02401996461849194,450,,,,,
180.0,94208,31.0565185546875,,,,,,,,,,,,,,,
180.0,95232,36.377113342285156,0.020755138,28.443517684936523,50.11709230542183,-4.400972653925419,0.3171875,8.159875869750977e-05,0.2,0.0003,-0.02613866598549066,460,,,,,
180.0,96256,35.46241760253906,,,,,,,,,,,,,,,
180.0,97280,31.57062530517578,0.019747905,19.068628311157227,43.11679844856262,-4.341555939614773,0.27802734375,0.0,0.2,0.0003,-0.027144627732923254,470,,,,,
180.0,98304,35.54046630859375,,,,,,,,,,,,,,,
180.0,99328,33.95768737792969,0.015683496,43.124900817871094,50.61243374347687,-4.24149586558342,0.27158203125,1.7881393432617188e-07,0.2,0.0003,-0.024265264264249707,480,,,,,
180.0,100352,34.325565338134766,,,,,,,,,,,,,,,
180.0,101376,38.658538818359375,0.016827375,29.43211555480957,49.037135815620424,-4.230804973840714,0.249658203125,0.0,0.2,0.0003,-0.021020561778277623,490,,,,,
180.0,102400,35.50830078125,,,,,,,,,,,,,,,
,102400,,,,,,,,,,,,303,50,32.43354926000001,180.0,337
180.0,103424,37.14690399169922,0.019755002,22.508859634399414,44.70784133672714,-4.1456883490085605,0.30498046875,0.0,0.2,0.0003,-0.025451517215697095,500,,,,,
180.0,104448,34.93256378173828,,,,,,,,,,,,,,,
180.0,105472,40.42770004272461,0.017578922,12.79432487487793,53.289294344186786,-4.113625317811966,0.280859375,0.0,0.2,0.0003,-0.024617197595944162,510,,,,,
180.0,106496,42.35015869140625,,,,,,,,,,,,,,,
180.0,107520,39.10039138793945,0.020088416,23.64767837524414,51.847989588975906,-4.082056124508381,0.2748046875,5.960464477539063e-08,0.2,0.0003,-0.019927981402724983,520,,,,,
180.0,108544,41.48299789428711,,,,,,,,,,,,,,,
180.0,109568,39.37700653076172,0.02000856,13.756218910217285,45.852286300063135,-4.0081887565553185,0.23740234375,0.0,0.2,0.0003,-0.022520060624810868,530,,,,,
180.0,110592,44.351295471191406,,,,,,,,,,,,,,,
180.0,111616,42.16936492919922,0.017352104,24.649269104003906,48.28477140665054,-3.939204467087984,0.2373046875,0.0,0.2,0.0003,-0.022900150188070255,540,,,,,
180.0,112640,43.40985870361328,,,,,,,,,,,,,,,
180.0,113664,43.02787399291992,0.015639909,34.740116119384766,47.028328055143355,-3.940402518212795,0.21640625,0.0,0.2,0.0003,-0.020282374968519434,550,,,,,
180.0,114688,44.471920013427734,,,,,,,,,,,,,,,
180.0,115712,47.618873596191406,0.01697231,37.18754577636719,60.09562422037125,-3.9171184726059436,0.201220703125,0.0,0.2,0.0003,-0.022837204561801626,560,,,,,
180.0,116736,47.224510192871094,,,,,,,,,,,,,,,
