eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations
180.0,1024,13.837483406066895,,,,,,,,,,,,,,,
180.0,2048,13.63321304321289,,,,,,,,,,,,,,,
180.0,3072,13.207427978515625,0.289306640625,10,0.020839732,0.2,0.0003,42.02746911644935,-5.878125463426113,-0.07170545676344772,0.002652883529663086,13.027843475341797,,,,,
180.0,4096,12.654258728027344,,,,,,,,,,,,,,,
180.0,5120,12.689447402954102,0.272509765625,20,0.020706248,0.2,0.0003,45.06038768291474,-5.871025770902634,-0.06497813334135571,0.003433823585510254,13.93451976776123,,,,,
180.0,6144,12.81930923461914,,,,,,,,,,,,,,,
180.0,7168,13.503692626953125,0.298779296875,30,0.022109346,0.2,0.0003,45.58961378633976,-5.862729749083519,-0.0633738000120502,0.0032901763916015625,27.184162139892578,,,,,
180.0,8192,13.475785255432129,,,,,,,,,,,,,,,
180.0,9216,15.771770477294922,0.292919921875,40,0.019109089,0.2,0.0003,42.30622468590737,-5.854710061848164,-0.05863687381788622,-0.004094481468200684,8.004979133605957,,,,,
180.0,10240,15.065694808959961,,,,,,,,,,,,,,,
180.0,11264,14.66800594329834,0.32646484375,50,0.021928947,0.2,0.0003,37.30864500105381,-5.849033652245998,-0.06272541610524059,-0.00787210464477539,17.699796676635742,,,,,
180.0,12288,14.59792709350586,,,,,,,,,,,,,,,
180.0,13312,13.674846649169922,0.345263671875,60,0.02295627,0.2,0.0003,42.07779877483845,-5.839470584690571,-0.05261373172834283,0.004189670085906982,33.75187301635742,,,,,
180.0,14336,14.082807540893555,,,,,,,,,,,,,,,
180.0,15360,12.369524955749512,0.325634765625,70,0.02241807,0.2,0.0003,37.70728643834591,-5.823178960382938,-0.04670797252911143,0.007777810096740723,12.967011451721191,,,,,
180.0,16384,14.16729736328125,,,,,,,,,,,,,,,
180.0,17408,14.399169921875,0.32080078125,80,0.020619785,0.2,0.0003,40.96489027142525,-5.804691331088543,-0.043001711324905045,0.0031014084815979004,21.825759887695312,,,,,
180.0,18432,14.344481468200684,,,,,,,,,,,,,,,
180.0,19456,15.258600234985352,0.33115234375,90,0.021604847,0.2,0.0003,39.1502838999033,-5.78304583877325,-0.05093805781798437,0.0023602843284606934,21.772865295410156,,,,,
180.0,20480,13.868541717529297,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,59,14.16547098,343,180.0,10
180.0,21504,14.538909912109375,0.290625,100,0.0187349,0.2,0.0003,42.54229443967343,-5.771081539988518,-0.04844637543719728,-0.00024330615997314453,15.834269523620605,,,,,
180.0,22528,15.530208587646484,,,,,,,,,,,,,,,
180.0,23552,14.228724479675293,0.3427734375,110,0.021906672,0.2,0.0003,40.57169140279293,-5.746561400592327,-0.04641029448685004,0.004574000835418701,22.710054397583008,,,,,
180.0,24576,15.541757583618164,,,,,,,,,,,,,,,
180.0,25600,13.148517608642578,0.345361328125,120,0.021049771,0.2,0.0003,35.86918123364448,-5.7112305328249935,-0.04861444769485388,0.0036887526512145996,17.1888370513916,,,,,
180.0,26624,15.241437911987305,,,,,,,,,,,,,,,
180.0,27648,16.278108596801758,0.38310546875,130,0.031100158,0.2,0.0003,37.98780105412006,-5.708785025775432,-0.03341787526878761,0.0010482072830200195,24.217069625854492,,,,,
180.0,28672,14.967876434326172,,,,,,,,,,,,,,,
180.0,29696,14.784849166870117,0.3255859375,140,0.024160707,0.2,0.0003,37.74961270391941,-5.689350455999374,-0.040672516894846925,0.003680408000946045,18.70177459716797,,,,,
180.0,30720,15.043462753295898,,,,,,,,,,,,,,,
180.0,31744,13.719901084899902,0.293505859375,150,0.02293142,0.2,0.0003,34.25144197642803,-5.656945015490055,-0.034639176196651536,-0.004388213157653809,23.676206588745117,,,,,
180.0,32768,14.107412338256836,,,,,,,,,,,,,,,
180.0,33792,15.478212356567383,0.32353515625,160,0.02162903,0.2,0.0003,42.61314914226532,-5.639515233039856,-0.03686394109827233,0.002508819103240967,28.584590911865234,,,,,
180.0,34816,16.1444034576416,,,,,,,,,,,,,,,
180.0,35840,15.192014694213867,0.32724609375,170,0.020849466,0.2,0.0003,42.128575798869136,-5.619466568529606,-0.04183591777546099,-2.0265579223632812e-06,16.512460708618164,,,,,
180.0,36864,16.630985260009766,,,,,,,,,,,,,,,
180.0,37888,16.2946834564209,0.326220703125,180,0.021776998,0.2,0.0003,45.975255659222604,-5.594496695697307,-0.03807563769369153,0.00031441450119018555,16.92319107055664,,,,,
180.0,38912,17.174163818359375,,,,,,,,,,,,,,,
180.0,39936,15.188453674316406,0.296240234375,190,0.0213496,0.2,0.0003,47.44359582066536,-5.578015355765819,-0.039071779377991334,2.1338462829589844e-05,31.558273315429688,,,,,
180.0,40960,14.264771461486816,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,120,14.818267080000004,341,180.0,20
180.0,41984,14.481730461120605,0.33193359375,200,0.022623545,0.2,0.0003,40.818569326400755,-5.54503323584795,-0.03699466929974733,3.5762786865234375e-07,7.986542224884033,,,,,
180.0,43008,14.856754302978516,,,,,,,,,,,,,,,
180.0,44032,16.72538185119629,0.253857421875,210,0.017601963,0.2,0.0003,38.96529641449452,-5.535238364338875,-0.03792156976414844,0.003914952278137207,14.533317565917969,,,,,
180.0,45056,15.499417304992676,,,,,,,,,,,,,,,
