time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/n_updates,train/loss,train/clip_range,train/explained_variance,train/learning_rate,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations
1024,180.0,13.831125259399414,,,,,,,,,,,,,,,
2048,180.0,13.320497512817383,,,,,,,,,,,,,,,
3072,180.0,13.804911613464355,-5.886019708216191,0.00595703125,0.002135787,18.525539207831024,10,7.884369850158691,0.2,-0.04414331912994385,3e-05,-0.017086499671495402,,,,,
4096,180.0,13.802064895629883,,,,,,,,,,,,,,,
5120,180.0,14.835844993591309,-5.885760971158743,0.002490234375,0.0018020261,14.97531366199255,20,6.283627033233643,0.2,0.11248713731765747,3e-05,-0.0184911741540418,,,,,
6144,180.0,13.818673133850098,,,,,,,,,,,,,,,
7168,180.0,14.11624526977539,-5.885601223260164,0.0361328125,0.0042460533,12.89452267177403,30,6.157769680023193,0.2,0.29566508531570435,3e-05,-0.021107858168397796,,,,,
8192,180.0,13.20047378540039,,,,,,,,,,,,,,,
9216,180.0,13.562171936035156,-5.885393809527159,0.01494140625,0.0022190062,12.630051404610276,40,5.289064407348633,0.2,0.41801345348358154,3e-05,-0.019134053808738827,,,,,
10240,180.0,13.27341079711914,,,,,,,,,,,,,,,
11264,180.0,14.095080375671387,-5.885202222317457,0.02958984375,0.0032695022,14.78229318857193,50,12.697099685668945,0.2,0.3353402018547058,3e-05,-0.017243028241864522,,,,,
12288,180.0,13.600234985351562,,,,,,,,,,,,,,,
13312,180.0,15.152814865112305,-5.885078214854002,0.011962890625,0.002416527,13.476947677880526,60,12.36629867553711,0.2,0.31405651569366455,3e-05,-0.021248109567386562,,,,,
14336,180.0,13.14398193359375,,,,,,,,,,,,,,,
15360,180.0,12.700343132019043,-5.884910441935062,0.005859375,0.0020502582,12.322545052692295,70,6.901740074157715,0.2,0.3516514301300049,3e-05,-0.018691652980851358,,,,,
16384,180.0,14.33052921295166,,,,,,,,,,,,,,,
17408,180.0,14.19409465789795,-5.8847431384027,0.01103515625,0.002114557,12.23872133232653,80,8.098703384399414,0.2,0.3455624580383301,3e-05,-0.01738591712746711,,,,,
18432,180.0,13.151412963867188,,,,,,,,,,,,,,,
19456,180.0,13.042268753051758,-5.884631662815809,0.0115234375,0.0022349618,12.479696069285273,90,3.5012190341949463,0.2,0.3339291214942932,3e-05,-0.01829437969972787,,,,,
20480,180.0,13.154309272766113,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,13.79538218,180.0,80,253,10
21504,180.0,13.103805541992188,-5.8844549968838695,0.040771484375,0.0042853365,12.133221572637558,100,7.6336565017700195,0.2,0.3482216000556946,3e-05,-0.02078427150117932,,,,,
22528,180.0,12.378387451171875,,,,,,,,,,,,,,,
23552,180.0,12.903587341308594,-5.8842961803078655,0.0048828125,0.002206564,14.306627876311541,110,9.26776123046875,0.2,0.4802834391593933,3e-05,-0.018462722560798284,,,,,
24576,180.0,12.322538375854492,,,,,,,,,,,,,,,
25600,180.0,12.879003524780273,-5.884147635102272,0.02001953125,0.002457696,13.290660425648094,120,11.822425842285156,0.2,0.39759278297424316,3e-05,-0.015920760994777083,,,,,
26624,180.0,13.301733016967773,,,,,,,,,,,,,,,
