time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed
1024,13.781434059143066,180.0,,,,,,,,,,,,,,,
2048,13.742111206054688,180.0,,,,,,,,,,,,,,,
3072,14.202193260192871,180.0,0.389990234375,-5.864540447294712,0.0003,44.72136669754982,0.026274528,-0.0042760372161865234,16.775606155395508,-0.04000033962365705,10,0.2,,,,,
4096,15.220009803771973,180.0,,,,,,,,,,,,,,,
5120,13.428018569946289,180.0,0.371337890625,-5.83164943754673,0.0003,48.29624461233616,0.027617637,0.00404965877532959,18.39901351928711,-0.033626070858736055,20,0.2,,,,,
6144,13.515052795410156,180.0,,,,,,,,,,,,,,,
7168,15.00300407409668,180.0,0.36923828125,-5.8094086945056915,0.0003,41.72758788466454,0.024860676,0.003813803195953369,29.43856430053711,-0.035076807645964436,30,0.2,,,,,
8192,13.613719940185547,180.0,,,,,,,,,,,,,,,
9216,12.340303421020508,180.0,0.350830078125,-5.783058279752732,0.0003,47.19275025427341,0.02402855,0.003256499767303467,28.181570053100586,-0.03568063155398704,40,0.2,,,,,
10240,12.286063194274902,180.0,,,,,,,,,,,,,,,
11264,14.858827590942383,180.0,0.389404296875,-5.762056431174278,0.0003,39.3004095107317,0.026180174,0.0015366673469543457,16.931655883789062,-0.03712726534431567,50,0.2,,,,,
12288,15.32718563079834,180.0,,,,,,,,,,,,,,,
13312,15.36566162109375,180.0,0.334423828125,-5.742958354949951,0.0003,45.569769299030305,0.02279643,0.0018482804298400879,42.395023345947266,-0.03474806389058358,60,0.2,,,,,
14336,15.437519073486328,180.0,,,,,,,,,,,,,,,
15360,14.509469985961914,180.0,0.349072265625,-5.723322527110577,0.0003,36.9172051101923,0.022162693,0.0028862357139587402,13.49402141571045,-0.03669067671362427,70,0.2,,,,,
16384,14.617770195007324,180.0,,,,,,,,,,,,,,,
17408,12.888362884521484,180.0,0.338427734375,-5.686417882144451,0.0003,45.923927766084674,0.022496238,0.0025009512901306152,20.048629760742188,-0.033730593424115794,80,0.2,,,,,
18432,13.642940521240234,180.0,,,,,,,,,,,,,,,
19456,14.972198486328125,180.0,0.36259765625,-5.68326523154974,0.0003,39.45687700510025,0.02180171,0.0,10.570901870727539,-0.03791767624134081,90,0.2,,,,,
20480,15.994390487670898,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,180.0,175,10,14.00071089,116
21504,14.147988319396973,180.0,0.375390625,-5.671459728479386,0.0003,35.25103852450847,0.023405608,0.0,10.9940185546875,-0.03723847434011986,100,0.2,,,,,
22528,14.614903450012207,180.0,,,,,,,,,,,,,,,
23552,15.131661415100098,180.0,0.332421875,-5.661173877120018,0.0003,41.43783671855927,0.022378724,0.0016949772834777832,17.701417922973633,-0.0386187235781108,110,0.2,,,,,
24576,14.12420654296875,180.0,,,,,,,,,,,,,,,
25600,16.016830444335938,180.0,0.336962890625,-5.649049805104733,0.0003,37.21426059603691,0.022155441,0.0007910728454589844,23.491491317749023,-0.03492681150673889,120,0.2,,,,,
26624,17.33895492553711,180.0,,,,,,,,,,,,,,,
27648,14.079216003417969,180.0,0.31025390625,-5.626008494198322,0.0003,36.66955339610577,0.020081144,0.0007160305976867676,18.093687057495117,-0.03426342125167139,130,0.2,,,,,
28672,14.669353485107422,180.0,,,,,,,,,,,,,,,
29696,13.955595016479492,180.0,0.3583984375,-5.594443072378636,0.0003,36.6152749478817,0.023733824,0.00031363964080810547,25.649269104003906,-0.034070737137517425,140,0.2,,,,,
30720,14.564238548278809,180.0,,,,,,,,,,,,,,,
31744,14.31827163696289,180.0,0.3716796875,-5.563926744461059,0.0003,49.07634066343307,0.023845378,0.0,27.322586059570312,-0.032622195399017076,150,0.2,,,,,
32768,16.646934509277344,180.0,,,,,,,,,,,,,,,
33792,15.18484878540039,180.0,0.3982421875,-5.534852597117424,0.0003,40.21935375332832,0.025669776,0.0,24.698482513427734,-0.036905011064664,160,0.2,,,,,
34816,14.418412208557129,180.0,,,,,,,,,,,,,,,
35840,16.15427589416504,180.0,0.36044921875,-5.520798373222351,0.0003,39.679160207509995,0.023954907,1.7881393432617188e-07,15.67371654510498,-0.03708178551023593,170,0.2,,,,,
36864,16.573566436767578,180.0,,,,,,,,,,,,,,,
37888,17.84909439086914,180.0,0.3609375,-5.455600595474243,0.0003,47.89406259655952,0.021930758,0.00024330615997314453,29.60020637512207,-0.036638320330530404,180,0.2,,,,,
38912,16.45442771911621,180.0,,,,,,,,,,,,,,,
39936,16.186241149902344,180.0,0.344921875,-5.4243165910243984,0.0003,43.50769596397877,0.024742369,0.00019162893295288086,26.44134521484375,-0.032879502746800425,190,0.2,,,,,
40960,20.22620391845703,180.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,180.0,174,20,15.44544681,235
41984,17.1756534576416,180.0,0.34208984375,-5.381978951394558,0.0003,35.18266148269176,0.023578716,0.00018364191055297852,11.675764083862305,-0.033613419176253954,200,0.2,,,,,
43008,17.18729019165039,180.0,,,,,,,,,,,,,,,
44032,17.908405303955078,180.0,0.350439453125,-5.3575653955340385,0.0003,37.79215752780438,0.022118738,0.0,20.011377334594727,-0.03592510715097887,210,0.2,,,,,
45056,16.821868896484375,180.0,,,,,,,,,,,,,,,
46080,19.605297088623047,180.0,0.348583984375,-5.306403391063213,0.0003,47.12254779934883,0.022586798,-1.1920928955078125e-07,16.36184310913086,-0.031760115272481924,220,0.2,,,,,
47104,18.738719940185547,180.0,,,,,,,,,,,,,,,
48128,20.148616790771484,180.0,0.29443359375,-5.266615603864193,0.0003,37.580367895960805,0.020032473,0.0002702474594116211,16.599016189575195,-0.028872228396357967,230,0.2,,,,,
49152,19.385040283203125,180.0,,,,,,,,,,,,,,,
50176,19.050037384033203,180.0,0.322119140625,-5.262635596096516,0.0003,43.04493940770626,0.020482387,0.0,16.420671463012695,-0.03025708008426591,240,0.2,,,,,
51200,16.750633239746094,180.0,,,,,,,,,,,,,,,
52224,17.585901260375977,180.0,0.32529296875,-5.231791082024574,0.0003,36.56411552429199,0.02111565,0.0,24.94135856628418,-0.029308644666889448,250,0.2,,,,,
53248,18.416885375976562,180.0,,,,,,,,,,,,,,,
54272,18.964481353759766,180.0,0.306640625,-5.2280177310109135,0.0003,42.844977310299875,0.020530881,9.447336196899414e-05,28.502531051635742,-0.029318375074944926,260,0.2,,,,,
55296,17.071033477783203,180.0,,,,,,,,,,,,,,,
56320,16.025924682617188,180.0,0.349755859375,-5.182648991048336,0.0003,42.114649701118466,0.021798287,3.993511199951172e-06,26.847089767456055,-0.03003743352237507,270,0.2,,,,,
57344,21.389606475830078,180.0,,,,,,,,,,,,,,,
58368,20.694530487060547,180.0,0.333642578125,-5.130402560532093,0.0003,42.45098345577717,0.019557383,1.1920928955078125e-07,20.322303771972656,-0.032129134034039455,280,0.2,,,,,
59392,18.29208755493164,180.0,,,,,,,,,,,,,,,
60416,20.253225326538086,180.0,0.39560546875,-5.092166410386563,0.0003,40.72581023275852,0.022366613,0.0,17.801706314086914,-0.03519316395686474,290,0.2,,,,,
61440,20.374542236328125,180.0,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,180.0,173,30,19.596811960000004,353
62464,20.95142364501953,180.0,0.33173828125,-5.004661552608013,0.0003,39.947089686989784,0.021366451,0.0,18.29046058654785,-0.03001780605991371,300,0.2,,,,,
63488,21.85037612915039,180.0,,,,,,,,,,,,,,,
64512,22.98062515258789,180.0,0.304443359375,-4.969575151801109,0.0003,37.67910073697567,0.020558137,-2.384185791015625e-07,28.12894630432129,-0.02699182269134326,310,0.2,,,,,
65536,20.538639068603516,180.0,,,,,,,,,,,,,,,
66560,20.67626190185547,180.0,0.27861328125,-4.97575020045042,0.0003,44.87275340855122,0.021737076,0.0,19.530858993530273,-0.02759672607353423,320,0.2,,,,,
67584,20.502765655517578,180.0,,,,,,,,,,,,,,,
