time/fps,train/n_updates,train/loss,train/value_loss,time/total_timesteps,train/learning_rate,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/approx_kl,time/time_elapsed,time/iterations,train/policy_gradient_loss
699,490,7383.51416015625,14077.909576416016,102400,0.0003,-3.6025757417082787,0.0,616.18234881,50.0,0.2,0.12646484375,0.01267499,146,50,-0.02105378082487732
696,990,25338.716796875,52220.454809570314,204800,0.0003,-2.4680565543472768,0.0,1125.3399658899998,50.0,0.2,0.10927734375,0.017955856,294,100,-0.010696137761988212
676,1490,26894.517578125,53364.86544189453,307200,0.0003,-2.329488384723663,0.0,1299.76304724,50.0,0.2,0.042041015625,0.013000095,453,150,-0.003925753352814354
663,1990,21044.578125,41925.26212158203,409600,0.0003,-2.269840004295111,0.0,1316.2980590900002,50.0,0.2,0.05693359375,0.012359614,617,200,-0.004792746966995764
