eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps
12.942012786865234,12.0,74752,360,0.0003,0.0,0.351171875,1955.346435546875,0.2,0.05568949,-3.240102832764387,3510.273733520508,-0.04370144290733151,,,,,
15.18254280090332,12.0,75776,,,,,,,,,,,,,,,
16.86882781982422,12.0,76800,370,0.0003,0.0,0.36103515625,1480.5933837890625,0.2,0.050210476,-3.226678646355867,3408.885248565674,-0.038068463007221,,,,,
19.14959144592285,12.0,77824,,,,,,,,,,,,,,,
21.103015899658203,12.0,78848,380,0.0003,0.0,0.37412109375,2263.461181640625,0.2,0.056754,-3.207527780532837,4157.80269241333,-0.03408014377200743,,,,,
17.436437606811523,12.0,79872,,,,,,,,,,,,,,,
15.010523796081543,12.0,80896,390,0.0003,5.960464477539063e-08,0.38271484375,1738.164306640625,0.2,0.057187892,-3.1869778551161287,3349.561015319824,-0.03125346207234543,,,,,
19.872098922729492,12.0,81920,,,,,,,,,,,,,,,
,,81920,,,,,,,,,,,132.52636518999998,12.0,156,40,524
19.876800537109375,12.0,82944,400,0.0003,0.0,0.3333984375,1365.9937744140625,0.2,0.049249828,-3.1455349646508695,3610.3232749938966,-0.03972629391937517,,,,,
19.191770553588867,12.0,83968,,,,,,,,,,,,,,,
19.45706558227539,12.0,84992,410,0.0003,5.960464477539063e-08,0.305126953125,1255.08544921875,0.2,0.042345915,-3.1178416602313517,3320.5343803405763,-0.037008289009099825,,,,,
19.25034523010254,12.0,86016,,,,,,,,,,,,,,,
16.61313247680664,12.0,87040,420,0.0003,-1.1920928955078125e-07,0.317529296875,1691.11083984375,0.2,0.04354342,-3.0179411977529527,3806.278023529053,-0.043007482858956794,,,,,
14.535621643066406,12.0,88064,,,,,,,,,,,,,,,
14.910383224487305,12.0,89088,430,0.0003,5.960464477539063e-08,0.350830078125,1799.6820068359375,0.2,0.05263461,-3.026998571306467,3572.5361305236815,-0.028158324035757687,,,,,
19.809913635253906,12.0,90112,,,,,,,,,,,,,,,
13.894123077392578,12.0,91136,440,0.0003,0.0,0.322265625,1582.02197265625,0.2,0.038436785,-3.016956616193056,3272.1050354003905,-0.03163936688797549,,,,,
15.864680290222168,12.0,92160,,,,,,,,,,,,,,,
20.250415802001953,12.0,93184,450,0.0003,-1.1920928955078125e-07,0.311572265625,2003.793701171875,0.2,0.051379327,-2.9809876166284086,4263.9389572143555,-0.030815013757091947,,,,,
14.561708450317383,12.0,94208,,,,,,,,,,,,,,,
13.821708679199219,12.0,95232,460,0.0003,0.0,0.327294921875,1962.9237060546875,0.2,0.05189581,-2.9465406157076357,3729.681143951416,-0.02950864320155233,,,,,
12.992425918579102,12.0,96256,,,,,,,,,,,,,,,
20.011995315551758,12.0,97280,470,0.0003,0.0,0.34599609375,1266.2568359375,0.2,0.054570697,-2.9294888764619826,3630.567638397217,-0.0321624096002779,,,,,
16.70934295654297,12.0,98304,,,,,,,,,,,,,,,
17.54496192932129,12.0,99328,480,0.0003,-1.1920928955078125e-07,0.2796875,1668.434814453125,0.2,0.047331564,-2.8985031709074973,4149.745288085937,-0.028462151801795697,,,,,
16.44293212890625,12.0,100352,,,,,,,,,,,,,,,
20.55343246459961,12.0,101376,490,0.0003,-1.1920928955078125e-07,0.334130859375,1568.82470703125,0.2,0.06292958,-2.8519327484071253,3166.0399669647218,-0.019367076831986196,,,,,
19.475444793701172,12.0,102400,,,,,,,,,,,,,,,
,,102400,,,,,,,,,,,148.83401525000002,12.0,196,50,520
19.386165618896484,12.0,103424,500,0.0003,0.0,0.3162109375,2042.329345703125,0.2,0.05557338,-2.8033329166471956,4101.981354522705,-0.026219451980432497,,,,,
12.666422843933105,12.0,104448,,,,,,,,,,,,,,,
15.36870002746582,12.0,105472,510,0.0003,-1.1920928955078125e-07,0.402978515625,2010.0938720703125,0.2,0.065570936,-2.7780522003769876,4066.799568939209,-0.028071683215966915,,,,,
13.53118896484375,12.0,106496,,,,,,,,,,,,,,,
16.32375144958496,12.0,107520,520,0.0003,0.0,0.339208984375,1357.3408203125,0.2,0.06333926,-2.7463544331490994,3169.2787700653075,-0.0150896413528244,,,,,
14.351911544799805,12.0,108544,,,,,,,,,,,,,,,
17.833526611328125,12.0,109568,530,0.0003,0.0,0.310009765625,1451.8104248046875,0.2,0.0585139,-2.7475935980677604,3134.396327972412,-0.0253625114200986,,,,,
18.126880645751953,12.0,110592,,,,,,,,,,,,,,,
12.287698745727539,12.0,111616,540,0.0003,0.0,0.37958984375,1530.003173828125,0.2,0.0721736,-2.7269514955580236,3534.558972930908,-0.025025500093761366,,,,,
22.387470245361328,12.0,112640,,,,,,,,,,,,,,,
14.789247512817383,12.0,113664,550,0.0003,5.960464477539063e-08,0.309912109375,1695.7100830078125,0.2,0.05640259,-2.756634645909071,3730.297769165039,-0.018320885895809623,,,,,
23.59579849243164,12.0,114688,,,,,,,,,,,,,,,
15.501137733459473,12.0,115712,560,0.0003,0.0,0.360498046875,1652.7332763671875,0.2,0.06621268,-2.7608944341540336,3555.9168617248533,-0.02332267974561546,,,,,
19.201568603515625,12.0,116736,,,,,,,,,,,,,,,
15.15234088897705,12.0,117760,570,0.0003,1.1920928955078125e-07,0.356640625,1343.885009765625,0.2,0.06680173,-2.7470978178083896,3636.3839073181152,-0.023938561670365743,,,,,
14.91633129119873,12.0,118784,,,,,,,,,,,,,,,
15.467262268066406,12.0,119808,580,0.0003,0.0,0.318212890625,1825.6878662109375,0.2,0.068648055,-2.731874983012676,3983.062776184082,-0.025273756244860123,,,,,
15.82041072845459,12.0,120832,,,,,,,,,,,,,,,
15.421822547912598,12.0,121856,590,0.0003,-1.1920928955078125e-07,0.384716796875,1799.53173828125,0.2,0.083871104,-2.722778656333685,3732.810563659668,-0.01127691888686968,,,,,
18.988178253173828,12.0,122880,,,,,,,,,,,,,,,
,,122880,,,,,,,,,,,102.48555608999999,12.0,237,60,517
17.26810073852539,12.0,123904,600,0.0003,0.0,0.409716796875,1018.96142578125,0.2,0.06809649,-2.730983392894268,2661.4579010009766,-0.013449371684691869,,,,,
21.624048233032227,12.0,124928,,,,,,,,,,,,,,,
