eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
27.0,36.023590087890625,54272,0.0003,14.840812683105469,260,0.0,0.2,-0.03990953991306014,30.63947637081146,0.058812864,-5.025549253821373,0.48310546875,,,,,
27.0,35.34484100341797,55296,,,,,,,,,,,,,,,
27.0,34.83009719848633,56320,0.0003,19.368093490600586,270,0.0,0.2,-0.04220280706940684,34.199497044086456,0.055899892,-4.9824916675686834,0.447607421875,,,,,
27.0,32.740234375,57344,,,,,,,,,,,,,,,
27.0,37.24687194824219,58368,0.0003,16.40117073059082,280,-1.1920928955078125e-07,0.2,-0.05118641393491998,31.206971555948257,0.06151165,-4.954236009716988,0.48369140625,,,,,
27.0,45.71556091308594,59392,,,,,,,,,,,,,,,
27.0,43.4881477355957,60416,0.0003,19.443817138671875,290,0.0,0.2,-0.05945497251232155,34.122181344032285,0.06854534,-4.892867250740528,0.4875,,,,,
27.0,32.748374938964844,61440,,,,,,,,,,,,,,,
,,61440,,,,,,,,,,,37.78500867,536,114,30,27.0
27.0,44.27569580078125,62464,0.0003,18.60367774963379,300,0.0,0.2,-0.03778267671877984,27.41816949546337,0.065817505,-4.837404085695743,0.489501953125,,,,,
27.0,33.877891540527344,63488,,,,,,,,,,,,,,,
27.0,27.701648712158203,64512,0.0003,11.999504089355469,310,0.0,0.2,-0.03478042311835452,29.801691299676897,0.061131433,-4.804801695048809,0.47666015625,,,,,
27.0,31.13674545288086,65536,,,,,,,,,,,,,,,
27.0,34.292816162109375,66560,0.0003,16.109676361083984,320,-1.1920928955078125e-07,0.2,-0.0494148122437764,29.439556992053987,0.067220196,-4.790126371383667,0.48837890625,,,,,
27.0,38.281333923339844,67584,,,,,,,,,,,,,,,
27.0,44.530731201171875,68608,0.0003,16.98396110534668,330,0.0,0.2,-0.03986853380629327,29.16287584900856,0.058251873,-4.712146201729775,0.468896484375,,,,,
27.0,40.31898498535156,69632,,,,,,,,,,,,,,,
27.0,34.86833953857422,70656,0.0003,13.16314697265625,340,-1.1920928955078125e-07,0.2,-0.05241079612460453,28.46349173784256,0.071829855,-4.655006478726864,0.484375,,,,,
27.0,41.218528747558594,71680,,,,,,,,,,,,,,,
27.0,41.47808074951172,72704,0.0003,14.94901180267334,350,0.0,0.2,-0.043766863801283765,30.461233711242677,0.06536067,-4.605086874961853,0.474658203125,,,,,
27.0,37.11571502685547,73728,,,,,,,,,,,,,,,
27.0,46.619483947753906,74752,0.0003,10.784814834594727,360,0.0,0.2,-0.03761251026007813,32.89817228913307,0.06437033,-4.564863307774067,0.476220703125,,,,,
27.0,40.87220764160156,75776,,,,,,,,,,,,,,,
27.0,38.8193359375,76800,0.0003,12.948864936828613,370,5.960464477539063e-08,0.2,-0.03274649193044752,27.462087297439574,0.072861984,-4.513281443715096,0.45361328125,,,,,
27.0,29.742374420166016,77824,,,,,,,,,,,,,,,
27.0,36.25278091430664,78848,0.0003,8.759956359863281,380,0.0,0.2,-0.02754192748107016,25.981888157129287,0.068193786,-4.466716542840004,0.5048828125,,,,,
27.0,39.76707458496094,79872,,,,,,,,,,,,,,,
27.0,47.30232238769531,80896,0.0003,18.946632385253906,390,0.0,0.2,-0.04866336279083043,27.05914969444275,0.06410693,-4.384225606918335,0.483251953125,,,,,
27.0,38.71709060668945,81920,,,,,,,,,,,,,,,
,,81920,,,,,,,,,,,37.46960118,538,152,40,27.0
27.0,40.74711990356445,82944,0.0003,16.431015014648438,400,-1.1920928955078125e-07,0.2,-0.038589446266996674,28.216326105594636,0.05998762,-4.3289119631052015,0.46513671875,,,,,
27.0,32.94921112060547,83968,,,,,,,,,,,,,,,
27.0,35.89240646362305,84992,0.0003,10.689088821411133,410,0.0,0.2,-0.04221657751186285,26.0192971855402,0.06637357,-4.263782478868961,0.495166015625,,,,,
27.0,33.73405075073242,86016,,,,,,,,,,,,,,,
27.0,42.09794235229492,87040,0.0003,13.48631477355957,420,0.0,0.2,-0.03379346354340669,31.89019446969032,0.053224023,-4.237275195121765,0.40732421875,,,,,
27.0,48.276458740234375,88064,,,,,,,,,,,,,,,
27.0,45.56694412231445,89088,0.0003,11.933328628540039,430,0.0,0.2,-0.03905884359846823,27.68526327610016,0.063650206,-4.210116854310035,0.462060546875,,,,,
27.0,50.2668342590332,90112,,,,,,,,,,,,,,,
27.0,43.734127044677734,91136,0.0003,13.33332633972168,440,0.0,0.2,-0.04848378328315448,29.54262220263481,0.070756935,-4.126483346521854,0.448193359375,,,,,
27.0,40.00080108642578,92160,,,,,,,,,,,,,,,
27.0,47.939796447753906,93184,0.0003,12.436017990112305,450,5.960464477539063e-08,0.2,-0.04537708168209065,26.184593641757964,0.062088363,-4.102096611261368,0.44443359375,,,,,
27.0,49.92919158935547,94208,,,,,,,,,,,,,,,
27.0,47.95639419555664,95232,0.0003,14.566191673278809,460,0.0,0.2,-0.04216684546845499,27.1441686719656,0.063427694,-4.0748784959316255,0.458544921875,,,,,
27.0,44.71228790283203,96256,,,,,,,,,,,,,,,
27.0,42.71336364746094,97280,0.0003,10.888809204101562,470,0.0,0.2,-0.04531635642342735,24.374412396550177,0.06767426,-4.0389791399240496,0.4763671875,,,,,
27.0,39.551570892333984,98304,,,,,,,,,,,,,,,
27.0,37.02606201171875,99328,0.0003,13.988409042358398,480,0.0,0.2,-0.04562737267406192,29.85240845680237,0.06842824,-4.016264753788709,0.477001953125,,,,,
27.0,50.443267822265625,100352,,,,,,,,,,,,,,,
27.0,42.99165344238281,101376,0.0003,12.047415733337402,490,0.0,0.2,-0.05079873789218255,27.1606678545475,0.072439715,-4.003796908259392,0.46513671875,,,,,
27.0,44.07718276977539,102400,,,,,,,,,,,,,,,
,,102400,,,,,,,,,,,45.61512975999998,539,189,50,27.0
27.0,44.606929779052734,103424,0.0003,17.3729248046875,500,0.0,0.2,-0.045446749494294635,28.24006267786026,0.0760899,-3.9693148739635946,0.489990234375,,,,,
27.0,39.61862564086914,104448,,,,,,,,,,,,,,,
27.0,34.14714813232422,105472,0.0003,9.926020622253418,510,0.0,0.2,-0.03787279506213963,27.64728660583496,0.06708868,-3.9455900207161902,0.45849609375,,,,,
27.0,47.202056884765625,106496,,,,,,,,,,,,,,,
27.0,47.7797737121582,107520,0.0003,10.612354278564453,520,-1.1920928955078125e-07,0.2,-0.03233225426811259,23.766850486397743,0.070669316,-3.9080654092133047,0.479296875,,,,,
27.0,45.05708312988281,108544,,,,,,,,,,,,,,,
27.0,46.32378387451172,109568,0.0003,13.744248390197754,530,0.0,0.2,-0.03287865293241339,23.530650693178178,0.07547991,-3.865280219912529,0.46455078125,,,,,
27.0,43.58281707763672,110592,,,,,,,,,,,,,,,
27.0,41.55426025390625,111616,0.0003,18.248676300048828,540,0.0,0.2,-0.02835684760066215,28.67808056473732,0.06507166,-3.861391271650791,0.484228515625,,,,,
27.0,45.32366180419922,112640,,,,,,,,,,,,,,,
27.0,50.066551208496094,113664,0.0003,8.819643020629883,550,0.0,0.2,-0.03679637131426716,20.926279625296594,0.07040535,-3.8512091517448424,0.51123046875,,,,,
27.0,48.60608673095703,114688,,,,,,,,,,,,,,,
27.0,34.010765075683594,115712,0.0003,10.504814147949219,560,5.960464477539063e-08,0.2,-0.039342791723902336,25.669996538758276,0.08423506,-3.8000993080437184,0.50234375,,,,,
27.0,44.999000549316406,116736,,,,,,,,,,,,,,,
27.0,45.74162292480469,117760,0.0003,13.16780948638916,570,5.960464477539063e-08,0.2,-0.0426765967218671,25.61260732412338,0.06901046,-3.7753237880766393,0.495849609375,,,,,
27.0,35.724082946777344,118784,,,,,,,,,,,,,,,
27.0,35.80710220336914,119808,0.0003,9.758426666259766,580,0.0,0.2,-0.02478557357972022,18.179125538468362,0.060863085,-3.770966961234808,0.448583984375,,,,,
27.0,43.98164367675781,120832,,,,,,,,,,,,,,,
