eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
180.0,13.467325210571289,1024,,,,,,,,,,,,,,,
180.0,13.919185638427734,2048,,,,,,,,,,,,,,,
180.0,13.726661682128906,3072,-0.017113546012114966,4.022741317749023,0.0259765625,10,0.0069210585,0.2,-5.884303379058838,-0.004984140396118164,19.81976826265454,3e-05,,,,,
180.0,13.367658615112305,4096,,,,,,,,,,,,,,,
180.0,13.452069282531738,5120,-0.020250634364492724,11.800257682800293,0.044677734375,20,0.008542936,0.2,-5.876520656049252,-2.1457672119140625e-06,17.868714100122453,3e-05,,,,,
180.0,13.184345245361328,6144,,,,,,,,,,,,,,,
180.0,14.239215850830078,7168,-0.02373328127359855,9.05809211730957,0.053173828125,30,0.008169485,0.2,-5.868958110362291,-1.5497207641601562e-06,17.607677129283548,3e-05,,,,,
180.0,13.692604064941406,8192,,,,,,,,,,,,,,,
180.0,13.214071273803711,9216,-0.021730130715150155,9.432170867919922,0.051904296875,40,0.007885466,0.2,-5.860844863951206,-1.1920928955078125e-07,18.09399026297033,3e-05,,,,,
180.0,12.63931655883789,10240,,,,,,,,,,,,,,,
180.0,14.609785079956055,11264,-0.02222040104898042,9.40251636505127,0.057470703125,50,0.008712354,0.2,-5.8513991862535475,-1.1920928955078125e-07,15.137496999278664,3e-05,,,,,
180.0,14.215681076049805,12288,,,,,,,,,,,,,,,
180.0,13.098978996276855,13312,-0.020458113055065043,13.579828262329102,0.034326171875,60,0.007062271,0.2,-5.846537666022778,-1.1920928955078125e-07,19.9534909106791,3e-05,,,,,
180.0,13.238519668579102,14336,,,,,,,,,,,,,,,
180.0,12.690642356872559,15360,-0.018704924324629245,11.34019660949707,0.027294921875,70,0.006568589,0.2,-5.840208784490824,1.1920928955078125e-07,16.393993578106166,3e-05,,,,,
180.0,13.827884674072266,16384,,,,,,,,,,,,,,,
180.0,15.40544605255127,17408,-0.017969125865965906,14.238497734069824,0.026220703125,80,0.0063471263,0.2,-5.83230657428503,-8.249282836914062e-05,17.739762353524565,3e-05,,,,,
