time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed
1024,13.620312690734863,180.0,,,,,,,,,,,,,,,
2048,13.903209686279297,180.0,,,,,,,,,,,,,,,
3072,13.999792098999023,180.0,0.4208984375,-5.865647368133068,0.0003,46.15517054200173,0.027529933,-0.001084446907043457,25.07917594909668,-0.04224936479513417,10,0.2,,,,,
4096,14.00406265258789,180.0,,,,,,,,,,,,,,,
5120,13.531155586242676,180.0,0.39140625,-5.836139629781246,0.0003,34.53346185088158,0.024635952,0.0013010501861572266,16.440937042236328,-0.038466944390529535,20,0.2,,,,,
6144,13.781148910522461,180.0,,,,,,,,,,,,,,,
7168,14.305947303771973,180.0,0.406982421875,-5.811037436127663,0.0003,35.31020492613315,0.02306899,0.0009830594062805176,35.27885055541992,-0.04348082524375059,30,0.2,,,,,
8192,15.293597221374512,180.0,,,,,,,,,,,,,,,
9216,13.681890487670898,180.0,0.30927734375,-5.80393608212471,0.0003,42.845951879024504,0.022103189,0.0003104209899902344,22.63437271118164,-0.0337999358351226,40,0.2,,,,,
10240,13.722808837890625,180.0,,,,,,,,,,,,,,,
11264,14.104434967041016,180.0,0.3376953125,-5.785970494151115,0.0003,42.33088815808296,0.022209086,1.1920928955078125e-07,31.005897521972656,-0.03817988419905305,50,0.2,,,,,
12288,13.846078872680664,180.0,,,,,,,,,,,,,,,
13312,13.88820743560791,180.0,0.359423828125,-5.759219954907894,0.0003,45.39154223203659,0.024316255,-1.430511474609375e-06,21.726465225219727,-0.04062706038239412,60,0.2,,,,,
14336,16.150484085083008,180.0,,,,,,,,,,,,,,,
15360,15.878549575805664,180.0,0.3328125,-5.738677121698856,0.0003,41.90379474759102,0.022438029,0.00015878677368164062,29.858966827392578,-0.03343448362866184,70,0.2,,,,,
16384,15.276372909545898,180.0,,,,,,,,,,,,,,,
17408,14.516998291015625,180.0,0.36591796875,-5.697091029584408,0.0003,39.92776598334312,0.022742067,0.0,38.18980407714844,-0.034424283762928096,80,0.2,,,,,
18432,15.099983215332031,180.0,,,,,,,,,,,,,,,
19456,13.844131469726562,180.0,0.327783203125,-5.671027006208897,0.0003,43.67276162207126,0.02192978,0.0,12.257128715515137,-0.03417464281956199,90,0.2,,,,,
20480,15.479307174682617,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,180.0,148,10,14.346501250000001,137
21504,15.504799842834473,180.0,0.343115234375,-5.674245192110538,0.0003,38.05598979592323,0.022579055,0.0,12.88910961151123,-0.035335422957723496,100,0.2,,,,,
22528,14.807952880859375,180.0,,,,,,,,,,,,,,,
23552,14.601655960083008,180.0,0.36875,-5.660153697431087,0.0003,38.47187775671482,0.023015138,0.0,21.19957160949707,-0.040781217208132145,110,0.2,,,,,
24576,14.991267204284668,180.0,,,,,,,,,,,,,,,
25600,13.925321578979492,180.0,0.342578125,-5.6261808604002,0.0003,40.679453283548355,0.021452859,1.1920928955078125e-07,20.070621490478516,-0.0335181243281113,120,0.2,,,,,
26624,15.260551452636719,180.0,,,,,,,,,,,,,,,
27648,16.324533462524414,180.0,0.344091796875,-5.5994980305433275,0.0003,47.13366012573242,0.021476105,0.0,21.88316535949707,-0.03360385242704069,130,0.2,,,,,
28672,15.215619087219238,180.0,,,,,,,,,,,,,,,
29696,15.678364753723145,180.0,0.3173828125,-5.591047406196594,0.0003,47.0853335916996,0.021745188,0.0,22.27263832092285,-0.03693363333586604,140,0.2,,,,,
30720,15.515039443969727,180.0,,,,,,,,,,,,,,,
31744,14.962190628051758,180.0,0.310693359375,-5.532499285042286,0.0003,42.475644174218175,0.01980013,0.0004768967628479004,25.328857421875,-0.03100720760121476,150,0.2,,,,,
