eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/entropy_loss,train/clip_range,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean
40.0,40.79632568359375,1024,,,,,,,,,,,,,,,
40.0,39.560997009277344,2048,,,,,,,,,,,,,,,
40.0,42.83015441894531,3072,34.14773941040039,0.0070712646,-0.01877831148522091,3e-05,10,-0.00024449825286865234,0.0173828125,42.64580453038216,-5.883849190920591,0.2,,,,,
40.0,38.02995300292969,4096,,,,,,,,,,,,,,,
40.0,44.79911804199219,5120,14.766975402832031,0.0070207613,-0.01769818111206405,3e-05,20,1.1920928955078125e-07,0.024658203125,33.35699011385441,-5.875038805603981,0.2,,,,,
40.0,39.9516716003418,6144,,,,,,,,,,,,,,,
40.0,40.6278076171875,7168,24.68155860900879,0.0066464785,-0.019894685318286066,3e-05,30,0.0,0.023046875,32.17749296277761,-5.8677526347339155,0.2,,,,,
40.0,40.82179260253906,8192,,,,,,,,,,,,,,,
40.0,44.538963317871094,9216,26.980043411254883,0.006645797,-0.020901825359032955,3e-05,40,0.0,0.02451171875,31.138779233396054,-5.860874493420124,0.2,,,,,
40.0,32.94520950317383,10240,,,,,,,,,,,,,,,
40.0,41.88835144042969,11264,22.326322555541992,0.006089948,-0.01978123966109706,3e-05,50,0.0,0.01865234375,32.29385790228844,-5.852229661494493,0.2,,,,,
40.0,35.468971252441406,12288,,,,,,,,,,,,,,,
40.0,36.13543701171875,13312,22.374025344848633,0.0063425265,-0.021487889331183396,3e-05,60,-1.7642974853515625e-05,0.018212890625,27.34046878814697,-5.844263154268265,0.2,,,,,
40.0,37.17633056640625,14336,,,,,,,,,,,,,,,
40.0,40.531333923339844,15360,23.92240333557129,0.005456947,-0.01931628718302818,3e-05,70,0.0,0.019384765625,31.766968986392023,-5.837154949456453,0.2,,,,,
40.0,38.37622833251953,16384,,,,,,,,,,,,,,,
40.0,47.553245544433594,17408,16.709815979003906,0.0055004186,-0.019025082120788284,3e-05,80,0.0,0.0169921875,31.099594931304456,-5.830265937745571,0.2,,,,,
40.0,41.36558151245117,18432,,,,,,,,,,,,,,,
40.0,41.44007110595703,19456,17.6724796295166,0.005655587,-0.018439816992759005,3e-05,90,6.556510925292969e-07,0.019873046875,29.28295510262251,-5.825419872254133,0.2,,,,,
40.0,42.63085174560547,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,10,43,40.0,472,39.55425294
40.0,39.88836669921875,21504,28.094453811645508,0.0049736034,-0.017218825597228715,3e-05,100,0.0,0.015478515625,32.82816726565361,-5.820830897241831,0.2,,,,,
40.0,39.023101806640625,22528,,,,,,,,,,,,,,,
40.0,40.364166259765625,23552,22.138032913208008,0.006017982,-0.021077633673121453,3e-05,110,0.0,0.025537109375,30.107004475593566,-5.815180067718029,0.2,,,,,
40.0,42.437904357910156,24576,,,,,,,,,,,,,,,
