eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/n_updates,train/value_loss,train/loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations
21.0,512,29.712085723876953,,,,,,,,,,,,,,,
21.0,1024,27.297298431396484,,,,,,,,,,,,,,,
21.0,1536,23.834564208984375,,,,,,,,,,,,,,,
21.0,2048,26.976634979248047,,,,,,,,,,,,,,,
21.0,2560,25.112157821655273,10,34148.378790283205,17665.181640625,-5.296999740600586,-0.0679440527688712,5.918741226196289e-05,0.26064453125,0.2,0.023217827,0.0003,,,,,
21.0,3072,25.98431968688965,,,,,,,,,,,,,,,
21.0,3584,23.681772232055664,,,,,,,,,,,,,,,
21.0,4096,31.210254669189453,,,,,,,,,,,,,,,
21.0,4608,28.253747940063477,20,32027.711022949217,15553.701171875,-5.293566882610321,-0.06455312527250498,-1.1920928955078125e-07,0.2693359375,0.2,0.022216586,0.0003,,,,,
21.0,5120,28.53860855102539,,,,,,,,,,,,,,,
21.0,5632,28.94961929321289,,,,,,,,,,,,,,,
21.0,6144,28.943038940429688,,,,,,,,,,,,,,,
21.0,6656,26.922958374023438,30,32851.797344970706,13800.6005859375,-5.289673645794392,-0.06867967509897425,0.0,0.2669921875,0.2,0.023474008,0.0003,,,,,
21.0,7168,28.74448013305664,,,,,,,,,,,,,,,
21.0,7680,27.522815704345703,,,,,,,,,,,,,,,
21.0,8192,29.49103355407715,,,,,,,,,,,,,,,
21.0,8704,32.85114288330078,40,32333.00386352539,12601.1220703125,-5.286301770806313,-0.06599651693832129,-2.384185791015625e-07,0.278369140625,0.2,0.02422937,0.0003,,,,,
21.0,9216,25.204614639282227,,,,,,,,,,,,,,,
21.0,9728,25.97577476501465,,,,,,,,,,,,,,,
21.0,10240,29.049219131469727,,,,,,,,,,,,,,,
21.0,10752,25.609233856201172,50,31221.547448730467,15895.74609375,-5.281229092180729,-0.06422102676588111,0.0,0.26513671875,0.2,0.022921339,0.0003,,,,,
21.0,11264,26.64919090270996,,,,,,,,,,,,,,,
21.0,11776,27.329940795898438,,,,,,,,,,,,,,,
21.0,12288,30.159069061279297,,,,,,,,,,,,,,,
21.0,12800,27.456649780273438,60,33089.58997192383,16277.2978515625,-5.27501209974289,-0.06542865039082243,0.0,0.273876953125,0.2,0.02386881,0.0003,,,,,
21.0,13312,28.647384643554688,,,,,,,,,,,,,,,
21.0,13824,25.4859561920166,,,,,,,,,,,,,,,
21.0,14336,24.415714263916016,,,,,,,,,,,,,,,
21.0,14848,23.564136505126953,70,33232.94025268555,16443.57421875,-5.273311069607734,-0.06518956082873047,0.0,0.22626953125,0.2,0.01962253,0.0003,,,,,
21.0,15360,21.30327033996582,,,,,,,,,,,,,,,
21.0,15872,30.052410125732422,,,,,,,,,,,,,,,
21.0,16384,23.54953956604004,,,,,,,,,,,,,,,
21.0,16896,25.527141571044922,80,30403.408416748047,14457.4775390625,-5.2694784790277485,-0.06375395790673792,0.0,0.270361328125,0.2,0.022880645,0.0003,,,,,
21.0,17408,23.020856857299805,,,,,,,,,,,,,,,
21.0,17920,28.683639526367188,,,,,,,,,,,,,,,
21.0,18432,28.596614837646484,,,,,,,,,,,,,,,
21.0,18944,23.4744873046875,90,32292.010858154295,16496.6640625,-5.265116019546985,-0.06550807624589652,1.7881393432617188e-07,0.255517578125,0.2,0.02109221,0.0003,,,,,
21.0,19456,26.69244956970215,,,,,,,,,,,,,,,
21.0,19968,29.680749893188477,,,,,,,,,,,,,,,
21.0,20480,31.73781967163086,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,21.0,420.47892334000005,55,372,10
21.0,20992,25.609619140625,100,34331.512243652345,17829.55078125,-5.262773567438126,-0.06929627767531202,-1.1920928955078125e-07,0.28134765625,0.2,0.023927346,0.0003,,,,,
21.0,21504,26.583454132080078,,,,,,,,,,,,,,,
21.0,22016,24.805776596069336,,,,,,,,,,,,,,,
21.0,22528,24.943010330200195,,,,,,,,,,,,,,,
21.0,23040,31.759450912475586,110,32703.764617919922,14863.498046875,-5.2613040000200275,-0.06436353359604255,0.0,0.259228515625,0.2,0.02352946,0.0003,,,,,
21.0,23552,24.116802215576172,,,,,,,,,,,,,,,
21.0,24064,30.568695068359375,,,,,,,,,,,,,,,
21.0,24576,32.04603576660156,,,,,,,,,,,,,,,
21.0,25088,27.820058822631836,120,31089.4788269043,15953.953125,-5.257876735925675,-0.06454484172863886,0.0,0.261328125,0.2,0.022262024,0.0003,,,,,
21.0,25600,30.48252296447754,,,,,,,,,,,,,,,
21.0,26112,27.261337280273438,,,,,,,,,,,,,,,
21.0,26624,29.567052841186523,,,,,,,,,,,,,,,
21.0,27136,35.23175811767578,130,30651.095471191406,14554.0146484375,-5.251936583220958,-0.06712660194607452,-1.1920928955078125e-07,0.258544921875,0.2,0.021444011,0.0003,,,,,
21.0,27648,29.34894371032715,,,,,,,,,,,,,,,
21.0,28160,26.296493530273438,,,,,,,,,,,,,,,
21.0,28672,27.607091903686523,,,,,,,,,,,,,,,
21.0,29184,27.20941734313965,140,31194.680157470702,17822.9609375,-5.242024554312229,-0.06310845620464534,0.0,0.27626953125,0.2,0.023901712,0.0003,,,,,
21.0,29696,31.64670181274414,,,,,,,,,,,,,,,
21.0,30208,22.461589813232422,,,,,,,,,,,,,,,
21.0,30720,24.92289161682129,,,,,,,,,,,,,,,
21.0,31232,25.443714141845703,150,32044.56719970703,11970.7099609375,-5.232936337590218,-0.0665854478138499,0.0,0.265576171875,0.2,0.022197535,0.0003,,,,,
21.0,31744,32.51837921142578,,,,,,,,,,,,,,,
21.0,32256,22.595455169677734,,,,,,,,,,,,,,,
21.0,32768,23.26576042175293,,,,,,,,,,,,,,,
21.0,33280,24.101255416870117,160,29219.1080078125,14881.46484375,-5.2293934866786005,-0.06457069420721381,-1.1920928955078125e-07,0.252978515625,0.2,0.022736711,0.0003,,,,,
21.0,33792,27.032672882080078,,,,,,,,,,,,,,,
21.0,34304,36.25836181640625,,,,,,,,,,,,,,,
21.0,34816,28.953113555908203,,,,,,,,,,,,,,,
21.0,35328,26.90616798400879,170,30046.321563720703,13812.4755859375,-5.220680128037929,-0.06627330470364541,-1.1920928955078125e-07,0.24423828125,0.2,0.02221131,0.0003,,,,,
21.0,35840,23.966224670410156,,,,,,,,,,,,,,,
21.0,36352,32.61337661743164,,,,,,,,,,,,,,,
21.0,36864,28.9439754486084,,,,,,,,,,,,,,,
21.0,37376,25.69683265686035,180,30086.457250976564,14380.0458984375,-5.209952273964882,-0.05978733644587919,0.0,0.2521484375,0.2,0.02236044,0.0003,,,,,
21.0,37888,26.193689346313477,,,,,,,,,,,,,,,
21.0,38400,29.04525375366211,,,,,,,,,,,,,,,
21.0,38912,26.208765029907227,,,,,,,,,,,,,,,
21.0,39424,32.41425323486328,190,31446.540893554688,15002.353515625,-5.207731011509895,-0.06052702072774992,-2.384185791015625e-07,0.25810546875,0.2,0.023011725,0.0003,,,,,
21.0,39936,28.12948226928711,,,,,,,,,,,,,,,
21.0,40448,30.52646827697754,,,,,,,,,,,,,,,
21.0,40960,26.37009048461914,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,21.0,418.18055252,118,346,20
21.0,41472,28.496898651123047,200,32225.13455810547,15923.3828125,-5.211991153657436,-0.06211370420060121,1.7881393432617188e-07,0.247314453125,0.2,0.022124214,0.0003,,,,,
21.0,41984,25.82554054260254,,,,,,,,,,,,,,,
21.0,42496,30.54635238647461,,,,,,,,,,,,,,,
21.0,43008,25.194997787475586,,,,,,,,,,,,,,,
21.0,43520,29.323949813842773,210,30982.517846679686,13059.349609375,-5.211724059283734,-0.0686601205728948,0.0,0.2666015625,0.2,0.022657719,0.0003,,,,,
21.0,44032,24.988252639770508,,,,,,,,,,,,,,,
21.0,44544,27.814342498779297,,,,,,,,,,,,,,,
21.0,45056,27.5458927154541,,,,,,,,,,,,,,,
21.0,45568,26.749588012695312,220,29804.769396972657,13772.3408203125,-5.203811152279377,-0.06135195977985859,0.0,0.260595703125,0.2,0.0252922,0.0003,,,,,
21.0,46080,24.225955963134766,,,,,,,,,,,,,,,
21.0,46592,27.39150047302246,,,,,,,,,,,,,,,
21.0,47104,30.506383895874023,,,,,,,,,,,,,,,
21.0,47616,25.840774536132812,230,28406.895654296874,12730.5888671875,-5.191628757119179,-0.06586005744757131,0.0,0.277392578125,0.2,0.025491495,0.0003,,,,,
