eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/learning_rate,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps
21.0,1024,26.64000129699707,,,,,,,,,,,,,,,
21.0,2048,24.313697814941406,,,,,,,,,,,,,,,
21.0,3072,26.693737030029297,0.0003,-0.00010669231414794922,14666.7119140625,0.252197265625,31606.053576660157,0.020798288,-0.06500152484513819,10,0.2,-5.296832418441772,,,,,
21.0,4096,25.88421058654785,,,,,,,,,,,,,,,
21.0,5120,26.538959503173828,0.0003,0.0,16576.130859375,0.265673828125,32682.85773925781,0.022197975,-0.0684435955248773,20,0.2,-5.293367663025856,,,,,
21.0,6144,27.592403411865234,,,,,,,,,,,,,,,
21.0,7168,26.182636260986328,0.0003,0.0,15475.806640625,0.235888671875,34333.57846069336,0.020499311,-0.06464721719967201,30,0.2,-5.289672231674194,,,,,
21.0,8192,27.899377822875977,,,,,,,,,,,,,,,
21.0,9216,20.310209274291992,0.0003,0.0,14421.6494140625,0.264697265625,31293.377221679686,0.022589628,-0.06836919729830697,40,0.2,-5.285893465578556,,,,,
21.0,10240,28.75428009033203,,,,,,,,,,,,,,,
21.0,11264,28.586055755615234,0.0003,0.0,14514.4375,0.25126953125,32185.452880859375,0.023204498,-0.0663001687033102,50,0.2,-5.2823155030608175,,,,,
21.0,12288,29.905099868774414,,,,,,,,,,,,,,,
21.0,13312,25.653575897216797,0.0003,1.1920928955078125e-07,15828.7998046875,0.26416015625,31766.140997314455,0.024414957,-0.0654257408110425,60,0.2,-5.279033403098583,,,,,
21.0,14336,22.09047508239746,,,,,,,,,,,,,,,
21.0,15360,28.711557388305664,0.0003,-1.1920928955078125e-07,16142.4873046875,0.258837890625,35575.953344726564,0.02291165,-0.06644082168349996,70,0.2,-5.274570026993752,,,,,
21.0,16384,26.67624282836914,,,,,,,,,,,,,,,
21.0,17408,27.718090057373047,0.0003,-1.1920928955078125e-07,14817.923828125,0.246630859375,31927.891516113283,0.021906886,-0.06955308645265176,80,0.2,-5.269286888837814,,,,,
21.0,18432,24.250890731811523,,,,,,,,,,,,,,,
21.0,19456,25.51500701904297,0.0003,0.0,14415.92578125,0.248828125,32354.55680541992,0.021939367,-0.06596248749410734,90,0.2,-5.2636678740382195,,,,,
21.0,20480,28.093292236328125,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,400.76330442,10,23,21.0,879
21.0,21504,24.824623107910156,0.0003,0.0,14637.6572265625,0.269677734375,31102.15347290039,0.023217574,-0.06625869991257786,100,0.2,-5.257373228669167,,,,,
21.0,22528,25.15705680847168,,,,,,,,,,,,,,,
21.0,23552,30.075454711914062,0.0003,1.7881393432617188e-07,14844.369140625,0.254541015625,33442.872857666014,0.020652512,-0.05936952264746651,110,0.2,-5.251568739116192,,,,,
21.0,24576,23.634300231933594,,,,,,,,,,,,,,,
21.0,25600,28.957691192626953,0.0003,0.0,15753.2587890625,0.275634765625,29682.01728515625,0.023397978,-0.06698917567264288,120,0.2,-5.243074686825276,,,,,
21.0,26624,28.86505889892578,,,,,,,,,,,,,,,
