time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
1024,180.0,13.706363677978516,,,,,,,,,,,,,,,
2048,180.0,14.597657203674316,,,,,,,,,,,,,,,
3072,180.0,13.117201805114746,0.2,28.281339645385742,0.39130859375,0.0003,0.023027271,-0.0012341737747192383,35.97050042450428,-0.046919569809688255,10,-5.868302580714226,,,,,
4096,180.0,14.747703552246094,,,,,,,,,,,,,,,
5120,180.0,13.85698413848877,0.2,19.981525421142578,0.374072265625,0.0003,0.024189478,0.0,45.43085761070252,-0.04539914006600156,20,-5.848911875486374,,,,,
6144,180.0,13.556562423706055,,,,,,,,,,,,,,,
7168,180.0,14.4970064163208,0.2,29.348737716674805,0.328515625,0.0003,0.02320937,2.384185791015625e-07,45.758758863806726,-0.04381621126522077,30,-5.824920631945133,,,,,
8192,180.0,14.647905349731445,,,,,,,,,,,,,,,
9216,180.0,14.093048095703125,0.2,26.340404510498047,0.3353515625,0.0003,0.022721134,1.1920928955078125e-07,38.224972480535506,-0.045853504838305525,40,-5.7967206373810765,,,,,
10240,180.0,14.192303657531738,,,,,,,,,,,,,,,
11264,180.0,12.873954772949219,0.2,13.979147911071777,0.313916015625,0.0003,0.022055896,0.0,46.248316290974614,-0.04412786075408803,50,-5.779203440248966,,,,,
12288,180.0,14.953296661376953,,,,,,,,,,,,,,,
13312,180.0,14.34139633178711,0.2,24.77496910095215,0.324365234375,0.0003,0.021538991,0.0,47.57790928184986,-0.04092043165292125,60,-5.754852925240994,,,,,
14336,180.0,13.904090881347656,,,,,,,,,,,,,,,
15360,180.0,14.215436935424805,0.2,22.781444549560547,0.3154296875,0.0003,0.021686286,0.0,36.896748441457746,-0.04189061247452628,70,-5.742756362259388,,,,,
16384,180.0,14.349191665649414,,,,,,,,,,,,,,,
17408,180.0,15.45067024230957,0.2,19.594085693359375,0.33505859375,0.0003,0.02249617,1.1920928955078125e-07,40.28321131169796,-0.0419336638180539,80,-5.703811268508434,,,,,
18432,180.0,12.840929985046387,,,,,,,,,,,,,,,
19456,180.0,15.770400047302246,0.2,18.0241756439209,0.330322265625,0.0003,0.022026628,0.0,46.32541545331478,-0.04622221290192101,90,-5.680911746621132,,,,,
20480,180.0,14.196430206298828,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,62,10,329,13.692189800000001,180.0
21504,180.0,14.545641899108887,0.2,33.1075439453125,0.31689453125,0.0003,0.024009556,0.0,39.31971898972988,-0.04450311982509447,100,-5.663984262943268,,,,,
22528,180.0,14.583511352539062,,,,,,,,,,,,,,,
23552,180.0,15.441854476928711,0.2,15.823954582214355,0.374462890625,0.0003,0.025870204,0.0,43.13361675441265,-0.04511216286337003,110,-5.6258709475398065,,,,,
24576,180.0,14.931577682495117,,,,,,,,,,,,,,,
25600,180.0,15.26176643371582,0.2,16.81978416442871,0.322998046875,0.0003,0.021493783,0.0,38.147256451845166,-0.04100592242757557,120,-5.580635580420494,,,,,
26624,180.0,15.004542350769043,,,,,,,,,,,,,,,
27648,180.0,16.041149139404297,0.2,24.164897918701172,0.364794921875,0.0003,0.027183078,-1.1920928955078125e-07,45.349044013023374,-0.05082611475663725,130,-5.539211420714855,,,,,
28672,180.0,15.610381126403809,,,,,,,,,,,,,,,
29696,180.0,15.877819061279297,0.2,19.127378463745117,0.384375,0.0003,0.02630936,0.0,39.49836842417717,-0.04776532713731285,140,-5.502259686589241,,,,,
30720,180.0,15.366171836853027,,,,,,,,,,,,,,,
31744,180.0,17.463356018066406,0.2,24.397510528564453,0.340234375,0.0003,0.023454305,0.0,43.120763671398166,-0.04478989929193631,150,-5.444014932215214,,,,,
32768,180.0,16.64855194091797,,,,,,,,,,,,,,,
33792,180.0,17.782930374145508,0.2,19.109655380249023,0.39609375,0.0003,0.032463886,0.0,46.99564830064774,-0.04548842136282474,160,-5.407779318094254,,,,,
34816,180.0,18.637454986572266,,,,,,,,,,,,,,,
35840,180.0,17.721309661865234,0.2,14.077447891235352,0.38251953125,0.0003,0.028564865,-2.384185791015625e-07,40.60573370754719,-0.0429466427405714,170,-5.345566825568676,,,,,
36864,180.0,15.739754676818848,,,,,,,,,,,,,,,
37888,180.0,16.356775283813477,0.2,7.69381046295166,0.413525390625,0.0003,0.030408338,0.0,39.587205642461775,-0.05046860066941008,180,-5.2840166062116625,,,,,
38912,180.0,17.327816009521484,,,,,,,,,,,,,,,
39936,180.0,15.800649642944336,0.2,20.006248474121094,0.415625,0.0003,0.02941878,0.0,44.025425153970716,-0.046576905230176636,190,-5.228644672036171,,,,,
40960,180.0,17.09414291381836,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,124,20,329,16.239257620000004,180.0
41984,180.0,19.644325256347656,0.2,27.819297790527344,0.426171875,0.0003,0.032081075,5.960464477539063e-08,47.20167683959007,-0.04621500383655075,200,-5.138039490580558,,,,,
43008,180.0,19.067947387695312,,,,,,,,,,,,,,,
44032,180.0,16.974456787109375,0.2,27.91976547241211,0.44462890625,0.0003,0.03663792,0.0,46.92860096096992,-0.04402291445585434,210,-5.058328106999397,,,,,
