eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/approx_kl,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations
40.956153869628906,39936,27.0,0.020710874,28.073631286621094,47.7987436234951,0.0003,-5.563061448931694,-0.033833860579761676,0.0,190,0.2865234375,0.2,,,,,
36.24000930786133,40960,27.0,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,126,323,27.0,40.42476936999999,20
39.88245391845703,41984,27.0,0.020102665,29.665754318237305,42.85800803303719,0.0003,-5.525485187768936,-0.032100074425397904,0.0,200,0.2974609375,0.2,,,,,
43.39448547363281,43008,27.0,,,,,,,,,,,,,,,
44.031700134277344,44032,27.0,0.020076955,21.391380310058594,43.927386057376864,0.0003,-5.502606815099716,-0.027156599014415406,-1.1920928955078125e-07,210,0.226708984375,0.2,,,,,
46.245094299316406,45056,27.0,,,,,,,,,,,,,,,
44.780609130859375,46080,27.0,0.02016536,21.938779830932617,43.45484418272972,0.0003,-5.4812489539384845,-0.029928866427508184,0.0,220,0.2642578125,0.2,,,,,
44.869728088378906,47104,27.0,,,,,,,,,,,,,,,
40.32611083984375,48128,27.0,0.021657173,17.762950897216797,42.15580916404724,0.0003,-5.455673152208329,-0.031295682234485867,0.0,230,0.287353515625,0.2,,,,,
36.72460174560547,49152,27.0,,,,,,,,,,,,,,,
40.36540603637695,50176,27.0,0.019640366,21.094518661499023,42.12496994137764,0.0003,-5.464246556162834,-0.03487481399206445,0.0,240,0.302587890625,0.2,,,,,
39.10039520263672,51200,27.0,,,,,,,,,,,,,,,
40.29425811767578,52224,27.0,0.021137863,23.357858657836914,43.764007806777954,0.0003,-5.453306484222412,-0.0382436747837346,0.0,250,0.310107421875,0.2,,,,,
37.04636764526367,53248,27.0,,,,,,,,,,,,,,,
38.97245788574219,54272,27.0,0.019384157,20.06907081604004,44.93242232203484,0.0003,-5.465909400582314,-0.028252323777996934,0.0,260,0.224560546875,0.2,,,,,
38.429298400878906,55296,27.0,,,,,,,,,,,,,,,
40.33418273925781,56320,27.0,0.018009491,18.520397186279297,37.89126491546631,0.0003,-5.39514442384243,-0.033049836252757814,0.0,270,0.307568359375,0.2,,,,,
45.503662109375,57344,27.0,,,,,,,,,,,,,,,
40.59952163696289,58368,27.0,0.019130446,18.453006744384766,42.40700743198395,0.0003,-5.389128278195858,-0.033174899815639945,0.0,280,0.29599609375,0.2,,,,,
38.0300178527832,59392,27.0,,,,,,,,,,,,,,,
38.97610092163086,60416,27.0,0.01824175,15.313597679138184,41.59866527915001,0.0003,-5.370471893250942,-0.030036423279670998,-1.1920928955078125e-07,290,0.2513671875,0.2,,,,,
44.636226654052734,61440,27.0,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,190,322,27.0,42.18333432,30
42.56584930419922,62464,27.0,0.020524008,21.065658569335938,42.51697825193405,0.0003,-5.314731541275978,-0.032952541772829136,-1.1920928955078125e-07,300,0.30966796875,0.2,,,,,
41.14664077758789,63488,27.0,,,,,,,,,,,,,,,
45.73867416381836,64512,27.0,0.019868873,25.99561882019043,37.98034124970436,0.0003,-5.310951292514801,-0.032871990496641953,0.0,310,0.307470703125,0.2,,,,,
41.687286376953125,65536,27.0,,,,,,,,,,,,,,,
39.96211624145508,66560,27.0,0.017896434,22.12694549560547,40.011112689971924,0.0003,-5.295024737715721,-0.02828229394654045,0.0,320,0.258740234375,0.2,,,,,
44.97399139404297,67584,27.0,,,,,,,,,,,,,,,
38.13917541503906,68608,27.0,0.018577728,16.74448013305664,41.75181648731232,0.0003,-5.307605610787869,-0.031973688511061485,0.0,330,0.2720703125,0.2,,,,,
45.939842224121094,69632,27.0,,,,,,,,,,,,,,,
39.998497009277344,70656,27.0,0.017287044,22.0751895904541,41.650845086574556,0.0003,-5.2878534778952595,-0.030759870566544122,1.1920928955078125e-07,340,0.266259765625,0.2,,,,,
42.212223052978516,71680,27.0,,,,,,,,,,,,,,,
42.86487579345703,72704,27.0,0.020851431,20.86136245727539,38.35123109817505,0.0003,-5.269295257329941,-0.02921062453679042,1.1920928955078125e-07,350,0.239404296875,0.2,,,,,
37.45061492919922,73728,27.0,,,,,,,,,,,,,,,
45.13802719116211,74752,27.0,0.019664038,19.177650451660156,38.641672772169116,0.0003,-5.2316052377223965,-0.030807136034127325,-1.1920928955078125e-07,360,0.276953125,0.2,,,,,
39.14311981201172,75776,27.0,,,,,,,,,,,,,,,
40.435089111328125,76800,27.0,0.01758257,17.34124183654785,39.27479164004326,0.0003,-5.210989354550838,-0.0347910628435784,0.0,370,0.289013671875,0.2,,,,,
42.277259826660156,77824,27.0,,,,,,,,,,,,,,,
37.55110168457031,78848,27.0,0.018033193,11.427264213562012,39.604294043779376,0.0003,-5.207324802875519,-0.026082141714869066,0.0,380,0.238427734375,0.2,,,,,
40.010108947753906,79872,27.0,,,,,,,,,,,,,,,
41.53015899658203,80896,27.0,0.02016323,13.622223854064941,33.20866128206253,0.0003,-5.149753338098526,-0.03250618097081315,0.0,390,0.3140625,0.2,,,,,
36.40550994873047,81920,27.0,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,254,322,27.0,42.05284032999999,40
43.826271057128906,82944,27.0,0.019244794,17.6898193359375,37.140243077278136,0.0003,-5.13200346827507,-0.031676151306601244,0.0,400,0.29794921875,0.2,,,,,
43.07482147216797,83968,27.0,,,,,,,,,,,,,,,
45.43797302246094,84992,27.0,0.021533111,19.036352157592773,36.07944516539574,0.0003,-5.159008868038654,-0.032586999698833094,0.0,410,0.317529296875,0.2,,,,,
42.41045379638672,86016,27.0,,,,,,,,,,,,,,,
39.71735382080078,87040,27.0,0.01827782,25.664581298828125,41.29645961523056,0.0003,-5.0939384147524835,-0.033462635074101854,-1.1920928955078125e-07,420,0.2888671875,0.2,,,,,
41.771541595458984,88064,27.0,,,,,,,,,,,,,,,
42.04247283935547,89088,27.0,0.019816667,16.407180786132812,43.082766354084015,0.0003,-5.066060273349285,-0.033399902797827966,0.0,430,0.303564453125,0.2,,,,,
40.27777099609375,90112,27.0,,,,,,,,,,,,,,,
45.527523040771484,91136,27.0,0.018537987,16.1614933013916,36.76350699663162,0.0003,-5.046605789661408,-0.03494400556155597,0.0,440,0.300244140625,0.2,,,,,
44.93077087402344,92160,27.0,,,,,,,,,,,,,,,
46.68748474121094,93184,27.0,0.020792633,16.485687255859375,40.65504904389381,0.0003,-5.064495049417019,-0.02937164353206754,-1.1920928955078125e-07,450,0.273486328125,0.2,,,,,
43.068519592285156,94208,27.0,,,,,,,,,,,,,,,
43.87256622314453,95232,27.0,0.01885296,22.35564613342285,40.6534844994545,0.0003,-5.023972000181675,-0.025947988261759748,0.0,460,0.2556640625,0.2,,,,,
42.70850372314453,96256,27.0,,,,,,,,,,,,,,,
45.4359130859375,97280,27.0,0.021432314,23.10340118408203,39.72109730839729,0.0003,-5.005782948434353,-0.03141860040195752,0.0,470,0.278369140625,0.2,,,,,
42.56804275512695,98304,27.0,,,,,,,,,,,,,,,
49.32064437866211,99328,27.0,0.018627893,17.695941925048828,38.722983586788175,0.0003,-4.984913656115532,-0.031908182904589924,-1.1920928955078125e-07,480,0.27548828125,0.2,,,,,
47.42247009277344,100352,27.0,,,,,,,,,,,,,,,
41.74983596801758,101376,27.0,0.018204078,16.401195526123047,35.54112775921821,0.0003,-4.964927117526531,-0.03322392447735183,0.0,490,0.291748046875,0.2,,,,,
42.731834411621094,102400,27.0,,,,,,,,,,,,,,,
,102400,,,,,,,,,,,,317,322,27.0,43.2211585,50
46.486244201660156,103424,27.0,0.018356662,13.542463302612305,36.87598483562469,0.0003,-4.913327585160732,-0.02599120861268602,1.1920928955078125e-07,500,0.239453125,0.2,,,,,
41.587120056152344,104448,27.0,,,,,,,,,,,,,,,
43.540103912353516,105472,27.0,0.017984122,16.57933235168457,36.1003751039505,0.0003,-4.863760362565517,-0.02565136459597852,0.0,510,0.252734375,0.2,,,,,
44.76093673706055,106496,27.0,,,,,,,,,,,,,,,
39.86641311645508,107520,27.0,0.019290494,22.947450637817383,41.13665019273758,0.0003,-4.753055049479007,-0.031777446184423755,0.0,520,0.3021484375,0.2,,,,,
47.9815559387207,108544,27.0,,,,,,,,,,,,,,,
42.44244384765625,109568,27.0,0.017874334,16.24977684020996,36.91279972791672,0.0003,-4.7155923143029215,-0.026382229478622322,0.0,530,0.24169921875,0.2,,,,,
49.05544662475586,110592,27.0,,,,,,,,,,,,,,,
41.97968292236328,111616,27.0,0.018085942,19.089393615722656,35.49948173761368,0.0003,-4.728536680340767,-0.02408940701279789,0.0,540,0.248388671875,0.2,,,,,
45.49005126953125,112640,27.0,,,,,,,,,,,,,,,
46.73949432373047,113664,27.0,0.018968802,17.264902114868164,38.90379129648208,0.0003,-4.717762356996536,-0.02841434278525412,1.1920928955078125e-07,550,0.28193359375,0.2,,,,,
48.121849060058594,114688,27.0,,,,,,,,,,,,,,,
44.844112396240234,115712,27.0,0.01799389,13.624462127685547,34.900302255153655,0.0003,-4.661067137122155,-0.028262562472082208,0.0,560,0.27265625,0.2,,,,,
52.785057067871094,116736,27.0,,,,,,,,,,,,,,,
48.565494537353516,117760,27.0,0.016309664,17.600494384765625,36.71433097720146,0.0003,-4.601174226403236,-0.022800553783599752,1.1920928955078125e-07,570,0.22890625,0.2,,,,,
49.958892822265625,118784,27.0,,,,,,,,,,,,,,,
48.10268783569336,119808,27.0,0.018968526,18.122495651245117,36.457487511634824,0.0003,-4.600831498205662,-0.029708612167451066,0.0,580,0.263330078125,0.2,,,,,
48.746726989746094,120832,27.0,,,,,,,,,,,,,,,
44.4099006652832,121856,27.0,0.017005138,13.201749801635742,35.84555205106735,0.0003,-4.6004242047667505,-0.02687480389868142,0.0,590,0.22587890625,0.2,,,,,
45.08250427246094,122880,27.0,,,,,,,,,,,,,,,
,122880,,,,,,,,,,,,385,318,27.0,46.73001812,60
47.11323547363281,123904,27.0,0.016987365,12.441422462463379,30.98706268966198,0.0003,-4.575175580382347,-0.024558692217397038,0.0,600,0.221484375,0.2,,,,,
44.802894592285156,124928,27.0,,,,,,,,,,,,,,,
45.93607711791992,125952,27.0,0.018380523,16.06803321838379,33.25235813260078,0.0003,-4.58786338865757,-0.024424063709011533,1.1920928955078125e-07,610,0.234912109375,0.2,,,,,
44.11579895019531,126976,27.0,,,,,,,,,,,,,,,
49.07444763183594,128000,27.0,0.0167294,15.637085914611816,37.12537017464638,0.0003,-4.557765114307403,-0.02344713275815593,0.0,620,0.22314453125,0.2,,,,,
47.814842224121094,129024,27.0,,,,,,,,,,,,,,,
44.34434509277344,130048,27.0,0.018404493,17.178213119506836,33.818736934661864,0.0003,-4.550065340101719,-0.026565486723848154,0.0,630,0.256689453125,0.2,,,,,
51.31964111328125,131072,27.0,,,,,,,,,,,,,,,
45.76837921142578,132096,27.0,0.018419616,13.81093978881836,30.594252038002015,0.0003,-4.504099829494953,-0.031185983939212746,0.0,640,0.297802734375,0.2,,,,,
46.57792282104492,133120,27.0,,,,,,,,,,,,,,,
