eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed
29.696582794189453,30.0,512,,,,,,,,,,,,,,,
25.174137115478516,30.0,1024,,,,,,,,,,,,,,,
25.371501922607422,30.0,1536,,,,,,,,,,,,,,,
27.155908584594727,30.0,2048,,,,,,,,,,,,,,,
32.35993194580078,30.0,2560,0.458642578125,10,62064.40196533203,25990.46484375,0.2,-0.05824060861486942,0.13716921,-0.00023508071899414062,-5.297335280478,0.0003,,,,,
24.737485885620117,30.0,3072,,,,,,,,,,,,,,,
29.541534423828125,30.0,3584,,,,,,,,,,,,,,,
30.710407257080078,30.0,4096,,,,,,,,,,,,,,,
26.128976821899414,30.0,4608,0.446484375,20,56169.58116455078,25053.1640625,0.2,-0.060834088228875774,0.11860685,0.0,-5.294386810064315,0.0003,,,,,
30.49239158630371,30.0,5120,,,,,,,,,,,,,,,
19.795133590698242,30.0,5632,,,,,,,,,,,,,,,
25.315677642822266,30.0,6144,,,,,,,,,,,,,,,
30.343103408813477,30.0,6656,0.4701171875,30,58800.38273925781,32018.181640625,0.2,-0.04826965033425949,0.12844355,0.0,-5.292496153712273,0.0003,,,,,
29.548152923583984,30.0,7168,,,,,,,,,,,,,,,
21.45516586303711,30.0,7680,,,,,,,,,,,,,,,
22.990732192993164,30.0,8192,,,,,,,,,,,,,,,
26.48687171936035,30.0,8704,0.462890625,40,58213.03702392578,23386.111328125,0.2,-0.058873667381703854,0.12253708,0.0,-5.289806295931339,0.0003,,,,,
30.7156925201416,30.0,9216,,,,,,,,,,,,,,,
24.932966232299805,30.0,9728,,,,,,,,,,,,,,,
24.042940139770508,30.0,10240,,,,,,,,,,,,,,,
27.761089324951172,30.0,10752,0.477685546875,50,54750.34514160156,24410.185546875,0.2,-0.05104804149013944,0.14242901,0.0,-5.2863327890634535,0.0003,,,,,
29.2498779296875,30.0,11264,,,,,,,,,,,,,,,
26.706157684326172,30.0,11776,,,,,,,,,,,,,,,
21.869470596313477,30.0,12288,,,,,,,,,,,,,,,
26.2711181640625,30.0,12800,0.446435546875,60,58008.823999023436,30526.859375,0.2,-0.05327745224349201,0.13354386,1.1920928955078125e-07,-5.283451507985592,0.0003,,,,,
24.059406280517578,30.0,13312,,,,,,,,,,,,,,,
26.77700424194336,30.0,13824,,,,,,,,,,,,,,,
27.154621124267578,30.0,14336,,,,,,,,,,,,,,,
21.834392547607422,30.0,14848,0.460009765625,70,53177.60909423828,25762.51171875,0.2,-0.056504308921284975,0.13478146,-1.1920928955078125e-07,-5.281006713211537,0.0003,,,,,
28.489669799804688,30.0,15360,,,,,,,,,,,,,,,
29.038082122802734,30.0,15872,,,,,,,,,,,,,,,
27.073657989501953,30.0,16384,,,,,,,,,,,,,,,
26.482839584350586,30.0,16896,0.46240234375,80,56223.74360351563,26483.92578125,0.2,-0.058520666451659056,0.13723314,1.1920928955078125e-07,-5.278736573457718,0.0003,,,,,
27.8164119720459,30.0,17408,,,,,,,,,,,,,,,
28.525503158569336,30.0,17920,,,,,,,,,,,,,,,
25.374683380126953,30.0,18432,,,,,,,,,,,,,,,
23.957639694213867,30.0,18944,0.441650390625,90,54611.9185913086,25465.490234375,0.2,-0.05543853926938027,0.1322402,-1.1920928955078125e-07,-5.275742164254188,0.0003,,,,,
31.034231185913086,30.0,19456,,,,,,,,,,,,,,,
24.92262840270996,30.0,19968,,,,,,,,,,,,,,,
23.1695613861084,30.0,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,30.0,271,656.7760667400001,10,75
33.360862731933594,30.0,20992,0.47001953125,100,60233.93647460938,36120.65234375,0.2,-0.05239304573624395,0.12943742,0.0,-5.272112536430359,0.0003,,,,,
28.934741973876953,30.0,21504,,,,,,,,,,,,,,,
28.1584415435791,30.0,22016,,,,,,,,,,,,,,,
26.740467071533203,30.0,22528,,,,,,,,,,,,,,,
31.87993812561035,30.0,23040,0.47509765625,110,53683.61733398437,28640.263671875,0.2,-0.05134500782005489,0.13965365,0.0,-5.267585229873657,0.0003,,,,,
24.774765014648438,30.0,23552,,,,,,,,,,,,,,,
29.17726707458496,30.0,24064,,,,,,,,,,,,,,,
25.589475631713867,30.0,24576,,,,,,,,,,,,,,,
24.849451065063477,30.0,25088,0.4568359375,120,54317.528515625,27043.828125,0.2,-0.05239339254621882,0.13027495,-1.1920928955078125e-07,-5.261850944161415,0.0003,,,,,
26.352548599243164,30.0,25600,,,,,,,,,,,,,,,
26.85552978515625,30.0,26112,,,,,,,,,,,,,,,
22.49923324584961,30.0,26624,,,,,,,,,,,,,,,
21.95815658569336,30.0,27136,0.450146484375,130,53767.852966308594,25064.251953125,0.2,-0.05302958491374739,0.1251947,0.0,-5.258265838027,0.0003,,,,,
25.356130599975586,30.0,27648,,,,,,,,,,,,,,,
24.063737869262695,30.0,28160,,,,,,,,,,,,,,,
28.565311431884766,30.0,28672,,,,,,,,,,,,,,,
