time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/clip_range,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps
1024,180.0,13.464618682861328,,,,,,,,,,,,,,,
2048,180.0,13.201057434082031,,,,,,,,,,,,,,,
3072,180.0,12.562098503112793,-0.04457322846865282,0.0003,0.0035649538040161133,4.921417713165283,17.632545705139638,-5.869896417856216,0.022974346,0.38095703125,10,0.2,,,,,
4096,180.0,12.373047828674316,,,,,,,,,,,,,,,
5120,180.0,13.034294128417969,-0.03721974661166314,0.0003,5.960464477539063e-08,6.063804626464844,15.283440738916397,-5.8558196619153025,0.021240337,0.31787109375,20,0.2,,,,,
6144,180.0,13.41932487487793,,,,,,,,,,,,,,,
7168,180.0,13.376497268676758,-0.041884404182201254,0.0003,0.0,10.104119300842285,14.682888361811639,-5.845708292722702,0.020075522,0.31162109375,30,0.2,,,,,
8192,180.0,13.310027122497559,,,,,,,,,,,,,,,
9216,180.0,12.78320598602295,-0.03939504242007388,0.0003,1.1324882507324219e-06,7.583315849304199,15.15356639623642,-5.8252336665987965,0.021640327,0.334033203125,40,0.2,,,,,
10240,180.0,13.244287490844727,,,,,,,,,,,,,,,
11264,180.0,13.55971908569336,-0.03405968046718044,0.0003,0.0,6.452307224273682,13.156435899436474,-5.814499498903752,0.01884431,0.2888671875,50,0.2,,,,,
12288,180.0,13.159402847290039,,,,,,,,,,,,,,,
13312,180.0,13.022865295410156,-0.03982496642856859,0.0003,-1.1920928955078125e-07,7.169577121734619,17.004355743527412,-5.806923784315586,0.021140326,0.30791015625,60,0.2,,,,,
14336,180.0,12.40786075592041,,,,,,,,,,,,,,,
15360,180.0,13.499643325805664,-0.0385807287064381,0.0003,0.0,8.797953605651855,16.50277202874422,-5.800036825239658,0.020040773,0.303564453125,70,0.2,,,,,
16384,180.0,13.659634590148926,,,,,,,,,,,,,,,
17408,180.0,13.14820671081543,-0.03452140890876763,0.0003,-1.1920928955078125e-07,6.524837493896484,14.536042276769876,-5.793153651058674,0.02003501,0.29697265625,80,0.2,,,,,
18432,180.0,13.012543678283691,,,,,,,,,,,,,,,
19456,180.0,13.534756660461426,-0.04116184856102336,0.0003,0.0,6.318614959716797,14.401822099089623,-5.791756366193295,0.022369333,0.324365234375,90,0.2,,,,,
20480,180.0,13.147233963012695,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,13.096829570000002,44,10,180.0,462
21504,180.0,14.436116218566895,-0.03682647967216326,0.0003,0.0,7.905844688415527,15.4313990265131,-5.795648756623268,0.024290772,0.33681640625,100,0.2,,,,,
22528,180.0,13.306884765625,,,,,,,,,,,,,,,
23552,180.0,14.193256378173828,-0.03862671524257166,0.0003,0.0,9.982028007507324,18.101669682562353,-5.791175732016564,0.019405438,0.315478515625,110,0.2,,,,,
24576,180.0,13.818876266479492,,,,,,,,,,,,,,,
25600,180.0,13.177845001220703,-0.04124567894687061,0.0003,-1.1920928955078125e-07,6.848238468170166,14.042588436603546,-5.773579493165016,0.022224,0.35498046875,120,0.2,,,,,
26624,180.0,13.577092170715332,,,,,,,,,,,,,,,
27648,180.0,12.786235809326172,-0.03974519571493147,0.0003,0.0,3.25302791595459,16.760170447826386,-5.768495167791843,0.022710115,0.32548828125,130,0.2,,,,,
28672,180.0,13.847935676574707,,,,,,,,,,,,,,,
29696,180.0,13.583662033081055,-0.03936396284843795,0.0003,0.0,7.3638129234313965,16.647430868446826,-5.759882396459579,0.020900583,0.315869140625,140,0.2,,,,,
30720,180.0,13.49665641784668,,,,,,,,,,,,,,,
31744,180.0,12.961645126342773,-0.0376288447791012,0.0003,0.0,8.461079597473145,15.351327532529831,-5.761142890155315,0.022148505,0.329736328125,150,0.2,,,,,
32768,180.0,13.606094360351562,,,,,,,,,,,,,,,
33792,180.0,14.161357879638672,-0.037771603906003294,0.0003,0.0,4.711060523986816,14.799737230688333,-5.775647357106209,0.022891749,0.338720703125,160,0.2,,,,,
34816,180.0,13.201085090637207,,,,,,,,,,,,,,,
35840,180.0,12.476446151733398,-0.03351053615333512,0.0003,0.0,12.420519828796387,16.553210394084452,-5.771559453010559,0.020502375,0.291748046875,170,0.2,,,,,
36864,180.0,13.355091094970703,,,,,,,,,,,,,,,
37888,180.0,13.334486961364746,-0.04056856102979509,0.0003,1.1920928955078125e-07,7.175228118896484,16.2178519949317,-5.768708789348603,0.024605164,0.373583984375,180,0.2,,,,,
38912,180.0,12.78906536102295,,,,,,,,,,,,,,,
39936,180.0,13.22290325164795,-0.03624525782652199,0.0003,0.0,4.624827861785889,14.765780015289783,-5.760285021364689,0.020717006,0.323828125,190,0.2,,,,,
40960,180.0,13.820987701416016,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,13.25409089,88,20,180.0,462
41984,180.0,13.04890251159668,-0.038903297508659306,0.0003,0.0,6.641777992248535,14.715925133228302,-5.763298624753952,0.02118698,0.31455078125,200,0.2,,,,,
43008,180.0,12.401856422424316,,,,,,,,,,,,,,,
44032,180.0,12.957756042480469,-0.035207913618069145,0.0003,1.1920928955078125e-07,4.383615016937256,16.05866668224335,-5.747296257317066,0.019847117,0.2974609375,210,0.2,,,,,
45056,180.0,14.185877799987793,,,,,,,,,,,,,,,
46080,180.0,13.703045845031738,-0.03751880863419501,0.0003,5.960464477539063e-08,4.777248859405518,13.526189900934696,-5.750940884649753,0.022205047,0.3166015625,220,0.2,,,,,
47104,180.0,12.978652954101562,,,,,,,,,,,,,,,
48128,180.0,13.383010864257812,-0.03343535588355735,0.0003,0.0,11.356189727783203,14.752087172865867,-5.747397485375404,0.02081633,0.2751953125,230,0.2,,,,,
49152,180.0,12.92972469329834,,,,,,,,,,,,,,,
50176,180.0,13.259236335754395,-0.03329006296044099,0.0003,-1.1920928955078125e-07,9.090777397155762,15.481800389289855,-5.7404565513134,0.019204564,0.28134765625,240,0.2,,,,,
51200,180.0,13.425586700439453,,,,,,,,,,,,,,,
